Samples,Baya.L
15061942,66
15061763,53
15061801,66
15061494,54
15061613,58
15062137,54
15061319,72
15062142,69
15060320,66
15061768,66
15061522,66
15060081,58
15061656,58
15061759,69
15061928,54
15061454,54
15061605,66
15060087,50
15061619,53
15060090,66
15061731,66
15061655,66
15061661,53
15061499,69
15061647,54
15061612,54
15061742,63
15061710,69
15062372,54
15061583,54
15061767,69
15062130,69
15061637,69
15061337,54
15062104,58
15061579,72
15061932,58
15061603,66
15060025,66
15061704,76
15061334,66
15061631,66
15060964,53
15061778,54
15061718,54
15061486,54
15060214,54
15061333,54
15061962,54
15061624,54
15061282,58
15061529,66
15061935,69
15061568,54
15061491,69
15061318,54
15061361,54
15061515,58
15062123,54
15061358,53
15061428,66
15061496,54
15061648,66
15061808,66
15061600,54
15061730,50
15061623,66
15061405,50
15061299,54
15061578,54
15061476,71
15061765,66
15062111,53
15061397,53
15061713,50
15061584,66
15061912,54
15061260,58
15062099,54
15061350,58
15060933,66
15061548,54
15061348,58
15061560,66
15061544,50
15061449,66
15062348,54
15061916,58
15062138,69
15061946,54
15061676,58
15060536,54
15061391,54
15061662,50
15061228,58
15061356,54
15061963,58
15061338,66
15062331,77
15062098,66
15062114,71
15062046,54
15062370,54
15061685,71
15061540,72
15061721,69
15062074,54
15062362,54
15061689,69
15061357,54
15061376,54
15061308,54
