Samples,SecBrote.C
15061942,7
15061763,7
15061801,4
15061494,7
15061613,7
15062137,4
15061319,5
15062142,4
15060320,4
15061768,7
15061522,4
15060081,5
15061656,5
15061759,7
15061928,7
15061454,4
15061605,7
15060087,5
15061619,7
15060090,7
15061731,7
15061655,4
15061661,7
15061499,7
15061647,4
15061612,7
15061742,4
15061710,7
15062372,7
15061583,7
15061767,4
15062130,7
15061637,7
15061337,7
15062104,4
15061579,4
15061932,4
15061603,7
15060025,7
15061704,4
15061334,7
15061631,4
15060964,7
15061778,7
15061718,7
15061486,7
15060214,7
15061333,7
15061962,4
15061624,4
15061282,7
15061529,7
15061935,4
15061568,4
15061491,7
15061318,4
15061361,7
15061515,7
15062123,4
15061358,7
15061428,4
15061496,7
15061648,7
15061808,4
15061600,7
15061730,7
15061623,7
15061405,4
15061299,7
15061578,4
15061476,4
15061765,4
15062111,7
15061397,7
15061713,4
15061584,4
15061912,7
15061260,4
15062099,4
15061350,4
15060933,7
15061548,7
15061348,7
15061560,7
15061544,4
15061449,7
15062348,4
15061916,7
15062138,4
15061946,7
15061676,7
15060536,7
15061391,34
15061662,4
15061228,7
15061356,7
15061963,4
15061338,7
15062331,5
15062098,4
15062114,7
15062046,7
15062370,4
15061685,7
15061540,58
15061721,7
15062074,4
15062362,4
15061689,7
15061357,4
15061376,7
15061308,7
