"HCLTraits","Traits","HCLs","Models","Means"
"Baya.LCH.C","Baya","C","BA",0.306166666666667
"Baya.LCH.H","Baya","H","BL",0.2735
"Baya.LCH.L","Baya","L","GBLUP",0.250833333333333
"PriBrote.LCH.C","PriBrote","C","RKHS",0.5855
"PriBrote.LCH.H","PriBrote","H","BC",0.326
"PriBrote.LCH.L","PriBrote","L","RKHS",0.453166666666667
"PriFlor.LCH.C","PriFlor","C","EGBLUP",0.660833333333333
"PriFlor.LCH.H","PriFlor","H","RKHS",0.839333333333333
"PriFlor.LCH.L","PriFlor","L","RKHS",0.651166666666667
"PriTuber.LCH.C","PriTuber","C","RKHS",0.556
"PriTuber.LCH.H","PriTuber","H","RKHS",0.431666666666667
"PriTuber.LCH.L","PriTuber","L","EGBLUP",0.5215
"Pulpa.LCH.C","Pulpa","C","BA",0.526333333333333
"Pulpa.LCH.H","Pulpa","H","GBLUP",0.408166666666667
"Pulpa.LCH.L","Pulpa","L","RKHS",0.521
"SecBrote.LCH.C","SecBrote","C","BC",0.248166666666667
"SecBrote.LCH.H","SecBrote","H","EGBLUP",0.359833333333333
"SecBrote.LCH.L","SecBrote","L","BA",0.338
"SecTuber.LCH.C","SecTuber","C","BRR",0.2685
"SecTuber.LCH.H","SecTuber","H","EGBLUP",0.374833333333333
"SecTuber.LCH.L","SecTuber","L","EGBLUP",0.353333333333333
"Tallo.LCH.C","Tallo","C","BL",0.608666666666667
"Tallo.LCH.H","Tallo","H","EGBLUP",0.554833333333333
"Tallo.LCH.L","Tallo","L","RKHS",0.604333333333333
