SAMPLES,c1_10924,c1_11495,c1_11920,c1_12108,c1_12152,c1_13135,c1_13863,c1_14992,c1_15218,c1_15485,c1_16695,c1_216,c1_4464,c1_449,c1_7192,c1_7964,c1_8763,c1_9619,c2_10683,c2_10692,c2_12720,c2_17060,c2_18549,c2_21309,c2_21318,c2_21572,c2_21577,c2_24,c2_26167,c2_28697,c2_30288,c2_31042,c2_31181,c2_32056,c2_33314,c2_36650,c2_39191,c2_45698,c2_49265,c2_50283,c2_50324,c2_51051,c2_52205,c2_54613,c2_55240,c2_6683,c2_689,c2_8253,c2_8867,c2_9892
15061942,4,0,0,4,4,0,4,3,1,2,3,2,3,3,2,2,2,4,3,3,1,1,4,4,4,1,1,2,2,3,2,1,4,4,0,4,4,2,1,4,4,4,0,0,3,4,4,1,4,1
15061763,4,0,1,4,4,0,4,3,1,1,3,3,3,3,2,4,2,4,4,4,2,2,4,4,4,0,0,3,2,3,1,0,4,3,0,4,4,2,1,4,4,4,0,0,2,4,4,1,4,1
15061801,2,0,1,4,3,1,4,3,2,2,3,3,3,4,3,1,1,4,4,4,4,2,4,4,3,1,1,2,3,3,4,1,3,4,1,2,2,2,2,2,2,3,1,0,3,3,3,3,3,1
15061494,4,0,2,4,4,0,4,3,2,1,2,2,3,3,4,3,1,4,3,3,3,3,4,4,3,2,2,1,3,3,2,1,4,4,0,4,2,1,0,2,2,4,0,0,4,4,3,4,4,0
15061613,2,0,0,4,4,1,3,2,1,2,3,3,3,3,3,2,1,2,2,2,1,3,4,4,4,0,0,1,1,3,2,0,3,2,2,1,3,3,0,4,4,4,2,0,3,2,4,3,3,0
15062137,4,0,1,4,4,0,4,4,1,0,3,3,1,3,2,3,2,4,4,4,3,1,4,4,4,1,1,4,1,3,2,1,4,4,0,4,4,2,1,4,4,4,0,0,3,4,4,2,4,1
15061319,4,0,2,4,4,0,4,3,1,3,3,1,3,2,2,1,1,3,4,4,3,3,4,4,4,0,0,1,1,3,2,1,4,3,0,4,4,3,0,4,4,3,0,0,2,4,4,1,4,1
15062142,4,0,1,4,3,1,4,4,1,2,4,2,2,3,1,3,0,3,3,3,2,4,3,3,3,1,1,3,4,4,3,1,3,4,0,4,2,2,1,3,3,3,0,1,3,3,3,1,3,0
15060320,4,0,0,4,4,0,4,2,2,2,2,3,4,3,2,3,0,4,4,4,2,3,4,4,4,2,2,3,3,3,1,0,4,4,0,4,4,1,1,4,4,4,0,0,3,4,4,3,4,1
15061768,4,0,0,4,4,0,4,3,1,1,3,4,2,4,2,4,1,4,4,4,3,0,4,4,3,0,0,1,2,3,2,0,4,4,0,4,4,2,0,4,4,4,0,0,4,4,3,2,4,0
15061522,4,0,1,4,4,0,4,3,2,2,3,4,4,4,1,2,0,4,3,3,3,3,4,4,3,NA,2,2,1,3,4,0,4,4,0,4,4,2,NA,4,4,4,0,0,2,4,3,0,4,0
15060081,3,0,3,4,4,1,NA,2,1,2,3,1,3,2,2,1,1,3,4,4,3,2,3,4,4,0,NA,1,1,3,2,1,4,3,0,3,3,3,0,3,NA,2,NA,0,2,4,4,1,3,1
15061656,3,0,1,4,3,1,4,4,2,2,2,2,4,3,3,1,0,4,4,4,3,4,2,3,4,0,0,3,0,2,4,1,4,4,1,3,3,1,0,3,3,3,0,1,4,3,4,4,3,0
15061759,4,0,0,4,4,0,4,4,1,1,4,3,2,3,1,4,1,4,3,3,3,2,4,4,3,0,0,0,2,3,1,0,4,4,0,4,3,2,0,2,2,3,0,0,4,4,3,0,4,0
