SAMPLES,c1_10924,c1_11495,c1_11920,c1_12108,c1_12152,c1_13135,c1_13863,c1_14992,c1_15218,c1_15485,c1_16695,c1_216,c1_4464,c1_449,c1_7192,c1_7964,c1_8763,c1_9619,c2_10683,c2_10692,c2_12720,c2_17060,c2_18549,c2_21309,c2_21318,c2_21572,c2_21577,c2_24,c2_26167,c2_28697,c2_30288,c2_31042,c2_31181,c2_32056,c2_33314,c2_36650,c2_39191,c2_45698,c2_49265,c2_50283,c2_50324,c2_51051,c2_52205,c2_54613,c2_55240,c2_6683,c2_689,c2_8253,c2_8867,c2_9892
15060021,4,0,1,4,4,0,4,3,0,2,4,1,4,3,1,2,0,4,4,4,3,2,4,4,3,0,0,3,2,4,2,3,4,4,0,4,3,2,0,1,1,4,0,0,3,4,3,3,4,2
15060027,4,0,1,4,4,0,4,3,1,1,3,3,2,3,3,3,3,4,4,4,1,1,4,4,4,NA,2,2,1,3,1,1,4,4,0,4,4,1,0,4,4,4,0,0,2,4,4,1,4,0
15060039,4,0,1,4,3,1,4,3,3,2,3,3,4,3,2,4,2,4,4,4,3,1,4,4,3,1,1,3,1,3,3,0,4,4,0,4,4,1,1,4,4,3,0,0,3,4,3,0,3,0
15060042,4,0,1,4,4,0,4,2,1,2,2,3,4,4,3,2,0,4,3,3,4,3,4,4,NA,2,2,3,1,3,3,1,4,4,0,4,4,1,2,3,3,4,0,0,3,4,NA,2,4,1
15060050,3,0,1,4,3,1,4,2,1,3,2,3,3,4,4,2,0,4,3,3,3,3,3,4,3,1,1,2,2,1,3,2,3,4,0,2,2,1,2,3,3,4,0,0,2,3,3,3,4,3
15060056,4,0,3,3,3,0,4,3,1,2,3,0,4,0,2,0,2,3,4,4,0,2,3,4,4,1,1,0,0,3,1,0,4,3,0,4,4,1,1,1,1,2,1,0,4,4,4,4,4,0
15060063,4,0,0,4,4,0,4,3,2,3,4,2,1,3,2,4,1,4,4,4,3,3,4,4,NA,1,1,2,3,2,2,0,4,4,0,4,4,2,1,2,2,4,0,0,3,4,NA,0,4,1
15060070,4,0,1,4,4,0,4,2,1,2,3,1,3,3,2,3,1,4,4,4,1,2,4,4,4,1,1,3,2,3,1,2,4,4,0,4,4,3,0,3,3,4,0,0,2,4,4,0,4,2
15060072,3,0,3,4,3,0,4,4,2,0,3,0,3,1,4,2,2,3,3,3,3,2,2,2,4,1,1,3,1,4,3,1,4,3,0,3,3,1,1,3,3,1,2,1,3,4,4,0,4,0
15060082,4,0,2,4,4,0,4,2,2,1,3,2,3,2,2,4,2,4,4,4,2,2,4,4,4,0,0,2,2,2,1,0,4,3,0,4,4,1,1,4,4,4,0,0,3,4,4,3,4,1
15060085,4,0,0,3,4,1,4,2,1,2,1,3,1,3,3,2,1,4,3,3,4,3,4,4,3,1,1,2,2,3,1,1,4,4,0,4,3,3,1,3,3,4,0,0,3,4,3,1,3,2
15060097,3,0,2,4,3,2,3,2,2,1,3,3,3,4,3,3,4,4,4,4,1,0,3,3,4,2,2,2,0,3,2,0,3,4,0,3,4,0,1,1,1,2,0,1,4,3,4,3,2,0
15060101,3,1,2,4,3,0,4,2,0,3,3,0,4,3,2,3,1,2,4,4,1,2,2,3,3,0,0,2,1,3,0,0,4,2,0,3,2,2,1,3,3,2,2,1,4,3,3,1,4,0
15060102,4,0,1,3,3,1,3,2,0,0,4,2,4,3,0,2,1,3,4,4,2,2,4,3,3,0,0,2,2,4,1,1,3,3,1,4,3,1,0,2,2,4,1,1,3,4,3,3,3,0
15060110,4,0,1,4,4,0,4,2,1,2,2,1,3,3,2,3,1,4,4,4,1,2,4,4,4,1,1,3,2,3,1,2,4,4,0,4,4,3,0,3,3,4,0,0,2,4,4,0,4,2
15060112,4,0,1,4,4,0,4,2,1,1,3,3,2,3,2,3,2,4,3,3,2,1,4,4,4,1,1,2,2,3,1,0,4,4,0,4,4,3,0,4,4,4,0,0,2,4,4,1,4,0
15060114,2,0,0,4,4,1,3,2,1,2,3,3,3,3,3,2,1,2,2,2,1,3,4,4,4,0,0,1,1,3,2,0,3,2,2,1,3,3,0,4,4,4,2,0,3,2,4,3,3,0
15060120,4,0,1,3,4,0,4,3,1,2,3,2,4,2,0,2,1,4,4,4,2,1,4,4,4,1,1,2,1,3,1,0,4,4,0,4,4,1,1,3,3,4,0,0,3,4,4,3,4,1
15060121,4,0,2,4,4,0,4,2,1,2,3,1,4,2,2,1,2,3,3,3,1,1,4,4,4,0,0,3,0,4,3,1,4,3,0,4,4,3,1,4,4,3,0,0,3,4,4,3,4,2
15060122,3,0,1,4,3,1,4,2,1,3,2,3,3,4,4,2,0,4,3,3,3,3,3,4,3,1,1,2,2,1,3,1,2,4,0,2,2,1,2,3,3,4,0,0,2,3,3,3,4,2
15060138,4,0,1,4,4,0,4,2,2,1,3,3,2,3,2,2,1,4,4,4,3,2,4,4,3,0,0,3,2,3,0,0,4,4,0,4,4,2,0,3,3,4,0,0,3,4,3,0,4,0
15060160,3,0,1,4,3,1,4,2,2,3,2,3,3,4,4,2,0,4,3,3,3,3,3,4,3,2,1,2,2,2,3,1,2,4,0,2,2,1,2,3,3,4,0,0,2,3,3,3,4,3
15060187,4,0,1,4,4,0,2,2,1,2,3,2,2,3,2,2,0,3,4,4,4,3,4,4,3,2,2,1,2,3,2,2,4,3,0,4,4,3,0,2,2,3,1,0,3,4,3,3,4,0
15060188,4,0,1,4,4,0,4,2,1,2,3,1,3,3,2,2,1,4,4,4,1,2,4,4,4,2,1,3,2,3,1,2,4,4,0,4,4,3,0,3,3,4,0,0,2,4,4,0,4,1
15060190,4,0,2,4,4,0,4,2,0,3,3,2,3,4,1,2,2,4,4,4,3,1,4,4,4,0,0,3,1,4,0,1,4,4,0,4,4,3,1,4,4,3,0,0,2,4,4,2,4,1
15060191,4,0,0,4,4,0,4,4,1,4,2,1,3,4,4,2,0,1,4,4,1,4,4,4,4,0,0,3,1,2,2,2,4,NA,0,4,4,4,0,4,4,3,2,0,3,4,4,2,4,2
15060215,2,0,0,4,4,1,3,2,1,2,3,3,3,3,3,2,1,2,2,2,1,3,4,4,4,0,0,1,1,3,2,0,3,2,2,2,3,3,0,4,4,4,2,0,3,2,4,3,3,0
15060313,2,0,2,4,3,1,4,2,1,3,3,4,3,4,3,1,0,3,3,3,3,3,4,4,3,0,0,2,2,2,2,0,3,3,1,2,2,2,1,4,4,3,1,0,3,2,3,3,4,1
15060345,4,0,0,4,4,0,4,2,1,3,3,3,3,3,1,2,1,4,4,4,1,2,4,4,4,2,2,2,1,3,2,0,4,4,0,4,4,2,1,4,4,4,0,0,1,4,4,1,4,0
15060383,2,0,2,4,3,1,4,2,1,3,3,4,3,4,3,1,0,3,3,3,3,3,4,4,3,0,0,2,2,2,2,0,3,3,1,2,2,2,1,4,4,3,1,0,3,2,3,3,4,1
15060420,4,0,0,4,4,0,4,2,1,3,3,3,3,3,1,2,1,4,4,4,1,2,4,4,4,2,2,2,1,3,2,0,4,4,0,4,4,2,1,4,4,4,0,0,1,4,4,1,4,0
15060543,4,0,1,4,3,0,4,2,1,1,4,0,3,2,3,1,1,4,4,4,3,1,4,4,4,0,0,2,2,3,1,2,4,4,0,4,4,2,1,3,3,3,0,0,2,4,4,1,4,0
15060570,4,0,0,4,4,0,2,2,2,2,3,2,1,3,3,3,2,4,3,3,3,2,4,2,3,2,1,1,2,2,1,0,4,4,0,4,2,2,0,4,4,4,0,1,2,4,3,1,4,0
15060797,4,0,1,4,4,0,4,2,2,1,3,0,1,2,3,2,3,4,4,4,3,0,4,3,4,1,1,1,1,3,0,0,4,4,1,4,4,1,0,2,2,4,0,1,3,4,4,0,4,0
15060846,2,0,1,4,3,1,4,2,1,3,2,3,3,4,4,2,0,4,3,3,3,3,3,4,3,1,1,2,2,1,3,1,2,4,0,3,2,1,2,3,3,4,0,0,2,3,3,3,4,3
15060907,3,1,1,4,3,0,2,1,0,1,4,2,2,2,2,3,0,4,4,4,2,4,4,4,4,NA,NA,2,1,3,2,0,4,4,0,3,1,2,1,3,3,3,0,0,1,4,4,1,4,0
15060909,4,0,2,4,3,2,4,3,2,1,4,3,3,3,3,3,3,4,4,4,2,1,4,4,4,1,1,3,1,3,2,1,3,4,0,4,4,1,1,2,2,2,0,0,4,4,4,1,2,0
15060910,2,0,1,4,2,0,4,3,2,4,2,3,4,4,3,2,0,3,3,3,1,3,4,4,4,0,0,1,1,2,3,0,4,3,2,2,2,1,1,4,4,3,1,0,1,3,4,2,4,0
15061007,4,0,1,4,4,0,4,3,2,0,4,2,1,2,4,2,0,4,3,3,4,3,4,4,3,NA,2,1,3,2,1,0,4,4,0,4,4,4,1,3,3,3,0,0,2,4,3,1,4,1
15061011,4,0,2,4,4,0,4,3,1,3,3,1,3,2,2,1,1,3,4,4,3,3,4,4,4,0,0,1,1,3,2,1,4,3,0,4,4,3,0,4,4,3,0,0,2,4,4,1,4,1
15061122,3,0,1,4,3,1,4,2,1,3,2,3,3,4,4,2,0,4,3,3,3,3,3,4,3,1,1,2,2,1,3,1,2,4,0,2,2,1,2,3,3,4,0,0,2,3,3,3,4,2
15061204,4,0,2,3,3,1,4,1,1,3,3,0,3,0,1,1,2,4,3,4,2,1,3,4,4,0,0,2,1,4,4,3,4,4,0,4,3,3,1,2,2,3,1,0,4,4,4,3,3,0
15061213,4,0,1,4,3,1,4,3,3,2,3,3,4,3,2,4,2,4,4,4,3,1,4,4,3,1,1,3,1,3,3,0,4,4,0,4,4,1,1,4,4,3,0,0,3,4,3,0,3,0
15061215,4,0,1,4,3,1,4,3,3,2,3,3,4,3,2,4,2,4,4,4,3,1,4,4,3,1,1,3,1,3,3,0,4,4,0,4,4,1,1,4,4,3,0,0,3,4,3,0,3,0
15061216,4,0,3,3,2,1,4,3,2,2,3,0,4,0,4,0,4,3,4,4,0,2,3,4,4,0,0,1,1,2,1,0,3,3,1,4,3,1,1,1,1,2,1,0,4,4,4,2,3,0
15061225,2,0,0,4,4,1,3,2,1,2,3,3,3,3,3,2,0,2,2,2,1,3,4,4,4,0,0,1,1,3,2,0,3,2,2,2,3,3,0,4,4,4,2,0,3,2,4,3,3,0
15061226,4,0,1,4,4,0,4,3,3,3,4,1,1,3,3,2,2,3,3,3,2,2,4,2,3,1,1,0,1,2,1,0,4,3,0,4,3,2,1,2,2,4,0,1,0,4,3,0,4,0
15061237,4,0,1,4,3,0,4,2,1,1,4,0,3,2,3,1,1,4,4,4,3,1,4,4,4,0,0,2,2,3,1,2,4,4,0,4,4,2,1,3,3,3,0,0,2,4,4,1,4,0
15061256,4,0,2,4,4,1,4,2,2,1,3,2,3,3,2,3,1,4,3,3,4,3,4,4,4,1,1,2,3,3,2,1,3,4,1,4,3,3,1,1,1,3,0,0,3,4,4,1,3,0
15061257,4,0,0,4,4,0,4,3,2,1,4,1,4,2,4,3,1,4,4,4,2,2,4,4,4,0,0,2,3,3,0,2,4,4,0,4,3,1,0,2,2,4,0,0,3,4,4,2,4,0
15061258,4,0,2,4,4,0,4,3,2,0,4,3,3,3,2,1,1,4,3,3,2,2,4,4,4,2,2,2,2,1,1,0,4,4,0,4,4,1,0,4,4,4,0,0,3,4,4,2,4,0
