Samples,SecTuber.LCH.L
15061942,80
15061763,45
15061801,80
15061494,30
15061613,86
15062137,80
15061319,66
15062142,43
15060320,48
15061768,79
15061522,38
15060081,30
15061656,82
15061759,30
15061928,80
15061454,80
15061605,51
15060087,81
15061619,80
15060090,81
15061731,79
15061655,50
15061661,80
15061499,43
15061647,30
15061612,31
15061742,42
15061710,79
15062372,75
15061583,84
15061767,45
15062130,75
15061637,43
15061337,80
15062104,42
15061579,80
15061932,41
15061603,80
15060025,27
15061704,76
15061334,76
15061631,76
15060964,76
15061778,80
15061718,79
15061486,80
15060214,41
15061333,30
15061962,50
15061624,80
15061282,92
15061529,80
15061935,80
15061568,42
15061491,80
15061318,82
15061361,75
15061515,73
15062123,42
15061358,42
15061428,80
15061496,80
15061648,74
15061808,50
15061600,81
15061730,80
15061623,80
15061405,75
15061299,82
15061578,79
15061476,80
15061765,84
15062111,43
15061397,74
15061713,30
15061584,80
15061912,45
15061260,75
15062099,80
15061350,75
15060933,81
15061548,80
15061348,84
15061560,54
15061544,76
15061449,80
15062348,76
15061916,75
15062138,75
15061946,79
15061676,79
15060536,29
15061391,80
15061662,80
15061228,82
15061356,50
15061963,80
15061338,75
15062331,74
15062098,76
15062114,29
15062046,49
15062370,75
15061685,82
15061540,42
15061721,80
15062074,50
15062362,38
15061689,79
15061357,75
15061376,75
15061308,75
