SAMPLES,c1_10269,c1_11211,c1_12858,c1_13006,c1_13515,c1_15225,c1_15470,c1_16534,c1_16540,c1_16542,c1_3098,c1_3497,c1_3499,c1_4347,c1_5112,c1_513,c1_5837,c1_6192,c1_7871,c1_7872,c1_7874,c1_8069,c2_10681,c2_12976,c2_14490,c2_14491,c2_14980,c2_15047,c2_19135,c2_21041,c2_22024,c2_23833,c2_23835,c2_25179,c2_27270,c2_27644,c2_27900,c2_32257,c2_3318,c2_34091,c2_39029,c2_4030,c2_45035,c2_45914,c2_47202,c2_49017,c2_53347,c2_53914,c2_58249,c2_686
15061942,4,2,4,2,3,1,0,1,2,3,4,3,0,3,2,2,1,3,2,3,1,4,4,2,4,2,2,1,3,1,2,1,3,2,3,1,1,4,3,0,0,2,0,3,2,0,0,2,2,3
15061763,4,3,3,1,3,3,0,1,1,4,3,1,1,3,4,3,0,4,2,3,1,4,3,1,3,4,2,0,3,0,1,1,3,4,2,1,2,4,4,0,3,3,1,3,3,1,1,2,1,2
15061801,4,0,3,4,3,2,1,2,1,3,2,1,1,4,1,2,0,3,3,4,0,2,3,4,3,1,1,2,3,1,2,0,4,3,4,2,2,4,2,0,1,3,0,2,4,2,1,3,2,2
15061494,3,3,4,2,3,1,1,0,0,4,4,2,1,2,2,2,0,4,4,4,0,4,4,3,4,2,0,4,3,1,2,0,4,4,2,2,0,4,2,0,1,4,0,3,4,2,0,2,3,3
15061613,4,1,3,2,3,3,1,2,2,3,NA,3,2,1,2,3,0,3,3,3,0,3,3,2,3,2,1,3,1,1,3,0,4,3,4,1,2,4,4,0,0,2,0,2,4,2,1,3,1,3
15062137,3,0,4,1,4,1,1,1,1,4,4,2,1,3,3,3,1,3,4,4,0,4,3,2,3,2,0,0,2,0,1,1,3,4,3,0,1,3,4,0,1,1,1,2,4,1,0,3,1,2
15061319,4,3,4,3,3,1,0,1,1,4,4,2,1,3,1,2,1,3,3,3,1,4,3,2,3,2,2,2,2,1,1,0,4,3,3,1,2,4,4,0,1,2,1,4,3,1,0,2,3,3
15062142,4,1,3,2,3,0,1,1,2,4,4,3,1,3,3,2,0,4,3,4,0,2,4,4,4,3,0,2,2,1,2,0,4,4,3,0,3,3,4,0,1,3,0,2,4,1,1,2,2,3
15060320,4,2,3,1,3,2,0,2,2,3,3,3,1,4,3,3,0,3,3,3,1,4,3,2,3,2,2,2,4,0,2,1,3,4,3,1,1,4,3,1,1,1,1,4,2,1,1,1,1,2
15061768,3,3,4,2,4,1,2,3,3,3,4,2,0,1,3,2,0,4,4,4,0,3,4,2,3,3,0,1,3,0,2,0,4,4,3,1,2,4,2,0,0,1,0,3,4,1,0,1,1,4
