"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
5,"BerryC.C","BerryC","C","BRR",0.0798888888888889
5,"BerryC.H","BerryC","H","BA",0.033
5,"BerryC.L","BerryC","L","BA",0.0732222222222222
5,"PCSprout.C","PCSprout","C","RKHS",0.306555555555556
5,"PCSprout.H","PCSprout","H","RKHS",0.211222222222222
5,"PCSprout.L","PCSprout","L","RKHS",0.264333333333333
5,"PCFlower.C","PCFlower","C","RKHS",0.316555555555556
5,"PCFlower.H","PCFlower","H","RKHS",0.478888888888889
5,"PCFlower.L","PCFlower","L","RKHS",0.240777777777778
5,"PCTuberskin.C","PCTuberskin","C","RKHS",0.179666666666667
5,"PCTuberskin.H","PCTuberskin","H","BA",0.176333333333333
5,"PCTuberskin.L","PCTuberskin","L","RKHS",0.241333333333333
5,"PCTuberflesh.C","PCTuberflesh","C","RKHS",0.337111111111111
5,"PCTuberflesh.H","PCTuberflesh","H","BL",0.0825555555555555
5,"PCTuberflesh.L","PCTuberflesh","L","RKHS",0.175888888888889
5,"SCSprout.C","SCSprout","C","BA",0.0563333333333333
5,"SCSprout.H","SCSprout","H","RKHS",0.0956666666666667
5,"SCSprout.L","SCSprout","L","RKHS",0.198333333333333
5,"SCTuberflesh.C","SCTuberflesh","C","BL",0.122888888888889
5,"SCTuberflesh.H","SCTuberflesh","H","BRR",0.0425555555555556
5,"SCTuberflesh.L","SCTuberflesh","L","RKHS",0.0725555555555556
5,"SCTuberskin.C","SCTuberskin","C","RKHS",0.179444444444444
5,"SCTuberskin.H","SCTuberskin","H","RKHS",0.104
5,"SCTuberskin.L","SCTuberskin","L","",0
5,"StemC.C","StemC","C","RKHS",0.391888888888889
5,"StemC.H","StemC","H","BRR",0.120555555555556
5,"StemC.L","StemC","L","RKHS",0.325888888888889
10,"BerryC.C","BerryC","C","RKHS",0.049
10,"BerryC.H","BerryC","H","BA",0.0204444444444444
10,"BerryC.L","BerryC","L","RKHS",0.0904444444444445
10,"PCSprout.C","PCSprout","C","RKHS",0.463444444444444
10,"PCSprout.H","PCSprout","H","RKHS",0.267666666666667
10,"PCSprout.L","PCSprout","L","RKHS",0.273888888888889
10,"PCFlower.C","PCFlower","C","RKHS",0.452222222222222
10,"PCFlower.H","PCFlower","H","RKHS",0.695222222222222
10,"PCFlower.L","PCFlower","L","RKHS",0.384333333333333
10,"PCTuberskin.C","PCTuberskin","C","RKHS",0.264777777777778
10,"PCTuberskin.H","PCTuberskin","H","RKHS",0.207
