Prefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.757674690660233
CBaya,C,BA,CBaya.C,0.740298052164438
CBaya,C,BA,CBaya.C,0.768030949952482
CBaya,C,BA,CBaya.C,0.766322380289878
CBaya,C,BA,CBaya.C,0.721054894714462
CBaya,C,BA,CBaya.C,0.725651408641933
CBaya,C,BA,CBaya.C,0.774554400571689
CBaya,C,BA,CBaya.C,0.763767960659585
CBaya,C,BA,CBaya.C,0.776362638202845
CBaya,C,BA,CBaya.C,0.761218563527536
CBaya,C,BA,CBaya.C,0.738788054364788
CBaya,C,BA,CBaya.C,0.704877413595962
CBaya,C,BA,CBaya.C,0.693173787157271
CBaya,C,BA,CBaya.C,0.689699847398727
CBaya,C,BA,CBaya.C,0.711999160113954
CBaya,C,BA,CBaya.C,0.700816661677493
CBaya,C,BA,CBaya.C,0.697613671386573
CBaya,C,BA,CBaya.C,0.697904826544514
CBaya,C,BA,CBaya.C,0.725206471219056
CBaya,C,BA,CBaya.C,0.686822994644253
CBaya,C,BA,CBaya.C,0.717702147147242
CBaya,C,BA,CBaya.C,0.741501344539085
CBaya,C,BA,CBaya.C,0.72378601029343
CBaya,C,BA,CBaya.C,0.729202452146672
CBaya,C,BA,CBaya.C,0.681449614364545
CBaya,C,BA,CBaya.C,0.684622747472094
CBaya,C,BA,CBaya.C,0.680411089955929
CBaya,C,BA,CBaya.C,0.694755847954633
CBaya,C,BA,CBaya.C,0.697026597165421
CBaya,C,BA,CBaya.C,0.688290139442299
CBaya,C,BA,CBaya.C,0.692399591794967
CBaya,C,BA,CBaya.C,0.670189590029907
CBaya,C,BA,CBaya.C,0.640753659640095
CBaya,C,BA,CBaya.C,0.709141548767417
CBaya,C,BA,CBaya.C,0.671734427597537
CBaya,C,BA,CBaya.C,0.636538662349105
CBaya,C,BA,CBaya.C,0.694990943688066
CBaya,C,BA,CBaya.C,0.634399235467248
CBaya,C,BA,CBaya.C,0.638736922929264
CBaya,C,BA,CBaya.C,0.611607032077144
CBaya,C,BA,CBaya.C,0.61563022728318
CBaya,C,BA,CBaya.C,0.599453926782534
CBaya,C,BA,CBaya.C,0.543619830630391
CBaya,C,BA,CBaya.C,0.592407476943361
CBaya,C,BA,CBaya.C,0.55868109868709
CBaya,C,BA,CBaya.C,0.577799144857833
CBaya,C,BA,CBaya.C,0.595905738876128
CBaya,C,BA,CBaya.C,0.534420668681535
CBaya,C,BA,CBaya.C,0.614498938396327
CBaya,C,BA,CBaya.C,0.572645940238524
CBaya,C,BA,CBaya.C,0.596249827157188
CBaya,C,BA,CBaya.C,0.599811094541742
CBaya,C,BA,CBaya.C,0.585780706551571
CBaya,C,BA,CBaya.C,0.60176881028022
CBaya,C,BA,CBaya.C,0.571976403762747
CBaya,C,BA,CBaya.C,0.532980158582465
CBaya,C,BA,CBaya.C,0.595206594139493
CBaya,C,BA,CBaya.C,0.589155002091161
CBaya,C,BA,CBaya.C,0.536440194580549
CBaya,C,BA,CBaya.C,0.597024863182247
CBaya,C,BA,CBaya.C,0.564694522179121
CBaya,C,BA,CBaya.C,0.566734196688225
CBaya,C,BA,CBaya.C,0.555083053951796
CBaya,C,BA,CBaya.C,0.539294083269178
CBaya,C,BA,CBaya.C,0.553302657066659
CBaya,C,BA,CBaya.C,0.552065359600621
CBaya,C,BA,CBaya.C,0.545550224998215
CBaya,C,BA,CBaya.C,0.599706934087319
CBaya,C,BA,CBaya.C,0.588226262690403
CBaya,C,BA,CBaya.C,0.517723849215942
CBaya,C,BA,CBaya.C,0.578860904236796
CBaya,C,BA,CBaya.C,0.583676182735107
CBaya,C,BA,CBaya.C,0.585069450277131
CBaya,C,BA,CBaya.C,0.577314987205163
CBaya,C,BA,CBaya.C,0.587738158037907
CBaya,C,BA,CBaya.C,0.621645200610215
CBaya,C,BA,CBaya.C,0.599673329169467
CBaya,C,BA,CBaya.C,0.608175567184641
CBaya,C,BA,CBaya.C,0.616105450315839
CBaya,C,BA,CBaya.C,0.593078880699937
CBaya,C,BA,CBaya.C,0.607563479020785
CBaya,C,BA,CBaya.C,0.589819992551224
CBaya,C,BA,CBaya.C,0.585348234984644
CBaya,C,BA,CBaya.C,0.616314671058493
CBaya,C,BA,CBaya.C,0.622155467943058
CBaya,C,BA,CBaya.C,0.599957092388353
CBaya,C,BA,CBaya.C,0.618400153539567
CBaya,C,BA,CBaya.C,0.611439486733381
CBaya,C,BA,CBaya.C,0.566044212896354
CBaya,C,BA,CBaya.C,0.579176275062825
CBaya,C,BA,CBaya.C,0.63515574470589
CBaya,C,BA,CBaya.C,0.64001094269343
CBaya,C,BA,CBaya.C,0.619212213823707
CBaya,C,BA,CBaya.C,0.613153133612978
CBaya,C,BA,CBaya.C,0.627858646758817
CBaya,C,BA,CBaya.C,0.60068987593608
CBaya,C,BA,CBaya.C,0.573544376556863
CBaya,C,BA,CBaya.C,0.528278261089976
CBaya,C,BA,CBaya.C,0.513386256101385
CBaya,C,BA,CBaya.C,0.586534243440539
CBaya,C,BA,CBaya.C,0.612954201433289
CBaya,C,BA,CBaya.C,0.606785357838066
CBaya,C,BA,CBaya.C,0.556392397640453
CBaya,C,BA,CBaya.C,0.589259352957063
CBaya,C,BA,CBaya.C,0.569455835808241
CBaya,C,BA,CBaya.C,0.579796079298818
CBaya,C,BA,CBaya.C,0.574684223919103
CBaya,C,BA,CBaya.C,0.574826477403991
CBaya,C,BA,CBaya.C,0.605518153368006
CBaya,C,BA,CBaya.C,0.60071906378766
CBaya,C,BA,CBaya.C,0.635283293393155
CBaya,C,BA,CBaya.C,0.595597529934565
CBaya,C,BA,CBaya.C,0.625548298541944
CBaya,C,BA,CBaya.C,0.610745024577759
CBaya,C,BA,CBaya.C,0.628143960326714
CBaya,C,BA,CBaya.C,0.578959447468871
CBaya,C,BA,CBaya.C,0.589206278182516
CBaya,C,BA,CBaya.C,0.618923810003077
CBaya,C,BA,CBaya.C,0.581432909842426
CBaya,C,BA,CBaya.C,0.581140775254103
CBaya,C,BA,CBaya.C,0.598023246503551
CBaya,C,BA,CBaya.C,0.585618491631967
CBaya,C,BA,CBaya.C,0.588453656521979
CBaya,C,BA,CBaya.C,0.582187023550045
CBaya,C,BA,CBaya.C,0.601250974111965
CBaya,C,BA,CBaya.C,0.639920066808382
CBaya,C,BA,CBaya.C,0.619106708856863
CBaya,C,BA,CBaya.C,0.596176357972582
CBaya,C,BA,CBaya.C,0.628872783600205
CBaya,C,BA,CBaya.C,0.615487434581444
CBaya,C,BA,CBaya.C,0.645490225283621
CBaya,C,BA,CBaya.C,0.638573023633102
CBaya,C,BA,CBaya.C,0.628861421428768
CBaya,C,BA,CBaya.C,0.639152828411213
CBaya,C,BA,CBaya.C,0.612642109636784
CBaya,C,BA,CBaya.C,0.579413383715311
CBaya,C,BA,CBaya.C,0.621556617533433
CBaya,C,BA,CBaya.C,0.601759487477909
CBaya,C,BA,CBaya.C,0.612858453256566
CBaya,C,BA,CBaya.C,0.613391844620241
CBaya,C,BA,CBaya.C,0.590808946058461
CBaya,C,BA,CBaya.C,0.629428220858896
CBaya,C,BA,CBaya.C,0.609002124103333
CBaya,C,BA,CBaya.C,0.641071886712698
CBaya,C,BA,CBaya.C,0.61538691244012
CBaya,C,BA,CBaya.C,0.628910212715984
CBaya,C,BA,CBaya.C,0.616038612824445
CBaya,C,BA,CBaya.C,0.614892924415003
CBaya,C,BA,CBaya.C,0.622019112570603
CBaya,C,BA,CBaya.C,0.561849915398133
CBaya,C,BA,CBaya.C,0.59443695922139
CBaya,C,BA,CBaya.C,0.605693931495932
CBaya,C,BA,CBaya.C,0.625854269459371
CBaya,C,BA,CBaya.C,0.623040285803003
CBaya,C,BA,CBaya.C,0.617889912778489
CBaya,C,BA,CBaya.C,0.576654213376923
CBaya,C,BA,CBaya.C,0.601436152899053
CBaya,C,BA,CBaya.C,0.601072848412198
CBaya,C,BA,CBaya.C,0.610145350415325
CBaya,C,BA,CBaya.C,0.580824353226765
