Models,Predictive_ability
BA,-0.014
BA,0.117
BA,0.068
BA,0.15
BA,-0.093
BA,-0.009
BA,0.076
BA,0.047
BA,0.053
BA,0.051
BA,0.084
BA,0.116
BA,0.151
BA,0.102
BA,-0.049
BA,0.214
BA,-0.116
BA,0.058
BA,0.117
BA,0.039
BA,0.084
BA,-0.102
BA,0.159
BA,-0.081
BA,0.136
BB,0.152
BB,-0.025
BB,0.217
BB,0.106
BB,-0.039
BB,-0.109
BB,0.108
BB,-0.042
BB,0.057
BB,0.049
BB,0.073
BB,-0.098
BB,0.103
BB,0.162
BB,-0.039
BB,0.094
BB,0.131
BB,0.072
BB,0.002
BB,0.1
BB,0.11
BB,-0.07
BB,0.169
BB,0.149
BB,-0.003
BC,-0.069
BC,0.031
BC,0.19
BC,0.102
BC,-0.017
BC,0.169
BC,0.069
BC,-0.032
BC,0.263
BC,-0.01
BC,0.026
BC,0.185
BC,0.211
BC,0.033
BC,0.034
BC,0.06
BC,-0.029
BC,0.008
BC,0.008
BC,0.064
BC,0.18
BC,0.034
BC,-0.006
BC,0.12
BC,0.034
BL,0.069
BL,0.098
BL,-0.072
BL,0.167
BL,-0.073
BL,-0.007
BL,-0.049
BL,0.024
BL,-0.135
BL,0.083
BL,-0.088
BL,-0.023
BL,0.022
BL,0.08
BL,0.191
BL,0.053
BL,0.015
BL,-0.044
BL,0.109
BL,0.054
BL,0.045
BL,0.049
BL,-0.005
BL,-0.079
BL,0.092
BRR,-0.046
BRR,0.242
BRR,0.062
BRR,0.189
BRR,-0.049
BRR,0.256
BRR,-0.009
BRR,0.108
BRR,0.033
BRR,0.078
BRR,0.144
BRR,0.106
BRR,-0.045
BRR,-0.01
BRR,0.224
BRR,-0.01
BRR,-0.067
BRR,0.095
BRR,0.267
BRR,-0.038
BRR,0.121
BRR,-0.132
BRR,-0.092
BRR,0.032
BRR,0.177
GBLUP,-0.153
GBLUP,NA
GBLUP,NA
GBLUP,NA
GBLUP,-0.165
GBLUP,NA
GBLUP,-0.112
GBLUP,NA
GBLUP,NA
GBLUP,NA
GBLUP,NA
GBLUP,-0.087
GBLUP,NA
GBLUP,NA
GBLUP,-0.151
GBLUP,NA
GBLUP,NA
GBLUP,-0.15
GBLUP,NA
GBLUP,NA
GBLUP,NA
GBLUP,NA
GBLUP,-0.066
GBLUP,NA
GBLUP,-0.139
EGBLUP,-0.007
EGBLUP,0.022
EGBLUP,0.017
EGBLUP,0.196
EGBLUP,0.142
EGBLUP,0.075
EGBLUP,0.082
EGBLUP,0.042
EGBLUP,0.021
EGBLUP,-0.065
EGBLUP,0.096
EGBLUP,0.141
EGBLUP,-0.085
EGBLUP,0.099
EGBLUP,-0.004
EGBLUP,0.028
EGBLUP,0.033
EGBLUP,0.021
EGBLUP,0.005
EGBLUP,0.223
EGBLUP,-0.04
EGBLUP,0.176
EGBLUP,-0.124
EGBLUP,0.14
EGBLUP,-0.017
RKHS,-0.078
RKHS,0.265
RKHS,0.099
RKHS,0.027
RKHS,0.133
RKHS,-0.011
RKHS,0.006
RKHS,0.14
RKHS,0
RKHS,0.176
RKHS,-0.104
RKHS,0.167
RKHS,-0.02
RKHS,-0.085
RKHS,-0.107
RKHS,0.161
RKHS,0.277
RKHS,-0.106
RKHS,0.062
RKHS,0.046
RKHS,0.07
RKHS,0.085
RKHS,0.198
RKHS,-0.048
RKHS,0.044
Lasso,-0.102
Lasso,0.115
Lasso,0.098
Lasso,0.09
Lasso,0.1
Lasso,NA
Lasso,0.075
Lasso,NA
Lasso,0.094
Lasso,0.01
Lasso,0.043
Lasso,0.03
Lasso,-0.01
Lasso,0.034
Lasso,-0.076
Lasso,0.062
Lasso,0.053
Lasso,NA
Lasso,-0.096
Lasso,0.186
Lasso,NA
Lasso,0.18
Lasso,NA
Lasso,NA
Lasso,-0.019
RR,0.037
RR,NA
RR,0.06
RR,NA
RR,0.043
RR,-0.213
RR,-0.132
RR,NA
RR,-0.138
RR,NA
RR,NA
RR,0.163
RR,NA
RR,0.234
RR,-0.24
RR,-0.188
RR,NA
RR,NA
RR,0.03
RR,NA
RR,0.074
RR,-0.094
RR,NA
RR,0.012
RR,0.231
SVM,0.041
SVM,0.157
SVM,0.101
SVM,0.254
SVM,-0.082
SVM,0.162
SVM,0.159
SVM,0.177
SVM,0.064
SVM,0.144
SVM,0.072
SVM,0.225
SVM,0.121
SVM,0.059
SVM,0.03
SVM,0.192
SVM,0.028
SVM,0.254
SVM,0.025
SVM,0.193
SVM,0.131
SVM,0.194
SVM,0.006
SVM,0.024
SVM,0.216
RF,0.009
RF,-0.084
RF,0.153
RF,0.13
RF,0.203
RF,0.287
RF,0.217
RF,-0.13
RF,0.035
RF,0.114
RF,-0.081
RF,0.138
RF,0.097
RF,0.254
RF,0.048
RF,-0.046
RF,0.052
RF,0.357
RF,-0.04
RF,0.014
RF,0.295
RF,0.091
RF,0.05
RF,0.122
RF,0.003
