SAMPLES,GEBVs(SVM),ACTUAL
15062362,117.439,117
15061954,116.326,132
15062339,116.82,106
15061482,115.807,117
15062104,117.914,128
15061707,116.767,117
15061567,116.03,118
15061964,118.118,117
15061488,117.264,117
15061438,117.641,117
15061814,119.28,117
15061721,116.269,106
15061601,117.139,116
15061719,118.136,115
15061629,115.736,107
15061477,123.461,115
15061761,118.837,117
15061336,115.941,117
15061386,116.961,118
15061305,116.166,118
15061676,117.174,128
15061523,116.235,115
15061763,116.465,132
15061385,116.022,117
15062133,116.062,117
15061333,117.042,117
15061627,118.616,107
15061731,117.195,118
15061641,119.555,117
15061330,118.678,124
15061626,115.725,117
15062147,117.734,106
15061487,117.736,132
15060536,117.699,117
15061261,115.973,106
15061389,117.141,118
15060101,118.357,132
15061397,116.432,132
15061551,116.691,132
15061539,115.942,117
15062115,116.264,118
15061361,117.098,117
15061669,116.747,112
15062359,112.675,117
15061690,117.362,117
15061308,116.746,117
15062372,118.806,117
15061342,117.099,106
15061281,118.464,115
15061932,116.265,128
15061370,115.704,117
15061630,116.017,124
15061789,115.972,115
15061666,118.014,118
15062143,116.8,117
15061297,117.603,117
15061907,118.986,116
15061538,116.077,118
15062371,119.03,118
15061685,116.904,115
15062081,117.208,115
15061969,116.065,116
15061498,116.157,117
15061271,118.87,124
15062344,117.217,106
15061279,129.452,117
15062144,115.661,128
15061722,115.547,106
15061768,116.213,118
15061557,116.988,115
15061434,117.905,116
15060072,126.217,115
15061405,116.861,115
15062052,116.395,106
15062098,116.6,118
15061916,117.423,112
15061377,116.476,117
15061633,118.187,117
15061702,115.213,115
15061614,117.428,117
15061368,116.933,106
15061520,118.129,115
15060082,116.723,116
15061656,119.006,128
15061331,117.114,117
15061327,116.343,117
15062074,117.059,117
15061300,115.818,112
15061776,115.845,117
15061462,114.954,115
15061302,116.409,118
15061957,117.162,115
15061514,115.68,118
15060909,116.816,117
15062063,117.18,118
15060090,118.292,118
15061301,117.42,117
15061423,121.773,117
15061453,116.647,115
15060215,116.658,117
15062119,117.818,118
15061537,118.973,115
15061667,116.958,124
15062123,113.571,117
15061710,116.181,106
15061258,118.059,117
15061443,115.949,115
15060050,113.527,115
15060110,116.522,117
15062053,118.413,132
15061764,116.45,118
15061799,115.361,115
