SAMPLES,GEBVs(SVM),ACTUAL
15062362,22.547,40
15061954,55.03,57
15062339,56.291,39
15061482,44.264,47
15062104,24.919,20
15061707,31.39,26
15061567,55.733,57
15061964,22.977,20
15061488,31.526,40
15061438,34.573,26
15061814,55.425,57
15061721,49.319,43
15061601,21.934,20
15061719,23.828,28
15061629,52.252,20
15061477,21.554,20
15061761,23.589,20
15061336,32.406,20
15061386,21.413,20
15061305,31.545,20
15061676,22.981,26
15061523,22.083,20
15061763,23.513,20
15061385,21.637,20
15062133,23.431,20
15061333,33.452,28
15061627,53.805,49
15061731,34.631,41
15061641,55.659,48
15061330,38.459,57
15061626,24.876,20
15062147,56.101,53
15061487,21.552,20
15060536,36.937,59
15061261,20.632,34
15061389,35.792,45
15060101,23.794,20
15061397,21.205,42
15061551,44.943,58
15061539,21.205,40
15062115,38.007,42
15061361,23.051,20
15061669,50.84,58
15062359,50.516,26
15061690,31.001,26
15061308,35.638,28
15062372,35.805,28
15061342,23.166,28
15061281,40.2,49
15061932,51.448,45
15061370,53.835,58
15061630,23.348,20
15061789,43.702,55
15061666,22.198,34
15062143,20.931,20
15061297,21.464,20
15061907,38.373,4
15061538,21.024,39
15062371,33.127,39
15061685,21.228,28
15062081,31.997,20
15061969,51.021,26
15061498,36.04,26
15061271,54.851,20
15062344,35.264,20
15061279,23.234,26
15062144,21.364,35
15061722,37.19,57
15061768,39.344,49
15061557,21.88,20
15061434,55.424,53
15060072,50.62,53
15061405,36.331,20
15062052,55.069,28
15062098,54.315,58
15061916,23.356,20
15061377,23.688,58
15061633,38.696,40
15061702,23.642,28
15061614,33.143,33
15061368,21.383,20
15061520,22.854,38
15060082,27.021,20
15061656,38.088,42
15061331,32.604,34
15061327,20.936,20
15062074,21.414,20
15061300,36.379,28
15061776,45.571,26
15061462,29.032,45
15061302,35.372,28
15061957,51.123,58
15061514,21.773,20
15060909,51.124,26
15062063,21.996,20
15060090,30.386,20
15061301,27.844,26
15061423,43.705,33
15061453,35.902,40
15060215,41.095,33
15062119,23.826,20
15061537,23.125,39
15061667,21.053,20
15062123,23.277,20
15061710,21.987,20
15061258,33.911,20
15061443,44.021,53
15060050,29.844,57
15060110,22.083,20
15062053,42.106,45
15061764,23.323,20
15061799,23.162,20
