SAMPLES,CBaya.C,CBaya.C.GEBV,CBaya.H,CBaya.H.GEBV,CBaya.L,CBaya.L.GEBV,CPBrote.C,CPBrote.C.GEBV,CPBrote.H,CPBrote.H.GEBV,CPBrote.L,CPBrote.L.GEBV,CPFlor.C,CPFlor.C.GEBV,CPFlor.H,CPFlor.H.GEBV,CPFlor.L,CPFlor.L.GEBV,CPTuber.C,CPTuber.C.GEBV,CPTuber.H,CPTuber.H.GEBV,CPTuber.L,CPTuber.L.GEBV,CPulpa.C,CPulpa.C.GEBV,CPulpa.H,CPulpa.H.GEBV,CPulpa.L,CPulpa.L.GEBV,CSBrote.C,CSBrote.C.GEBV,CSBrote.H,CSBrote.H.GEBV,CSBrote.L,CSBrote.L.GEBV,CSPulpa.C,CSPulpa.C.GEBV,CSPulpa.H,CSPulpa.H.GEBV,CSPulpa.L,CSPulpa.L.GEBV,CSTuber.C,CSTuber.C.GEBV,CSTuber.H,CSTuber.H.GEBV,CSTuber.L,CSTuber.L.GEBV,CTallo.C,CTallo.C.GEBV,CTallo.H,CTallo.H.GEBV,CTallo.L,CTallo.L.GEBV
15062362,45.36,44,117.439,117,54.496,54,22.547,40,309.227,309,32.956,43,50.91153,42,318.526,316,43.868,41,25.148,47,30.875,85,31.146,76,15.582,18,83.445,90,86.655,84,5.618,4,191.528,41,94.866,94,34.10121,36,267.302,344,34.5,42,35.161,35,101.932,80,77.271,48,33.865,44,169.564,117,47.43,54
15061954,48.975,38,116.326,132,65.284,53,55.03,57,331.6,339,42.969,39,51.32117,49,322.178,320,48.575,54,35.46,35,33.71,16,42.645,40,23.104,18,90.191,90,84.007,84,6.138,4,211.197,41,94.514,94,34.91893,43,339.833,342,37.137,42,38.519,41,74.129,86,76.128,80,43.356,44,124.91,117,53.719,54
15062339,43.671,59,116.82,106,54.842,69,56.291,39,318.901,321,39.337,36,41.81595,55,313.485,329,44,36,45.624,47,99.29,85,73.824,76,21.259,26,86.634,94,85.414,84,6.744,7,248.078,318,94.459,95,33.81236,34,323.852,344,35.854,42,32.588,37,124.073,18,40.164,42,38.248,44,179.061,117,49.257,54
15061482,42.792,44,115.807,117,51.609,54,44.264,47,322.562,352,45.522,36,49.12141,60,322.49,332,44.125,41,42.536,42,76.896,96,77.381,80,9.487,6,73.883,71,88.707,92,5.097,4,97.266,41,94.16,94,32.2423,33,337.338,324,36.175,43,37.184,29,51.813,17,47.194,50,39.404,44,127.994,117,51.788,54
15062104,45.63,45,117.914,128,53.865,58,24.919,20,311.779,307,32.177,26,48.78889,58,317.301,312,45.382,33,10.688,36,305.997,83,30.062,79,24.436,18,88.391,90,84.028,84,5.914,4,147.002,41,94.132,94,32.91605,36,316.808,328,35.424,37,37.457,30,93.346,346,77.582,28,29.942,44,174.151,117,42.189,54
15061707,45.194,44,116.767,117,54.541,54,31.39,26,307.605,314,34.834,33,50.91319,40,315.598,308,47.686,38,13.28,43,297.778,355,30.73,51,17.361,18,88.682,90,85.522,84,7.034,7,251.626,318,93.694,96,33.97714,38,305.28,324,34.37,41,33.526,36,113.384,83,72.025,42,25.101,16,210.328,359,36.369,28
15061567,45.78,48,116.03,118,75.242,66,55.733,57,318.861,339,36.624,39,41.99529,40,313.999,326,57.862,63,44.514,47,98.475,85,72.763,76,15.64,26,81.442,94,86.121,84,7.251,4,203.928,41,92.335,94,31.63572,43,314.262,345,35.291,42,33.096,25,102.468,28,45.883,45,35.653,44,181.665,117,47.186,54
15061964,44.123,44,118.118,117,56.752,54,22.977,20,309.557,307,31.257,26,14.23462,6,80.627,71,84.37,92,30.497,29,37.389,17,43.687,50,20.069,18,88.048,90,84.447,84,5.862,4,219.306,41,95.141,94,26.87696,22,335.646,345,31.061,30,33.197,41,90.384,86,74.335,80,38.284,44,144.846,117,49.843,54
15061488,45.776,44,117.264,117,58.323,54,31.526,40,289.64,308,43.103,38,53.72362,58,323.827,322,44.443,43,13.149,11,295.408,328,31.185,30,19.349,6,85.123,71,84.395,92,11.144,4,207.481,41,86.949,94,32.00656,36,343.631,346,33.357,30,35.163,35,88.238,83,78.118,75,17.305,16,208.475,359,32.018,28
15061438,45.816,44,117.641,117,57.888,54,34.573,26,289.598,314,43.279,33,53.76351,46,323.133,323,44.736,57,13.181,8,299.097,313,31.582,29,16.504,6,84.939,71,85.192,92,11.115,58,205.877,336,86.949,48,32.01861,26,343.309,342,33.372,50,35.202,32,87.17,84,76.316,81,17.223,6,207.675,23,32.046,28
