SAMPLES,c1_16542,c1_7871,c1_7872,c1_7874,c2_47202
15060021,3,3,3,1,3
15060027,4,4,4,0,4
15060039,3,3,4,0,4
15060042,3,3,3,1,3
15060050,2,2,2,1,3
15060056,3,4,4,0,4
15060063,3,2,2,2,3
15060070,3,4,4,0,4
15060072,4,2,2,2,2
15060082,3,3,4,0,4
15060085,4,2,2,2,3
15060097,3,1,3,0,4
15060101,4,3,3,0,4
15060102,3,1,2,2,2
15060110,3,4,4,0,4
15060112,4,3,3,1,3
15060114,3,3,3,0,4
15060120,2,4,4,0,4
15060121,4,3,3,1,3
15060122,2,2,2,1,3
15060138,3,4,4,0,4
15060160,2,2,3,1,3
15060187,4,3,3,1,3
15060188,3,4,4,0,4
15060190,4,3,3,1,3
15060191,4,3,3,1,3
15060215,3,3,3,0,4
15060313,4,2,3,1,3
15060345,4,3,3,1,3
15060383,4,2,3,1,3
15060420,4,3,3,1,3
15060543,1,4,4,0,4
15060570,3,3,3,1,2
15060797,4,3,3,1,4
15060846,2,2,2,1,3
15060907,2,4,4,0,4
15060909,4,2,4,0,4
15060910,3,2,2,1,3
15061007,4,4,4,0,4
15061011,4,3,3,1,3
15061122,2,2,2,1,3
15061204,4,2,2,1,3
15061213,3,3,4,0,4
15061215,3,3,4,0,4
15061216,3,3,3,1,3
15061225,NA,3,3,0,4
15061226,3,4,4,0,4
15061237,1,4,4,0,4
15061256,4,4,4,0,4
15061257,2,4,4,0,4
15061258,3,3,3,1,3
15061259,3,4,4,0,4
15061261,4,3,3,1,3
15061262,4,3,3,0,4
15061263,4,4,4,0,4
15061264,4,3,3,0,4
15061265,4,4,4,0,4
15061270,4,3,3,1,3
15061271,4,2,2,2,2
15061273,4,4,4,0,4
15061274,4,1,2,2,2
15061277,4,1,3,1,3
15061279,4,2,3,1,3
15061281,3,3,4,0,4
15061283,4,3,3,1,3
15061286,4,2,2,2,2
15061288,3,3,4,0,4
15061289,3,3,4,0,4
15061290,4,3,4,0,4
15061291,4,3,3,1,3
15061293,4,3,3,1,3
15061295,4,4,4,0,4
15061296,3,2,3,1,2
15061297,4,4,4,0,4
15061298,4,3,3,1,3
15061300,3,3,4,0,3
15061301,4,3,3,1,3
15061302,4,3,3,1,3
15061303,4,2,4,0,4
15061305,3,4,4,0,3
15061307,4,4,4,0,4
15061312,4,3,3,1,3
15061313,4,3,3,1,3
15061314,4,2,3,1,3
15061317,4,3,3,0,4
15061320,4,3,3,0,4
15061323,3,3,3,0,4
15061324,4,3,4,0,3
15061327,4,3,3,1,3
15061329,4,3,3,1,3
15061330,3,2,3,0,4
15061331,3,2,3,1,3
15061335,4,4,4,0,4
15061336,4,3,4,0,4
15061340,3,4,4,0,4
15061342,4,3,3,1,3
15061344,4,4,4,0,4
15061345,4,3,3,1,3
15061346,4,3,3,1,3
15061347,3,4,4,0,4
15061349,4,3,4,0,4
15061352,4,4,4,0,4
15061353,4,3,3,1,3
15061355,4,3,3,1,3
15061360,4,3,3,1,3
