SAMPLES,c1_1318,c1_4359,c1_5936,c1_5940,c2_23251
15060021,3,3,1,1,0
15060027,1,2,1,1,0
15060039,0,2,1,1,2
15060042,3,3,1,1,0
15060050,4,4,2,2,0
15060056,3,2,1,1,1
15060063,0,2,0,0,3
15060070,2,2,0,0,0
15060072,1,1,1,1,0
15060082,2,3,0,0,0
15060085,3,2,1,1,0
15060097,0,0,0,0,0
15060101,1,2,1,1,0
15060102,2,2,1,1,1
15060110,2,2,0,0,0
15060112,2,2,1,1,0
15060114,1,1,1,1,1
15060120,2,3,0,0,2
15060121,1,3,1,1,0
15060122,4,4,2,2,0
15060138,3,2,1,1,0
15060160,4,4,2,3,0
15060187,2,4,0,0,0
15060188,2,2,0,0,0
15060190,3,3,1,1,2
15060191,2,3,1,1,1
15060215,1,1,1,1,1
15060313,2,2,0,0,2
15060345,0,1,0,0,2
15060383,2,2,0,0,2
15060420,0,1,0,0,2
15060543,3,2,0,0,1
15060570,4,2,1,1,1
15060797,2,3,3,3,1
15060846,4,4,2,2,0
15060907,2,2,2,2,2
15060909,0,1,0,0,1
15060910,0,2,1,1,1
15061007,3,2,1,1,2
15061011,3,3,0,0,2
15061122,4,4,2,2,0
15061204,4,4,1,1,2
15061213,0,2,1,1,2
15061215,0,2,1,1,2
15061216,3,2,0,0,0
15061225,1,1,1,1,1
15061226,4,3,1,1,1
15061237,3,2,0,0,1
15061256,3,3,2,2,0
15061257,3,1,0,0,2
15061258,2,2,0,0,1
15061259,2,2,0,0,0
15061261,3,3,0,0,2
15061262,1,2,1,1,0
15061263,2,2,0,0,0
15061264,1,2,1,1,0
15061265,2,2,1,1,0
15061270,2,3,1,1,0
15061271,2,3,0,0,0
15061273,2,2,1,1,0
15061274,2,1,0,0,1
15061277,3,2,0,0,1
15061279,1,2,0,0,1
15061281,0,2,1,1,2
15061283,2,2,1,1,0
15061286,2,3,0,0,0
15061288,0,2,1,1,2
15061289,0,2,1,1,2
15061290,3,1,1,1,0
15061291,0,2,0,0,1
15061293,2,1,1,1,1
15061295,2,2,0,0,1
15061296,3,3,0,0,1
15061297,3,3,2,2,0
15061298,2,1,0,0,0
15061300,2,3,1,1,1
15061301,2,1,0,0,0
15061302,1,3,1,1,1
15061303,0,1,0,0,1
15061305,4,2,1,1,0
15061307,3,4,2,2,0
15061312,0,2,0,0,1
15061313,2,3,1,1,1
15061314,1,2,1,1,2
15061317,1,2,1,1,0
15061320,4,3,2,2,0
15061323,1,1,1,1,1
15061324,3,1,1,1,1
15061327,3,3,0,0,2
15061329,2,4,1,1,1
15061330,2,2,0,0,0
15061331,1,1,0,0,1
15061335,3,4,1,1,1
15061336,3,3,1,1,0
15061340,2,2,0,0,0
15061342,2,2,1,1,0
15061344,3,3,1,1,1
15061345,0,1,0,0,2
15061346,0,1,0,0,2
15061347,3,2,1,1,0
15061349,3,3,1,1,0
15061352,1,3,0,0,1
15061353,2,2,1,1,0
15061355,2,2,1,1,0
15061360,2,2,1,1,0
15061364,2,2,1,1,0
15061365,0,2,1,1,2
15061367,0,2,1,1,2
15061368,1,3,1,1,0
15061369,1,3,1,1,0
15061370,0,1,0,0,2
15061377,3,3,0,0,2
15061378,3,4,1,1,1
15061380,3,2,1,1,0
15061382,1,1,1,1,1
15061383,2,2,1,1,0
15061384,2,2,0,0,0
15061385,2,2,0,0,0
15061386,1,3,1,1,0
15061388,0,3,1,1,0
15061389,1,3,0,0,1
15061390,1,3,0,0,1
15061392,2,4,0,0,1
15061394,1,2,1,1,0
15061396,1,2,1,1,0
15061404,1,3,0,0,1
15061406,2,2,1,1,0
15061410,0,2,1,1,2
15061411,2,2,1,1,0
15061414,1,3,0,0,1
15061415,3,1,0,0,0
15061417,1,3,0,0,1
15061418,1,3,0,0,1
15061419,2,2,0,0,0
15061420,4,3,2,2,0
15061421,3,3,0,0,2
15061422,2,3,0,0,0
15061423,2,3,0,0,0
15061424,2,2,0,0,1
15061425,0,1,0,0,2
15061430,0,1,0,0,2
15061434,3,1,0,0,0
15061435,2,2,1,1,0
15061436,0,0,0,0,0
15061437,4,4,2,2,0
15061438,1,3,0,0,1
15061439,4,4,2,2,0
15061441,2,3,1,1,1
15061442,2,2,1,1,0
15061443,0,0,0,0,0
15061444,2,2,2,2,0
15061445,2,3,1,1,1
15061447,2,3,0,0,0
15061453,2,3,1,1,1
15061458,0,1,0,0,2
15061459,1,3,0,0,1
15061461,0,1,0,0,2
15061462,4,4,2,2,0
15061463,2,3,0,0,0
15061469,3,3,1,1,1
15061470,4,4,2,2,0
15061471,4,4,2,2,0
15061475,3,3,0,0,2
15061477,2,2,2,2,0
15061478,2,2,0,0,0
15061479,2,3,0,0,0
15061480,2,3,1,1,1
15061481,2,3,1,1,1
15061482,0,0,0,0,0
15061484,2,3,1,1,0
15061485,0,0,0,0,0
15061487,2,2,1,1,1
15061488,1,3,0,0,1
15061489,1,3,0,0,1
