Samples,Tallo.LCH.C
15060021,16
15060027,16
15060039,44
15060042,16
15060050,44
15060056,44
15060063,16
15060070,16
15060072,44
15060082,44
15060085,44
15060097,44
15060101,44
15060102,44
15060110,16
15060112,44
15060114,44
15060120,16
15060121,44
15060122,44
15060138,16
15060160,44
15060187,16
15060188,44
15060190,44
15060191,44
15060215,44
15060313,44
15060345,44
15060383,44
15060420,44
15060543,44
15060570,44
15060797,44
15060846,44
15060907,16
15060909,44
15060910,16
15061007,44
15061011,44
15061122,44
15061204,44
15061213,44
15061215,44
15061216,44
15061225,44
15061226,44
15061237,44
15061256,44
15061257,16
15061258,16
15061259,16
15061261,44
15061262,44
15061263,44
15061264,44
15061265,44
15061270,44
15061271,44
15061273,44
15061274,44
15061277,44
15061279,44
15061281,44
15061283,44
15061286,44
15061288,44
15061289,44
15061290,44
15061291,44
15061293,16
15061295,19
15061296,16
15061297,44
15061298,44
15061300,44
15061301,44
15061302,44
15061303,44
15061305,44
15061307,16
15061312,44
15061313,44
15061314,44
15061317,44
15061320,44
15061323,44
15061324,44
15061327,44
15061329,16
15061330,44
15061331,44
15061335,44
15061336,44
15061340,16
15061342,44
15061344,44
15061345,44
15061346,44
15061347,44
15061349,44
15061352,44
15061353,44
15061355,16
15061360,44
15061364,44
15061365,44
15061367,44
15061368,44
15061369,44
15061370,44
15061377,44
15061378,44
15061380,16
15061382,44
15061383,16
15061384,16
15061385,16
15061386,44
15061388,44
15061389,16
15061390,16
15061392,44
15061394,44
15061396,16
15061404,44
15061406,44
15061410,44
15061411,44
15061414,16
15061415,44
15061417,16
15061418,16
15061419,16
15061420,44
15061421,44
15061422,44
15061423,44
15061424,16
15061425,44
15061430,44
15061434,16
15061435,16
15061436,44
15061437,44
15061438,38
15061439,44
15061441,16
15061442,44
15061443,44
15061444,44
15061445,44
15061447,44
15061453,16
15061458,44
15061459,44
15061461,44
15061462,44
15061463,44
15061469,44
15061470,44
15061471,21
15061475,44
15061477,44
15061478,16
15061479,44
15061480,16
15061481,44
15061482,44
15061484,19
15061485,44
15061487,21
15061488,16
15061489,16
15061490,16
15061492,44
15061493,44
15061495,16
15061498,44
15061500,44
15061501,16
15061503,44
15061504,19
15061505,21
15061507,44
15061508,16
15061509,44
15061511,44
15061514,44
15061516,16
15061517,17
15061518,44
15061520,44
15061521,16
15061523,16
15061524,16
15061525,44
15061526,16
15061528,17
15061530,44
15061533,44
15061534,44
15061535,16
15061536,16
15061537,44
15061538,16
15061539,44
15061542,44
15061543,44
15061546,16
15061549,21
15061550,16
15061551,44
15061553,44
15061555,17
15061556,44
15061557,44
15061561,44
15061564,44
15061565,17
15061566,16
15061567,44
15061571,44
15061575,21
15061576,21
15061577,44
15061580,17
15061585,21
15061586,44
15061588,17
15061601,16
15061602,44
15061604,44
15061608,44
15061609,21
15061610,17
15061614,44
15061621,44
15061622,44
15061626,16
15061627,44
15061628,44
15061629,16
15061630,16
15061632,44
15061633,16
15061638,44
15061639,21
15061640,16
15061641,44
15061642,44
15061645,44
15061646,44
15061649,44
15061650,44
15061651,45
15061653,44
15061654,44
15061658,38
15061659,21
15061665,44
15061666,16
15061667,16
15061668,44
15061669,44
15061670,44
15061671,44
15061673,16
15061677,44
15061678,21
15061679,16
15061680,21
15061682,21
15061683,16
15061684,44
15061686,21
15061687,44
15061688,44
15061690,44
15061702,21
15061706,44
15061707,16
15061709,44
15061712,44
15061714,16
15061717,16
15061719,44
15061720,17
15061722,44
15061723,16
15061724,16
15061725,16
15061726,16
15061729,16
15061733,44
15061734,16
15061735,44
15061736,16
15061737,16
15061738,16
15061740,16
15061744,44
15061747,44
15061751,43
15061752,19
15061753,44
15061754,44
15061755,44
15061756,21
15061757,16
15061758,44
15061760,16
15061761,44
15061762,16
15061764,44
15061766,44
15061769,44
15061771,16
15061772,44
15061773,16
15061776,44
15061777,16
15061784,16
15061785,44
15061788,44
15061789,44
15061790,44
15061795,16
15061797,16
15061798,44
15061799,16
15061800,44
15061811,44
15061813,44
15061814,16
15061815,44
15061826,44
15061905,45
15061906,16
15061907,48
15061908,16
15061909,44
15061910,44
15061911,44
15061915,44
15061917,44
15061918,44
15061926,44
15061927,16
15061929,44
15061930,16
15061933,44
15061934,16
15061937,44
15061939,44
15061941,44
15061944,44
15061945,44
15061948,44
15061949,44
15061951,44
15061952,16
15061953,44
15061954,44
15061957,44
15061958,44
15061960,44
15061961,17
15061964,44
15061965,44
15061966,16
15061967,16
15061968,44
15061969,44
15062036,44
15062038,44
15062039,44
15062050,44
15062051,44
15062052,44
15062053,44
15062063,44
15062067,44
15062069,16
15062071,44
15062080,44
15062081,24
15062092,44
15062094,44
15062097,44
15062100,44
15062101,16
15062102,44
15062103,44
15062105,16
15062106,16
15062107,44
15062108,16
15062109,44
15062112,16
15062115,16
15062117,44
15062118,44
15062119,16
15062122,44
15062124,19
15062126,16
15062133,16
15062136,44
15062139,44
15062143,16
15062144,16
15062145,16
15062146,16
15062147,44
15062149,16
15062150,16
15062151,44
15062152,16
15062153,44
15062332,44
15062333,16
15062334,44
15062335,44
15062337,44
15062338,44
15062339,44
15062344,44
15062346,44
15062347,44
15062349,44
15062350,44
15062351,16
15062353,44
15062354,44
15062356,17
15062357,16
15062358,16
15062359,44
15062360,44
15062361,44
15062363,44
15062366,44
15062367,16
15062368,44
15062369,16
15062371,44
