SAMPLES,c2_42655,c2_46081,c2_46107,c2_52905,c2_56238
15060021,0,4,4,4,2
15060027,0,4,4,4,2
15060039,1,4,4,4,4
15060042,0,4,4,4,4
15060050,0,4,4,4,4
15060056,0,4,4,4,3
15060063,1,4,4,4,2
15060070,0,4,4,4,3
15060072,1,3,3,3,3
15060082,0,4,4,4,4
15060085,0,3,3,3,3
15060097,2,4,4,4,4
15060101,0,4,4,4,4
15060102,0,4,4,4,3
15060110,0,4,4,4,3
15060112,0,4,4,4,4
15060114,0,4,4,4,4
15060120,0,4,4,4,3
15060121,1,4,4,4,4
15060122,0,4,4,4,4
15060138,0,4,4,3,4
15060160,0,4,4,4,4
15060187,0,4,4,4,4
15060188,0,4,NA,4,3
15060190,1,4,4,4,4
15060191,0,4,4,4,4
15060215,0,4,4,4,4
15060313,0,4,4,4,3
15060345,0,4,4,4,4
15060383,0,4,4,4,3
15060420,0,4,4,4,4
15060543,0,4,4,4,3
15060570,0,4,4,4,3
15060797,0,4,4,4,2
15060846,0,4,4,4,4
15060907,0,4,4,4,NA
15060909,2,4,4,4,4
15060910,0,3,3,3,4
15061007,1,3,3,2,4
15061011,0,4,4,4,4
15061122,0,4,4,4,4
15061204,1,4,4,4,2
15061213,1,4,4,4,4
15061215,1,4,4,4,4
15061216,0,4,4,4,3
15061225,0,4,4,4,4
15061226,0,4,4,4,3
15061237,0,4,4,4,3
15061256,0,4,4,4,2
15061257,0,4,4,4,4
15061258,0,4,4,4,3
15061259,0,4,4,4,3
15061261,0,4,4,4,4
15061262,0,4,4,4,4
15061263,0,4,4,4,4
15061264,0,4,4,4,4
15061265,1,4,4,4,3
15061270,0,4,4,4,4
15061271,0,3,3,3,2
15061273,1,4,4,4,3
15061274,0,4,4,4,4
15061277,0,4,4,4,4
15061279,0,4,4,4,3
15061281,1,4,4,4,4
15061283,0,4,4,4,4
15061286,0,3,3,3,2
15061288,1,4,4,4,4
15061289,1,4,4,4,4
15061290,2,4,4,4,3
15061291,0,4,4,4,4
15061293,0,4,4,4,3
15061295,0,4,4,4,3
15061296,0,4,4,4,3
15061297,0,4,4,4,2
15061298,0,4,4,4,4
15061300,0,4,4,4,3
15061301,0,4,4,4,4
15061302,0,4,4,4,4
15061303,2,4,4,4,4
15061305,0,3,3,3,4
15061307,0,4,4,4,4
15061312,0,4,4,4,4
15061313,0,4,4,4,4
15061314,0,3,3,3,3
15061317,0,4,4,4,4
15061320,2,4,4,4,4
15061323,0,4,4,4,4
15061324,0,3,NA,3,3
15061327,0,4,4,4,4
15061329,0,4,4,4,4
15061330,0,4,4,4,4
15061331,0,4,4,4,4
15061335,1,4,4,4,4
15061336,0,4,4,4,4
15061340,0,4,4,4,3
15061342,0,4,4,4,4
15061344,0,4,4,4,4
15061345,0,4,4,4,4
15061346,0,4,4,4,4
15061347,0,4,4,4,3
15061349,0,4,4,4,4
15061352,1,3,3,3,3
15061353,0,4,4,4,4
15061355,0,4,4,4,4
15061360,0,4,4,4,4
15061364,0,4,4,4,4
15061365,1,4,4,4,4
15061367,1,4,4,4,4
15061368,1,4,4,4,4
15061369,1,4,4,4,4
15061370,0,4,4,4,4
15061377,0,4,4,4,4
15061378,1,4,4,4,4
15061380,0,4,4,4,3
15061382,0,4,4,4,4
15061383,0,4,4,4,4
15061384,0,4,4,4,3
15061385,0,4,4,4,3
15061386,1,4,4,4,4
15061388,0,4,4,4,4
15061389,1,3,3,3,3
15061390,1,3,3,3,3
15061392,0,4,4,4,3
15061394,0,4,4,4,4
15061396,0,4,4,4,4
15061404,1,3,3,3,3
15061406,0,4,4,4,4
15061410,0,3,3,4,4
15061411,0,4,4,4,4
15061414,1,3,3,3,3
15061415,0,4,4,4,3
15061417,1,3,3,3,3
15061418,1,3,3,3,3
15061419,0,4,4,4,3
