SAMPLES,GEBVs(BA),ACTUAL
15062362,47.413,54
15061954,53.666,54
15062339,47.364,54
15061482,51.187,54
15062104,42.76,54
15061707,36.007,28
15061567,45.776,54
15061964,49.734,54
15061488,32.215,28
15061438,32.442,28
15061814,49.687,28
15061721,35.587,54
15061601,47.248,28
15061719,49.525,54
15061629,31.132,28
15061477,47.64,54
15061761,49.246,54
15061336,39.716,54
15061386,53.052,54
15061305,48.396,54
15061676,47.201,54
15061523,28.239,28
15061763,38.543,28
15061385,29.005,28
15062133,33.996,28
15061333,43.84,54
15061627,49.771,54
15061731,32.271,28
15061641,49.499,54
15061330,39.891,54
15061626,33.212,28
15062147,40.282,54
15061487,30.449,28
15060536,33.905,54
15061261,53.396,54
15061389,32.412,28
15060101,49.57,54
15061397,29.501,54
15061551,50.22,54
15061539,29.461,54
15062115,28.75,28
15061361,47.201,54
15061669,52.516,54
15062359,53.832,54
15061690,32.251,28
15061308,32.135,28
15062372,46.294,54
15061342,47.491,54
15061281,54.376,54
15061932,54.852,54
15061370,53.479,54
15061630,34.685,28
15061789,50.967,54
15061666,30.768,28
15062143,43.553,28
15061297,52.803,54
15061907,51.684,66
15061538,29.27,28
15062371,51.622,54
15061685,43.764,49
15062081,44.016,28
15061969,51.406,54
15061498,31.34,28
15061271,51.15,54
15062344,31.876,54
15061279,43.657,54
15062144,29.131,28
15061722,42.913,54
15061768,48.299,54
15061557,53.494,54
15061434,40.304,28
15060072,53.25,54
15061405,52.03,54
15062052,53.617,54
15062098,53.316,54
15061916,47.297,54
15061377,53.482,54
15061633,51.225,28
15061702,32.65,28
15061614,52.336,54
15061368,53.051,54
15061520,31.108,54
15060082,32.413,54
15061656,50.612,53
15061331,52.504,54
15061327,53.258,54
15062074,52.802,54
15061300,28.67,54
15061776,51.402,54
15061462,51.616,54
15061302,53.319,54
15061957,50.018,54
15061514,53.583,54
15060909,54.704,54
15062063,47.207,54
15060090,51.403,54
15061301,51.886,54
15061423,54.789,54
15061453,29.002,28
15060215,51.867,54
15062119,42.093,28
15061537,50.078,54
15061667,44.03,28
15062123,54.307,54
15061710,35.044,28
15061258,28.416,28
15061443,51.188,54
15060050,52.033,54
15060110,29.037,28
15062053,55.088,54
15061764,51.468,54
15061799,38.55,28
