SAMPLES,GEBVs(SVM),ACTUAL
15062362,25.148,47
15061954,35.46,35
15062339,45.624,47
15061482,42.536,42
15062104,10.688,36
15061707,13.28,43
15061567,44.514,47
15061964,30.497,29
15061488,13.149,11
15061438,13.181,8
15061814,29.747,29
15061721,33.913,28
15061601,25.916,8
15061719,30.32,33
15061629,40.819,41
15061477,21.29,8
15061761,30.891,32
15061336,28.149,23
15061386,14.715,16
15061305,24.24,41
15061676,27.2,32
15061523,12.579,16
15061763,28.004,22
15061385,11.547,11
15062133,26.289,29
15061333,30.371,8
15061627,28.975,32
15061731,12.667,43
15061641,29.818,28
15061330,33.135,35
15061626,24.478,8
15062147,29.132,37
15061487,10.108,16
15060536,40.789,32
15061261,32.956,41
15061389,12.619,11
15060101,30.236,26
15061397,13.205,26
15061551,39.779,41
15061539,12.346,35
15062115,42.751,42
15061361,26.886,28
15061669,44.546,47
15062359,37.197,47
15061690,12.384,8
15061308,12.477,8
15062372,32.769,16
15061342,27.414,29
15061281,29.654,37
15061932,40.232,42
15061370,33.337,37
15061630,10.318,11
15061789,40.396,41
15061666,9.311,36
15062143,37.203,32
15061297,12.354,8
15061907,33.447,42
15061538,12.191,11
15062371,32.236,35
15061685,37.643,32
15062081,21.668,19
15061969,35.131,41
15061498,13.985,8
15061271,34.644,11
15062344,13.848,29
15061279,28.543,29
15062144,11.833,16
15061722,26.46,19
15061768,26.899,33
15061557,33.379,35
15061434,31.487,29
15060072,33.395,40
15061405,28.974,36
15062052,33.473,39
15062098,34.687,28
15061916,26.448,19
15061377,34.637,47
15061633,33.732,36
15061702,10.175,42
15061614,29.071,28
15061368,14.72,24
15061520,44.123,28
15060082,39.517,42
15061656,33.4,36
15061331,28.867,35
15061327,32.18,37
15062074,29.493,41
15061300,42.517,42
15061776,40.267,47
15061462,44.59,47
15061302,12.603,11
15061957,35.466,32
15061514,32.296,37
15060909,40.612,35
15062063,26.749,19
15060090,31.106,36
15061301,40.591,32
15061423,33.355,29
15061453,40.206,8
15060215,28.991,36
15062119,10.281,8
15061537,30.996,29
15061667,37.938,28
15062123,38.646,35
15061710,9.897,8
15061258,29.014,11
15061443,41.692,47
15060050,31.466,28
15060110,8.556,16
15062053,31.9,35
15061764,12.543,35
15061799,28.178,34
