SAMPLES,GEBVs(RKHS),ACTUAL
15061614,34.14,30
15061337,37.404,47
15062067,33.944,37
15061752,35.812,41
15061930,32.735,36
15061566,38.92,42
15061773,33.049,35
15061575,36.757,26
15061344,35.904,35
15061282,34.172,42
15061926,34.187,41
15061906,36.813,32
15061665,35.008,39
15061397,38.925,37
15060187,36.495,35
15061534,37.821,42
15062362,37.411,37
15061521,37.62,41
15061633,34.295,36
15061659,32.693,41
15061673,34.974,19
15062356,37.77,35
15061361,37.412,33
15061729,35.468,36
15061755,36.296,42
15061496,37.144,41
15062368,38.899,47
15062339,34.911,37
15061577,37.341,47
15062136,37.967,31
15061529,35.734,42
15061396,33.013,41
15061482,34.644,29
15061814,34.501,42
15061769,36.696,37
15061610,37.379,42
15062147,38.451,42
15061358,36.099,36
15061550,35.505,42
15061271,37.162,42
15060214,34.796,37
15062074,35.807,26
15061507,36.687,42
15061383,37.349,36
15062149,38.392,42
15060042,37.68,42
15061647,36.085,28
15061477,37.361,24
15061586,32.672,37
15062347,33.889,37
15061958,36.241,39
15062346,35.62,39
15061639,34.533,37
15061757,35.308,32
15061299,34.16,26
15061653,38.889,39
15061761,33.023,20
15062146,37.782,19
15061655,35.21,29
15061329,37.333,42
15061535,37.131,41
15061578,37.338,36
15061730,35.388,41
15061627,35.594,28
15061500,34.652,39
15061717,34.564,24
15062122,38.566,42
15061435,35.33,42
15061706,35.036,32
15061624,38.752,42
15060121,33.87,41
15061423,38.384,41
15061488,36.708,35
15061916,37.354,35
15061487,36.445,42
15061281,36.803,42
15061937,35.835,42
15061493,37.149,41
15061296,37.601,35
15061649,34.682,35
15061307,35.201,35
15062133,37.158,37
15062350,38.306,35
15061338,38.91,35
15060027,36.983,35
15061011,36.081,33
15061795,37.806,42
15062358,36.72,47
15061216,35.636,32
15061300,37.339,41
15061462,33.854,22
15061516,35.061,33
15061394,32.997,19
15061453,37.324,42
15062123,34.628,37
15060110,38.909,47
15061964,33.004,41
15061542,34.639,41
15060570,34.906,32
15061785,35.142,29
15061766,34.606,35
15060021,37.811,32
15061364,37.383,41
15060050,32.813,34
15061637,36.085,33
15062369,38.449,42
15061345,38.899,35
15061966,36.504,41
15061737,35.472,19
15060112,37.373,35
15061751,32.733,37
15061567,36.235,25
