"HCLTraits","Traits","HCLs","Models","Means"
"CBaya.LCH.C","CBaya","C","GBLUP",0.153
"CBaya.LCH.H","CBaya","H","BC",0.0636666666666667
"CBaya.LCH.L","CBaya","L","BRR",0.111555555555556
"CPBrote.LCH.C","CPBrote","C","RKHS",0.574888888888889
"CPBrote.LCH.H","CPBrote","H","BC",0.346555555555556
"CPBrote.LCH.L","CPBrote","L","BRR",0.451777777777778
"CPFlor.LCH.C","CPFlor","C","RKHS",0.623111111111111
"CPFlor.LCH.H","CPFlor","H","RKHS",0.867888888888889
"CPFlor.LCH.L","CPFlor","L","RKHS",0.639888888888889
"CPTuber.LCH.C","CPTuber","C","BA",0.525222222222222
"CPTuber.LCH.H","CPTuber","H","RKHS",0.425
"CPTuber.LCH.L","CPTuber","L","GBLUP",0.490222222222222
"CPulpa.LCH.C","CPulpa","C","BB",0.445777777777778
"CPulpa.LCH.H","CPulpa","H","BC",0.291666666666667
"CPulpa.LCH.L","CPulpa","L","RKHS",0.422777777777778
"CSBrote.LCH.C","CSBrote","C","BA",0.247444444444444
"CSBrote.LCH.H","CSBrote","H","EGBLUP",0.204444444444444
"CSBrote.LCH.L","CSBrote","L","RKHS",0.303888888888889
"CSPulpa.LCH.C","CSPulpa","C","BRR",0.211555555555556
"CSPulpa.LCH.H","CSPulpa","H","GBLUP",0.139666666666667
"CSPulpa.LCH.L","CSPulpa","L","EGBLUP",0.347777777777778
"CSTuber.LCH.C","CSTuber","C","RKHS",0.190666666666667
"CSTuber.LCH.H","CSTuber","H","EGBLUP",0.146444444444444
"CSTuber.LCH.L","CSTuber","L","BB",0.355888888888889
"CTallo.LCH.C","CTallo","C","RKHS",0.663333333333333
"CTallo.LCH.H","CTallo","H","BL",0.462777777777778
"CTallo.LCH.L","CTallo","L","RKHS",0.709
