SAMPLES,CBaya.C,CBaya.C.GEBV,CBaya.H,CBaya.H.GEBV,CBaya.L,CBaya.L.GEBV,CPBrote.C,CPBrote.C.GEBV,CPBrote.H,CPBrote.H.GEBV,CPBrote.L,CPBrote.L.GEBV,CPFlor.C,CPFlor.C.GEBV,CPFlor.H,CPFlor.H.GEBV,CPFlor.L,CPFlor.L.GEBV,CPTuber.C,CPTuber.C.GEBV,CPTuber.H,CPTuber.H.GEBV,CPTuber.L,CPTuber.L.GEBV,CPulpa.C,CPulpa.C.GEBV,CPulpa.H,CPulpa.H.GEBV,CPulpa.L,CPulpa.L.GEBV,CSBrote.C,CSBrote.C.GEBV,CSBrote.H,CSBrote.H.GEBV,CSBrote.L,CSBrote.L.GEBV,CSPulpa.C,CSPulpa.C.GEBV,CSPulpa.H,CSPulpa.H.GEBV,CSPulpa.L,CSPulpa.L.GEBV,CSTuber.C,CSTuber.C.GEBV,CSTuber.H,CSTuber.H.GEBV,CSTuber.L,CSTuber.L.GEBV,CTallo.C,CTallo.C.GEBV,CTallo.H,CTallo.H.GEBV,CTallo.L,CTallo.L.GEBV
15061614,43.425,44,116.645,117,55.962,54,31.692,33,312.793,324,40.611,31,48.789,49,318.403,320,49.189,54,29.939,28,192.59,22,47.097,39,6.676,6,73.06952,71,92.19,92,6.123,7,231.441,318,95.199,96,32.341,33,335.484,328,30.754,32,34.14,30,79.157,83,72.952,82,41.993,44,120.916,117,53.432,54
15061337,44.53,44,116.723,117,58.471,54,28.815,26,309.124,314,30.414,33,48.539,57,320.942,317,43.775,49,26.474,28,83.705,345,36.317,30,15.411,18,86.16608,90,84.43,84,5.503,5,190.278,41,94.972,94,30.977,33,337.394,344,31.683,31,37.404,47,85.741,96,72.435,80,35.345,44,167.615,117,48.103,54
15062067,43.183,48,116.612,116,55.879,69,41.633,53,321.516,346,38.959,39,43.116,57,311.606,327,59.905,45,37.361,42,84.186,96,68.558,80,7.315,6,77.97243,71,90.901,92,4.98,4,147.368,41,94.657,94,32.219,33,338.161,344,34.23,41,33.944,37,42.584,41,60.825,42,42.816,44,136.92,117,53.263,54
15061752,44.715,48,116.479,118,59.482,66,23.853,20,308.828,307,27.842,26,46.181,57,314.768,327,41.446,45,12.453,22,177.746,344,36.992,27,10.062,26,80.9648,94,91.517,84,5.546,7,204.8,318,95.052,96,29.912,34,339.479,328,32.424,27,35.812,41,71.531,96,67.415,80,22.279,19,251.306,134,33.781,45
15061930,43.577,45,116.07,116,58.387,69,28.015,33,315.378,324,33.261,31,48.689,57,323.293,327,52.198,45,35.057,26,175.741,342,53.675,50,8.9,3,76.13632,71,90.752,92,5.318,7,193.954,318,94.805,95,32.211,28,337.331,346,33.018,27,32.735,36,64.355,83,67.795,79,39.246,16,118.36,359,53.131,28
15061566,44.384,38,116.713,115,59.345,50,25.088,26,308.014,314,30.19,33,50.679,57,321.366,317,45.957,49,9.421,8,176.187,313,34.565,29,4.672,6,75.60056,71,91.914,92,5.399,4,180.135,41,94.889,94,28.904,22,338.276,344,30.931,27,38.92,42,89.904,96,73.953,80,16.171,16,260.469,359,29.718,28
15061773,45.385,44,116.365,117,61.112,54,25.757,20,309.091,307,29.804,26,45.178,41,317.862,314,45.785,67,30.391,29,124.908,7,42.97,30,8.973,18,78.27983,90,91.339,84,5.887,7,220.17,318,95.177,96,30.165,28,336.551,345,32.653,30,33.049,35,35.981,83,47.809,76,21.547,16,204.471,359,35.27,28
15061575,45.172,48,116.444,118,61.442,66,21.366,20,307.717,307,27.641,26,48.17,42,315.757,316,48.063,41,33.26,46,57.333,9,41.462,39,20.241,18,89.51595,90,84.486,84,5.477,7,201.71,318,94.961,96,30.651,33,340.159,346,32.719,27,36.757,26,75.869,83,69.704,80,24.343,21,214.665,132,39.691,49
15061344,43.257,50,116.019,115,57.703,71,39.239,28,307.833,306,36.936,27,49.814,49,320.309,320,48.204,54,33.272,36,247.28,346,41.681,42,15.796,18,87.63024,90,87.517,84,5.123,7,160.675,318,94.772,96,31.473,33,335.108,345,32.636,30,35.904,35,85.195,67,70.324,75,41.97,44,132.618,117,52.591,54
15061282,43.407,38,116.636,112,55.896,58,28.1,28,312.864,306,40.754,27,48.978,58,318.406,322,49.157,43,29.589,26,192.56,342,47.057,50,5.588,6,73.15026,71,92.797,92,6.139,7,232.509,318,95.201,96,32.316,30,335.555,346,30.716,27,34.172,42,78.55,71,73.566,92,41.898,44,121.605,117,53.398,54
