SAMPLES,c1_11196,c1_11356,c1_11920,c1_11991,c1_15204,c1_16171,c1_16540,c1_16651,c1_2640,c1_4803,c1_8118,c1_8344,c2_10088,c2_12760,c2_12788,c2_13766,c2_15268,c2_25897,c2_26498,c2_26938,c2_30741,c2_31439,c2_3146,c2_34179,c2_36370,c2_37692,c2_40858,c2_44000,c2_45570,c2_55779,c2_55781,c2_5732,c2_5774,c2_7919,c2_9908
15060021,1,2,1,1,1,1,1,0,4,2,1,4,1,1,1,1,1,3,4,0,4,1,3,3,3,3,2,3,4,2,2,1,2,0,0
15060027,0,2,1,3,1,0,1,0,3,3,1,4,0,1,1,2,0,3,2,1,4,0,2,3,3,4,1,3,3,1,3,1,2,1,0
15060039,1,3,1,2,1,0,2,0,4,2,1,4,2,1,1,1,1,3,4,1,2,0,3,2,4,3,2,4,3,2,2,1,3,0,1
15060042,0,3,1,1,0,1,2,1,3,3,1,4,1,1,1,2,1,4,3,0,3,1,4,2,3,2,2,3,4,2,2,0,3,1,1
15060050,0,2,1,1,0,1,2,0,3,1,1,3,1,0,0,3,1,3,2,1,1,2,3,3,2,2,3,3,4,0,4,0,2,1,0
15060056,0,4,3,1,1,1,2,0,3,4,0,4,0,0,0,3,0,3,3,1,4,2,2,1,2,2,2,3,4,0,4,1,3,0,0
15060063,1,3,0,3,3,0,2,1,2,4,0,4,2,1,1,2,0,4,3,1,2,0,3,2,3,3,3,4,4,2,2,2,3,1,1
15060070,1,2,1,2,0,0,2,1,2,2,0,4,2,0,0,1,0,4,3,1,3,0,2,2,3,4,0,4,4,0,4,0,1,1,1
15060072,1,2,3,2,1,3,1,1,2,2,2,4,1,0,1,4,0,3,4,0,2,2,4,1,2,3,2,4,3,1,3,1,1,0,1
15060082,0,2,2,0,1,1,2,0,3,3,1,4,1,0,0,0,1,3,4,2,3,1,0,4,4,4,2,3,4,2,2,1,2,2,0
15060085,0,0,0,1,2,0,0,0,4,3,0,4,0,1,1,3,1,4,3,0,3,1,2,1,4,3,2,3,4,1,3,2,2,2,0
15060097,0,1,2,2,0,0,1,2,4,2,1,3,0,0,1,2,1,4,4,2,3,1,3,2,2,4,4,3,3,0,4,0,3,0,2
15060101,1,2,2,3,0,1,2,0,2,4,2,4,1,0,0,0,0,3,3,1,3,0,0,3,2,2,1,3,4,0,4,0,0,1,2
15060102,0,3,1,2,0,0,1,0,3,2,0,4,0,0,0,2,0,4,4,1,2,0,4,2,3,3,1,4,4,1,3,0,4,1,0
15060110,1,2,1,2,0,0,2,1,2,2,0,4,2,0,0,1,0,4,3,1,3,0,2,2,3,4,0,4,4,0,4,0,1,1,1
15060112,0,3,1,2,0,0,2,0,3,3,1,4,0,1,1,1,0,3,4,1,4,0,3,2,4,4,1,3,3,1,3,0,2,1,1
15060114,0,2,0,1,0,0,2,1,3,3,1,3,0,1,1,1,0,4,4,0,2,1,2,1,4,4,0,3,3,0,4,0,3,0,0
15060120,0,2,1,2,0,1,4,0,3,2,2,4,1,0,0,0,1,3,3,1,3,1,2,3,3,3,2,3,4,2,2,0,1,1,0
15060121,1,2,2,2,1,0,1,1,3,2,0,4,1,0,0,3,0,4,3,0,2,0,2,1,3,3,1,4,4,2,2,1,4,0,1
15060122,0,2,1,1,0,1,2,0,3,1,1,3,1,0,0,3,1,3,2,1,1,2,3,3,2,2,3,3,4,0,4,0,2,1,0
15060138,1,2,1,1,0,0,3,0,2,2,1,4,1,1,1,1,0,3,4,2,4,0,1,1,3,4,2,4,3,1,3,0,3,0,0
15060160,0,2,1,1,0,2,2,0,3,2,1,3,1,0,0,3,1,3,2,2,1,2,3,3,2,2,3,3,4,0,4,0,2,2,0
15060187,0,0,1,1,0,0,2,0,1,2,0,4,1,0,0,4,1,4,4,2,4,1,1,3,4,3,2,3,4,1,3,0,2,0,0
15060188,1,2,1,2,0,1,2,1,2,2,1,NA,2,NA,0,1,0,4,3,1,2,0,2,3,3,4,0,3,NA,0,4,0,1,1,1
15060190,1,3,2,1,0,0,2,1,2,2,0,4,1,0,0,1,1,4,2,1,3,0,2,1,3,4,3,3,4,0,4,0,4,1,2
15060191,2,3,0,4,1,0,1,0,3,2,0,4,2,0,0,0,0,4,2,1,2,0,1,2,3,2,0,4,4,1,3,1,1,0,1
15060215,0,2,0,1,0,0,2,1,3,3,1,3,0,1,1,1,0,4,4,0,2,1,2,1,4,4,0,3,3,0,4,0,3,0,0
15060313,0,3,2,3,0,1,1,0,4,3,2,3,0,2,2,2,1,2,4,2,4,2,3,4,4,3,2,2,3,0,4,0,2,1,2
15060345,1,3,0,2,1,0,2,0,2,2,0,4,1,0,0,0,0,4,3,0,3,0,2,0,3,2,2,4,4,2,2,1,3,0,0
15060383,0,3,2,3,0,1,1,0,4,3,2,3,0,2,2,2,1,2,4,2,4,2,3,4,4,3,2,2,3,0,4,0,2,1,2
15060420,1,3,0,2,1,0,2,0,2,2,0,4,1,0,0,0,0,4,3,0,3,0,3,0,3,2,2,4,4,2,2,1,3,0,0
15060543,0,4,1,1,1,0,3,1,2,1,1,4,1,0,1,1,0,2,4,2,4,NA,3,2,4,2,4,4,4,2,2,1,2,0,1
15060570,0,1,0,1,2,0,1,1,2,2,1,4,0,0,1,3,0,4,4,2,4,1,2,3,3,3,3,4,4,2,2,2,2,0,1
15060797,0,3,1,2,0,0,0,0,2,4,1,4,1,0,0,1,1,4,4,1,4,1,3,3,4,1,3,3,4,2,2,0,1,0,3
15060846,0,2,1,1,0,1,2,0,3,1,1,3,1,0,0,3,1,3,2,1,1,2,3,3,2,2,3,3,4,0,4,0,2,1,0
15060907,0,3,1,3,2,0,3,1,3,2,1,3,0,0,1,1,0,4,3,1,4,0,0,2,3,3,2,4,3,NA,NA,2,2,0,1
15060909,0,2,2,3,0,0,1,0,4,1,1,4,0,0,0,1,1,3,4,1,4,0,1,1,2,4,2,4,3,0,4,0,3,1,1
15060910,0,1,1,3,2,1,2,0,3,3,1,3,0,1,1,1,1,4,4,1,3,2,1,1,4,3,0,2,3,0,4,2,3,0,1
15061007,0,2,1,2,0,1,1,0,2,3,2,4,1,1,1,1,1,3,4,1,3,0,2,2,3,NA,3,2,4,0,4,0,3,2,0
15061011,1,3,2,3,1,0,1,0,3,1,0,4,1,0,0,1,1,4,3,1,3,0,3,2,3,3,1,3,4,1,3,1,2,0,1
15061122,0,2,1,1,0,1,2,0,3,1,1,3,1,0,0,3,1,3,2,1,1,2,3,3,2,2,3,3,4,0,4,0,2,1,0
15061204,1,2,2,3,3,1,2,1,1,2,2,4,1,0,1,4,2,3,4,1,2,1,4,1,3,NA,1,4,4,0,4,NA,4,0,0
15061213,1,3,1,2,1,0,2,0,4,2,1,4,2,1,1,1,1,3,4,1,2,0,3,2,4,3,2,4,3,2,2,1,3,0,1
15061215,1,3,1,2,1,0,2,0,4,2,1,4,2,1,1,1,1,3,4,1,2,0,3,1,4,3,2,4,3,2,2,1,3,0,1
15061216,0,4,3,3,2,2,3,1,3,4,1,4,0,0,0,2,2,4,3,2,4,1,2,1,3,2,1,3,4,1,3,2,4,0,1
15061225,0,2,0,2,0,0,2,1,3,3,1,3,0,1,1,1,0,4,4,0,2,1,2,1,4,4,0,3,3,0,4,0,3,0,0
15061226,0,1,1,1,3,0,1,1,4,2,1,4,0,0,1,3,0,4,3,2,3,1,2,3,4,4,2,4,4,1,3,NA,2,0,1
15061237,0,4,1,1,1,0,3,1,2,1,1,4,1,0,1,1,0,2,4,2,4,NA,3,2,4,2,4,4,4,2,2,1,2,0,1
15061256,0,2,2,1,0,1,1,0,3,3,0,4,0,1,1,2,2,4,3,1,4,1,2,3,4,3,2,4,3,1,3,1,2,1,1
15061257,0,2,0,2,0,0,2,0,4,2,1,4,1,0,1,1,0,4,3,1,4,NA,2,1,4,2,2,3,3,NA,NA,0,2,0,2
15061258,0,2,2,0,0,1,2,0,4,3,2,4,0,0,0,2,0,3,3,1,4,0,2,3,3,2,2,3,4,1,3,0,0,1,1
15061259,1,2,1,2,0,0,2,1,2,2,0,4,2,0,0,1,0,4,3,1,3,0,2,2,3,4,0,4,4,0,4,0,1,1,1
15061261,1,3,2,3,1,0,1,0,3,1,0,4,1,0,0,1,1,4,3,1,3,0,3,2,3,3,1,3,4,1,3,1,2,0,1
15061262,1,2,2,3,0,1,2,0,2,4,2,4,1,0,0,0,0,3,3,1,3,0,0,3,2,2,1,3,4,0,4,0,0,1,2
15061263,1,1,1,3,0,0,3,0,1,4,1,4,1,0,0,0,0,3,3,1,3,0,0,3,3,NA,1,4,4,0,4,0,0,1,2
15061264,1,2,1,3,0,1,2,0,2,4,2,NA,1,NA,NA,0,0,3,3,1,2,NA,1,3,2,2,1,3,NA,0,4,0,1,1,2
15061265,1,2,2,3,0,0,2,1,4,2,0,4,1,1,1,2,1,4,4,2,3,0,2,1,3,2,1,3,4,1,3,0,2,0,0
15061270,2,3,0,2,1,0,1,0,3,2,0,4,2,0,0,3,0,4,3,0,2,0,2,1,3,2,1,3,4,2,2,1,2,0,0
15061271,1,0,1,2,1,0,0,1,4,3,0,4,1,0,1,2,0,4,3,1,3,0,0,2,3,4,1,3,4,NA,NA,1,2,0,1
15061273,1,2,2,3,0,0,2,1,4,2,0,4,1,1,1,2,1,4,4,2,3,0,2,1,3,2,1,3,4,1,3,0,2,0,0
15061274,0,2,0,0,0,2,0,2,4,3,2,4,0,1,1,1,1,4,4,1,4,1,3,1,4,2,2,3,4,2,2,0,3,1,0
15061277,0,0,1,2,0,0,1,0,3,4,1,4,1,2,2,2,1,3,3,0,3,0,3,1,4,3,2,4,2,1,3,0,2,1,0
15061279,0,3,0,3,1,0,1,0,3,3,0,4,0,1,1,1,1,4,3,1,4,1,2,2,3,3,0,3,3,1,3,1,3,0,0
15061281,1,3,1,2,1,0,2,0,4,2,1,4,2,1,1,1,1,3,4,1,2,0,3,2,4,3,2,4,3,2,2,1,3,0,1
15061283,0,3,1,2,0,0,2,0,3,3,1,4,0,1,1,1,0,3,4,1,4,0,3,2,4,4,1,3,3,1,3,0,2,1,1
15061286,1,0,1,2,1,0,0,1,4,3,0,4,1,0,1,2,0,4,3,1,3,0,0,2,3,4,1,3,4,NA,NA,1,2,0,1
15061288,1,3,1,2,1,0,2,0,4,2,1,4,2,1,1,1,1,3,4,1,2,0,3,3,4,3,2,4,3,2,2,1,3,0,1
15061289,1,3,1,2,1,0,2,0,4,2,1,4,2,1,1,1,1,3,4,1,2,0,3,2,4,3,2,4,3,2,2,1,3,0,1
15061290,0,3,2,4,2,1,2,0,2,0,1,4,1,0,0,1,0,4,3,0,3,0,2,1,2,2,1,4,4,1,3,1,3,0,1
15061291,0,1,1,2,1,0,1,1,3,3,0,4,1,1,1,2,0,4,3,2,4,0,3,3,3,4,1,2,3,1,3,1,2,2,1
15061293,1,2,2,1,1,1,2,0,3,3,2,4,1,1,1,1,0,3,2,0,4,0,3,1,3,4,1,4,3,1,3,1,3,0,0
15061295,1,1,2,1,1,1,1,0,3,2,2,4,2,0,0,2,0,4,2,0,4,1,3,1,2,2,2,4,4,1,3,1,1,0,0
15061296,1,2,0,2,0,0,2,1,2,3,0,4,2,0,0,3,0,4,3,2,3,0,2,1,3,3,1,3,3,0,4,0,3,1,0
15061297,0,2,2,1,0,1,1,0,3,3,0,4,0,1,1,2,2,4,3,1,4,1,2,3,4,3,2,4,3,1,3,1,2,1,1
15061298,1,3,2,2,0,0,0,1,4,2,0,4,1,0,1,2,0,4,4,2,2,0,3,4,4,4,2,2,4,0,4,0,2,1,1
15061300,0,4,1,2,0,0,2,0,2,2,0,4,1,1,1,1,0,4,3,0,4,0,2,3,4,3,2,4,3,1,3,0,1,1,0
15061301,1,3,2,2,0,0,0,1,4,2,0,4,1,0,1,2,0,4,4,2,2,0,3,4,4,4,2,2,4,0,4,0,2,1,1
