SAMPLES,c1_11319,c1_12106,c1_14089,c1_4359,c1_513,c2_15676,c2_15796,c2_20714,c2_24454,c2_26210,c2_27699,c2_27715,c2_27763,c2_28665,c2_28666,c2_28697,c2_2957,c2_34115,c2_3747,c2_39100,c2_4366,c2_45071,c2_46398,c2_48817,c2_49476,c2_50176,c2_51578,c2_52206,c2_52898,c2_53708,c2_54811,c2_55639,c2_55830,c2_55835,c2_58236
15060021,4,0,1,3,0,4,0,2,1,1,0,4,0,0,4,4,1,3,3,3,4,4,2,4,2,4,0,1,2,1,2,2,3,1,2
15060027,3,2,1,2,3,2,0,2,1,1,0,4,0,3,3,3,2,3,2,3,4,1,1,3,2,3,0,1,2,2,3,4,2,2,2
15060039,2,1,2,2,0,2,1,1,0,1,1,3,1,2,3,3,3,3,3,4,4,3,2,3,3,4,1,1,1,2,0,2,2,2,3
15060042,3,0,2,3,2,4,0,1,1,3,0,4,0,1,3,3,2,2,2,4,4,2,2,3,2,4,1,0,2,1,2,4,3,1,2
15060050,2,1,4,4,3,3,2,1,0,3,0,4,1,3,1,1,2,4,1,4,4,2,3,4,2,4,1,2,1,2,3,4,2,2,3
15060056,3,3,1,2,4,2,1,3,0,1,0,4,0,3,3,3,1,1,3,4,3,2,0,4,3,2,1,2,0,3,2,3,4,0,4
15060063,2,2,0,2,4,1,0,2,2,3,0,4,0,1,3,2,2,2,2,4,4,0,0,3,1,4,1,2,2,1,3,4,4,0,3
15060070,3,1,2,2,2,3,0,2,1,2,1,3,1,2,3,3,2,3,2,4,3,2,2,3,2,4,0,2,3,2,3,3,2,2,1
15060072,3,1,4,1,2,4,2,0,1,1,0,4,0,3,2,4,2,4,1,4,3,2,3,4,2,2,2,2,2,2,1,4,2,2,2
15060082,2,1,2,3,4,2,0,2,1,3,0,4,0,2,2,2,1,3,2,4,4,1,1,2,2,4,1,2,1,3,3,3,3,1,3
15060085,3,0,1,2,3,2,0,3,0,3,0,4,0,1,3,3,2,4,3,3,3,3,0,3,1,4,0,0,2,1,1,3,3,1,2
15060097,1,1,4,0,1,2,2,1,1,2,2,2,2,3,3,3,0,3,1,4,4,2,2,3,2,3,0,0,2,3,2,1,2,2,2
15060101,4,1,2,2,3,3,2,2,1,1,0,4,0,2,2,3,3,3,1,4,3,4,3,4,2,3,1,3,2,1,2,3,1,3,2
15060102,4,1,1,2,3,4,0,2,0,2,0,4,0,1,4,4,1,4,1,3,3,2,2,4,2,3,1,1,1,2,0,3,3,1,3
15060110,3,1,2,2,2,3,0,2,1,2,1,3,1,2,3,3,2,3,2,4,3,2,2,3,2,4,0,2,3,2,3,3,2,2,1
15060112,3,1,3,2,2,3,0,2,0,2,0,4,0,1,3,3,1,3,1,3,3,1,2,3,2,4,0,0,2,2,2,3,3,1,2
