SAMPLES,c1_11196,c1_11356,c1_11920,c1_11991,c1_15204,c1_16171,c1_16540,c1_16651,c1_2640,c1_4803,c1_8118,c1_8344,c2_10088,c2_12760,c2_12788,c2_13766,c2_15268,c2_25897,c2_26498,c2_26938,c2_30741,c2_31439,c2_3146,c2_34179,c2_36370,c2_37692,c2_40858,c2_44000,c2_45570,c2_55779,c2_55781,c2_5732,c2_5774,c2_7919,c2_9908
15061942,1,2,0,2,0,0,2,1,2,3,0,4,2,0,0,3,0,4,3,2,3,0,2,1,3,3,1,3,3,0,4,0,3,1,0
15061763,0,1,1,1,2,0,1,1,4,3,1,4,0,0,0,1,0,3,4,2,4,0,1,3,4,4,3,2,4,1,3,2,4,1,0
15061801,0,2,1,2,0,2,1,0,4,2,2,4,1,1,1,2,1,4,4,1,1,2,3,3,4,4,2,4,3,1,3,0,4,1,0
15061494,1,1,2,0,1,0,0,1,3,3,1,4,2,0,0,1,2,3,3,0,4,1,3,2,2,2,2,2,4,1,3,1,0,1,2
15061613,0,2,0,1,0,0,2,1,3,3,1,3,0,1,1,1,0,4,4,0,2,1,2,1,4,4,0,3,3,0,4,0,3,0,0
15062137,0,3,1,2,1,0,1,0,4,3,1,4,1,0,0,1,0,3,4,1,4,0,3,3,4,4,1,3,4,2,2,1,3,1,1
15061319,1,3,2,3,1,0,1,0,3,1,0,4,1,0,0,1,1,4,3,1,3,0,3,2,3,3,1,3,4,1,3,1,2,0,1
15062142,0,2,1,3,1,1,2,0,2,1,1,4,0,1,2,1,0,3,4,1,2,0,3,2,4,3,2,4,3,0,4,1,4,0,1
15060320,0,2,0,2,2,0,2,1,2,2,0,4,0,0,0,1,0,4,3,1,4,1,2,2,4,4,2,2,4,2,2,2,3,0,0
15061768,1,3,0,0,1,0,3,1,3,1,1,4,1,1,1,1,0,4,4,0,3,0,4,1,3,2,2,4,3,2,2,1,1,0,0
15061522,1,2,1,2,1,1,1,1,4,3,1,4,2,1,1,1,0,4,4,0,2,0,3,2,4,1,1,3,4,2,2,1,3,1,2
