SAMPLES,GEBVs(BA),ACTUAL
15062362,32.947,76
15061954,46.374,40
15062339,67.417,76
15061482,67.217,80
15062104,31.512,79
15061707,32.966,51
15061567,67.624,76
15061964,44.142,50
15061488,39.743,30
15061438,39.816,29
15061814,40.123,30
15061721,46.883,39
15061601,33.199,89
15061719,44.334,43
15061629,64.818,80
15061477,34.504,29
15061761,43.373,45
15061336,38.98,29
15061386,34.202,28
15061305,39.273,80
15061676,32.936,38
15061523,31.76,30
15061763,42.94,27
15061385,33.278,30
15062133,33.537,35
15061333,54.11,29
15061627,52.485,60
15061731,39.601,51
15061641,39.771,30
15061330,35.371,40
15061626,44.327,29
15062147,46.453,42
15061487,39.243,30
15060536,56.273,81
15061261,53.662,80
15061389,39.461,30
15060101,44.467,50
15061397,33.927,50
15061551,65.809,80
15061539,33.322,75
15062115,59.86,80
15061361,32.983,34
15061669,67.198,76
15062359,64.549,76
15061690,39.103,29
15061308,39.503,29
15062372,50.09,28
15061342,33.372,35
15061281,43.863,42
15061932,63.28,80
15061370,46.71,41
15061630,33.012,28
15061789,67.414,80
15061666,37.169,79
15062143,41.366,38
15061297,38.435,29
15061907,75.096,80
15061538,33.832,30
15062371,52.773,75
15061685,41.442,38
15062081,37.292,27
15061969,67.737,80
15061498,38.752,29
15061271,42.966,30
15062344,37.89,30
15061279,39.541,35
15062144,33.144,30
15061722,45.671,27
15061768,43.586,43
15061557,53.304,40
15061434,46.533,35
15060072,44.935,70
15061405,44.868,42
15062052,46.251,43
15062098,46.835,39
15061916,33.154,27
15061377,53.784,76
15061633,52.533,79
15061702,34.895,45
15061614,46.308,39
15061368,34.474,53
15061520,55.768,39
15060082,57.567,80
15061656,58.845,42
15061331,54.248,60
15061327,53.108,41
15062074,42.427,80
15061300,60.29,80
15061776,67.023,76
15061462,58.397,76
15061302,35.662,30
15061957,46.73,38
15061514,53.944,42
15060909,62.907,82
15062063,32.788,27
15060090,53.261,42
15061301,46.873,38
15061423,36.756,35
15061453,60.113,29
15060215,45.413,35
15062119,30.749,29
15061537,43.08,50
15061667,42.094,39
15062123,68.868,75
15061710,33.438,29
15061258,48.921,30
15061443,67.632,76
15060050,53.567,80
15060110,33.037,28
15062053,50.844,40
15061764,35.454,75
15061799,42.391,34
