SAMPLES,c1_1318,c1_1874,c1_3992,c1_4359,c1_4748,c2_12780,c2_2464,c2_26938,c2_27929,c2_2957,c2_31156,c2_36460,c2_50176,c2_5151,c2_5152
15060021,3,3,1,3,2,3,0,0,4,1,3,4,4,1,1
15060027,1,3,3,2,2,4,0,1,4,2,3,4,3,0,0
15060039,0,3,1,2,4,4,1,1,4,3,3,3,4,1,1
15060042,3,4,1,3,3,4,0,0,4,2,3,4,4,0,0
15060050,4,4,0,4,4,4,1,1,4,2,1,3,4,0,0
15060056,3,2,0,2,4,2,1,1,4,1,2,4,2,0,0
15060063,0,3,2,2,4,2,1,1,4,2,1,4,4,0,0
15060070,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15060072,1,4,3,1,4,3,1,0,3,2,2,4,2,0,0
15060082,2,2,2,3,1,3,0,2,4,1,2,4,4,1,1
15060085,3,4,0,2,3,2,1,0,4,2,2,4,4,0,0
15060097,0,2,2,0,4,3,1,2,3,0,1,2,3,1,1
15060101,1,3,1,2,1,3,0,1,4,3,2,4,3,0,0
15060102,2,3,1,2,1,3,0,1,4,1,1,4,3,1,1
15060110,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15060112,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15060114,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15060120,2,3,1,3,3,3,0,1,4,1,1,4,4,1,1
15060121,1,3,NA,3,2,2,0,0,4,2,2,4,4,1,1
15060122,4,4,0,4,4,4,1,1,4,2,1,3,4,0,0
15060138,3,4,1,2,3,3,0,2,3,3,4,4,3,0,0
15060160,4,4,0,4,4,4,1,2,4,2,1,2,4,0,0
15060187,2,3,0,4,2,NA,1,2,4,2,0,4,4,0,0
15060188,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15060190,3,3,1,3,3,4,0,1,4,2,4,4,2,1,1
15060191,2,3,2,3,2,4,0,1,4,2,2,4,3,0,0
15060215,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15060313,2,3,2,2,3,4,0,2,4,1,0,2,3,0,0
15060345,0,4,1,1,2,3,0,0,2,0,4,4,2,0,0
15060383,2,3,2,2,3,4,0,2,4,1,0,2,2,0,0
15060420,0,4,1,1,2,3,0,0,2,0,4,4,2,0,0
15060543,3,4,2,2,2,NA,1,2,3,2,1,4,1,0,0
15060570,4,3,1,2,1,NA,0,2,4,1,0,4,4,0,0
15060797,2,3,2,3,3,NA,0,1,4,4,0,4,3,0,0
15060846,4,4,0,4,4,4,1,1,4,2,1,3,4,0,0
15060907,2,4,0,2,3,2,0,1,4,2,1,4,3,0,0
15060909,0,3,2,1,3,4,1,1,3,1,2,2,4,1,1
15060910,0,2,1,2,2,4,0,1,4,3,1,3,1,1,1
15061007,3,3,0,2,3,2,0,1,4,1,0,3,3,0,0
15061011,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061122,4,4,0,4,4,4,1,1,4,2,1,3,4,0,0
15061204,4,3,0,4,4,NA,2,1,4,2,0,4,2,0,0
15061213,0,3,1,2,4,4,1,1,4,3,3,3,4,1,1
15061215,0,3,1,2,4,4,1,1,4,3,3,3,4,1,1
15061216,3,2,0,2,3,NA,1,2,4,0,1,4,3,0,0
15061225,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15061226,4,3,2,3,3,3,1,2,3,1,0,3,3,0,0
15061237,3,4,2,2,2,NA,1,2,3,2,1,3,2,0,0
15061256,3,3,1,3,3,2,0,1,4,2,0,4,3,1,1
15061257,3,3,2,1,3,3,0,1,3,0,1,4,1,0,0
15061258,2,3,1,2,2,4,0,1,4,0,2,3,3,1,1
15061259,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15061261,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061262,1,3,1,2,1,3,0,1,4,3,2,4,3,0,0
15061263,2,4,2,2,0,3,0,1,4,3,2,4,4,0,0
15061264,1,3,1,2,1,3,0,1,4,2,2,3,3,NA,NA
15061265,2,3,0,2,2,4,0,2,4,2,2,4,2,1,1
15061270,2,4,2,3,3,4,0,0,4,2,4,4,2,0,0
15061271,2,3,0,3,1,2,0,1,4,1,2,4,2,0,0
15061273,2,3,0,2,2,4,0,2,4,2,2,4,2,1,1
15061274,2,3,1,1,3,3,0,1,4,0,4,4,4,0,0
15061277,3,4,0,2,3,4,2,0,4,1,3,3,4,0,0
15061279,1,4,1,2,3,4,0,1,4,1,4,4,2,0,0
15061281,0,3,1,2,4,4,1,1,4,3,3,3,4,1,1
15061283,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15061286,2,3,0,3,1,2,0,1,4,1,2,4,2,0,0
15061288,0,3,1,2,4,4,1,1,4,3,3,3,4,1,1
15061289,0,3,1,2,4,4,1,1,4,3,3,3,4,1,1
15061290,3,4,2,1,2,4,0,0,3,1,2,3,2,0,0
15061291,0,4,2,2,2,4,0,2,4,1,3,4,2,0,0
15061293,2,3,1,1,3,NA,0,0,4,1,3,4,3,1,1
15061295,2,2,1,2,2,NA,0,0,4,0,2,4,2,2,2
15061296,3,3,2,3,2,3,0,2,4,2,3,4,3,1,1
15061297,3,3,1,3,3,2,0,1,4,2,0,4,3,1,1
15061298,2,3,1,1,2,NA,0,2,3,0,2,4,3,0,0
15061300,2,3,1,3,3,4,0,0,3,3,4,4,3,0,0
15061301,2,3,1,1,2,NA,0,2,3,0,2,4,3,0,0
15061302,1,4,2,3,1,3,0,1,3,1,1,4,3,0,0
15061303,0,3,2,1,3,4,1,1,3,1,2,3,4,1,1
15061305,4,3,1,2,3,3,0,2,3,1,2,4,2,1,1
15061307,3,4,1,4,4,3,0,0,3,3,2,4,4,0,0
15061312,0,4,2,2,2,4,0,2,4,1,2,4,2,0,0
15061313,2,3,2,3,2,4,0,1,4,2,2,4,3,0,0
15061314,1,3,1,2,3,3,0,1,4,2,3,4,3,0,0
15061317,1,3,1,2,1,3,0,1,4,3,2,4,3,0,0
15061320,4,4,2,3,4,3,3,0,3,2,0,2,3,0,0
15061323,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15061324,3,4,2,1,2,2,1,1,4,2,1,2,3,0,0
15061327,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061329,2,3,1,4,1,3,0,0,4,2,3,4,4,1,1
15061330,2,2,0,2,2,3,2,1,3,3,1,2,3,1,1
15061331,1,3,2,1,2,3,0,2,4,1,3,3,3,0,0
15061335,3,3,2,4,2,3,0,2,3,3,2,4,3,1,1
15061336,3,3,1,3,1,3,0,1,2,2,3,4,3,1,1
15061340,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15061342,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15061344,3,3,1,3,2,3,0,0,4,2,2,3,3,0,0
15061345,0,4,1,1,2,3,0,0,2,0,4,4,2,0,0
15061346,0,4,1,1,2,3,0,0,2,0,4,4,2,0,0
15061347,3,3,1,2,2,2,1,0,4,1,2,4,3,1,1
15061349,3,3,1,3,1,4,0,1,3,1,2,4,3,0,0
15061352,1,2,NA,3,2,3,0,1,4,2,2,4,4,0,0
15061353,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15061355,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15061360,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15061364,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15061365,0,3,1,2,4,4,1,1,4,3,3,3,4,1,1
15061367,0,3,1,2,4,4,1,1,4,3,3,3,4,1,1
15061368,1,3,0,3,2,2,0,0,4,2,2,4,4,1,1
15061369,1,3,0,3,2,2,0,0,4,2,2,4,4,1,1
15061370,0,4,1,1,2,3,0,0,2,0,4,4,2,0,0
15061377,3,3,1,3,2,3,0,1,4,1,2,3,3,1,1
15061378,3,3,2,4,2,3,0,2,3,3,2,4,3,1,1
15061380,3,3,1,2,2,2,1,0,4,1,2,4,3,1,1
15061382,1,2,2,1,2,3,0,0,4,2,2,2,2,1,1
15061383,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15061384,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15061385,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15061386,1,3,0,3,2,2,0,0,4,2,2,4,4,1,1
15061388,0,3,0,3,2,2,0,2,3,3,2,4,3,1,1
15061389,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061390,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061392,2,3,1,4,2,2,1,2,4,3,1,4,1,0,0
15061394,1,3,1,2,1,3,0,1,4,3,2,4,3,0,0
15061396,1,3,1,2,1,3,0,1,4,3,2,4,3,0,0
15061404,1,2,NA,3,2,3,0,1,4,2,2,4,4,0,0
15061406,2,4,1,2,3,3,0,1,3,1,4,3,4,0,0
15061410,0,3,0,2,2,3,1,1,4,2,2,3,3,0,0
15061411,2,3,0,2,2,3,0,0,4,1,2,4,3,1,1
15061414,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061415,3,4,1,1,3,2,1,1,4,0,2,4,3,0,0
15061417,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061418,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061419,2,3,2,2,2,3,0,1,4,2,2,4,4,0,0
15061420,4,4,2,3,4,3,3,0,3,2,0,2,3,0,0
15061421,3,3,NA,3,2,3,0,1,4,1,2,3,3,1,1
15061422,2,4,1,3,3,3,1,2,4,1,4,4,3,0,0
15061423,2,4,1,3,3,3,1,2,4,1,4,4,3,0,0
15061424,2,3,1,2,2,4,0,1,4,0,2,3,3,1,1
15061425,0,4,1,1,2,3,0,0,2,0,4,4,2,0,0
15061430,0,4,NA,1,2,3,0,0,2,0,4,4,2,0,0
15061434,3,4,1,1,3,2,1,1,4,0,2,4,3,0,0
15061435,2,3,2,2,1,4,0,2,4,2,2,4,3,0,0
15061436,0,3,2,0,3,3,1,2,3,0,2,3,4,0,0
15061437,4,3,0,4,2,2,1,0,4,2,1,3,2,1,1
15061438,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
15061439,4,3,0,4,2,2,1,0,4,2,1,4,2,1,1
15061441,2,3,1,3,3,4,0,0,3,3,4,4,3,0,0
15061442,2,3,0,2,2,3,0,0,4,1,2,4,3,1,1
15061443,0,3,2,0,3,3,1,2,3,0,2,3,4,0,0
15061444,2,3,0,2,2,4,1,0,3,2,3,4,3,1,1
15061445,2,3,1,3,3,4,0,0,3,3,4,4,3,0,0
15061447,2,3,1,3,2,2,1,1,4,1,4,4,3,1,1
15061453,2,3,1,3,3,4,0,0,3,3,4,4,3,0,0
15061458,0,4,1,1,2,3,0,0,2,0,4,4,2,0,0
15061459,1,2,1,3,2,3,0,1,4,2,2,4,4,0,0
