SAMPLES,c1_11237,c1_11920,c1_12234,c1_5286,c1_5936,c1_5940,c2_19077,c2_23251,c2_25179,c2_44634,c2_4978,c2_49812,c2_4986,c2_52806,c2_54586
15060021,3,1,1,2,1,1,0,0,2,1,1,2,3,4,1
15060027,3,1,2,3,1,1,0,0,4,2,2,2,2,2,2
15060039,3,1,1,1,1,1,1,2,4,2,2,2,2,4,1
15060042,3,1,0,3,1,1,0,0,2,1,1,2,3,3,1
15060050,3,1,2,2,2,2,0,0,2,2,3,1,2,3,1
15060056,3,3,1,3,1,1,0,1,3,3,3,2,1,2,1
15060063,4,0,1,4,0,0,0,3,4,1,1,2,4,2,1
15060070,4,1,2,3,0,0,0,0,3,1,1,2,3,4,2
15060072,4,3,1,1,1,1,0,0,3,2,2,1,2,3,2
15060082,4,2,2,2,0,0,0,0,4,1,1,4,3,3,0
15060085,2,0,2,3,1,1,0,0,3,3,3,3,2,2,0
15060097,4,2,2,0,0,0,0,0,3,2,2,0,2,4,3
15060101,4,2,3,2,1,1,0,0,3,1,1,1,3,4,2
15060102,3,1,2,3,1,1,0,1,2,2,2,2,2,3,2
15060110,4,1,2,3,0,0,0,0,3,1,1,2,3,4,2
15060112,3,1,2,3,1,1,0,0,3,2,2,2,2,3,2
15060114,3,0,2,2,1,1,0,1,3,2,2,1,2,2,3
15060120,4,1,2,3,0,0,0,2,2,1,1,3,3,3,1
15060121,3,2,3,0,1,1,0,0,3,1,1,2,3,4,2
15060122,3,1,2,2,2,2,0,0,2,2,3,1,2,3,1
15060138,3,1,1,3,1,1,0,0,3,3,3,2,2,4,3
15060160,3,1,2,3,2,3,0,0,2,1,2,2,2,3,1
15060187,3,1,3,4,0,0,0,0,2,1,1,3,4,3,0
15060188,4,1,2,3,0,0,0,0,3,1,1,2,3,4,2
15060190,3,2,2,4,1,1,0,2,4,2,2,2,2,3,2
15060191,4,0,2,2,1,1,0,1,4,2,2,2,2,3,1
15060215,3,0,2,2,1,1,0,1,3,2,2,1,2,2,3
15060313,4,2,1,1,0,0,0,2,2,1,1,0,3,3,2
15060345,4,0,4,1,0,0,1,2,3,1,1,0,3,4,4
15060383,4,2,1,1,0,0,0,2,2,1,1,0,3,3,2
15060420,4,0,4,1,0,0,1,2,3,1,1,0,3,4,4
15060543,4,1,2,2,0,0,1,1,1,0,0,2,4,4,1
15060570,3,0,2,3,1,1,0,1,3,1,1,0,3,3,2
15060797,1,1,3,3,3,3,0,1,3,3,3,2,1,1,1
15060846,3,1,2,2,2,2,0,0,2,2,3,1,2,3,1
15060907,2,1,2,1,2,2,0,2,3,2,2,2,2,3,2
15060909,4,2,1,1,0,0,1,1,4,2,2,1,2,4,2
15060910,3,1,2,2,1,1,0,1,2,3,3,0,2,4,3
15061007,3,1,2,3,1,1,0,2,3,3,3,2,1,4,1
15061011,4,2,2,4,0,0,0,2,3,1,1,2,3,2,2
15061122,3,1,2,2,2,2,0,0,2,2,3,1,2,3,1
15061204,3,2,2,2,1,1,0,2,2,2,2,2,2,2,0
15061213,3,1,1,1,1,1,1,2,4,2,2,2,2,4,1
15061215,3,1,1,1,1,1,1,2,4,2,2,2,2,4,1
15061216,4,3,2,2,0,0,0,0,3,2,2,2,2,3,1
15061225,3,0,2,2,1,1,0,1,3,2,2,1,2,2,3
15061226,3,1,2,2,1,1,1,1,3,3,3,0,3,3,1
15061237,4,1,2,2,0,0,1,1,1,0,0,2,4,4,1
15061256,3,2,2,3,2,2,0,0,3,3,3,1,1,2,2
15061257,4,0,3,3,0,0,1,2,3,1,1,0,3,2,2
15061258,4,2,3,3,0,0,0,1,1,2,2,2,2,3,2
15061259,4,1,2,3,0,0,0,0,3,1,1,2,3,4,2
15061261,4,2,2,4,0,0,0,2,3,1,1,2,3,2,2
15061262,4,2,3,2,1,1,0,0,3,1,1,1,3,4,2
15061263,4,1,3,3,0,0,0,0,4,0,0,2,4,4,2
15061264,4,1,3,2,1,1,0,0,3,1,1,1,3,3,2
15061265,3,2,1,3,1,1,0,0,3,1,1,1,3,2,3
15061270,3,0,2,3,1,1,0,0,3,1,1,3,3,3,1
15061271,4,1,2,3,0,0,0,0,3,2,2,1,2,4,3
15061273,3,2,1,3,1,1,0,0,3,1,1,1,3,2,3
15061274,4,0,0,3,0,0,0,1,3,1,1,0,3,4,3
15061277,4,1,2,1,0,0,0,1,3,0,0,1,4,4,2
15061279,4,0,1,2,0,0,0,1,3,1,1,0,4,3,4
15061281,3,1,1,1,1,1,1,2,4,2,2,2,2,4,1
15061283,3,1,2,3,1,1,0,0,3,2,2,2,2,3,2
15061286,4,1,2,3,0,0,0,0,3,2,2,1,2,4,3
15061288,3,1,1,1,1,1,1,2,4,2,2,2,2,4,1
15061289,3,1,1,1,1,1,1,2,4,2,2,2,2,4,1
15061290,4,2,1,2,1,1,0,0,3,2,2,0,2,3,3
15061291,4,1,2,3,0,0,1,1,3,0,0,1,4,3,3
15061293,3,2,3,2,1,1,0,1,2,1,1,1,3,2,3
15061295,4,2,3,2,0,0,0,1,4,1,1,1,3,2,3
15061296,4,0,1,3,0,0,0,1,2,1,1,3,3,3,1
15061297,3,2,2,3,2,2,0,0,3,3,3,1,1,2,2
15061298,4,2,2,3,0,0,0,0,2,1,1,1,3,3,3
15061300,3,1,1,3,1,1,0,1,3,2,2,3,2,4,1
15061301,4,2,2,3,0,0,0,0,2,1,1,1,3,3,3
15061302,3,0,2,1,1,1,0,1,3,2,2,2,2,3,2
