SAMPLES,c1_12945,c1_14083,c1_4803,c1_8635,c2_14793,c2_14841,c2_22939,c2_28012,c2_38167,c2_43998,c2_44000,c2_46448,c2_49042,c2_54139,c2_9908
15061942,1,0,3,4,2,1,2,0,0,3,3,1,3,3,0
15061763,3,0,3,4,3,1,1,0,1,2,2,1,3,4,0
15061801,3,0,2,4,2,2,2,0,0,4,4,2,3,4,0
15061494,2,0,3,4,1,2,1,0,0,2,2,2,1,4,2
15061613,2,0,3,4,3,2,1,0,0,3,3,0,2,4,0
15062137,2,0,3,4,3,1,2,1,1,3,3,1,3,3,1
15061319,1,0,1,4,1,1,2,0,0,3,3,1,1,3,1
15062142,0,0,1,4,1,0,2,0,0,4,4,2,3,4,1
15060320,3,1,2,4,2,1,2,0,1,2,2,1,3,4,0
15061768,1,0,1,4,2,0,2,0,0,4,4,0,3,4,0
15061522,3,0,3,4,3,1,2,0,0,2,3,0,3,4,2
15060081,2,0,2,4,1,1,1,0,0,2,2,1,2,3,1
15061656,2,0,2,3,3,1,2,1,2,4,4,2,3,2,3
15061759,2,0,1,4,2,1,1,0,0,3,3,0,1,3,0
15061928,2,0,3,4,3,1,2,0,0,3,3,2,2,4,1
15061454,1,0,3,4,3,2,0,0,1,3,3,2,0,3,2
15061605,3,0,4,3,3,3,3,1,0,2,2,1,2,4,0
15060087,0,0,2,4,2,1,2,0,0,4,4,2,2,4,1
15061619,2,0,3,4,3,1,2,1,1,3,3,1,3,3,1
15060090,1,0,1,3,2,1,2,1,0,3,3,2,2,4,0
15061731,2,0,3,4,3,1,2,1,1,3,3,1,3,3,1
15061655,3,0,2,3,1,1,3,1,0,4,4,0,3,3,0
15061661,2,0,3,4,3,2,1,0,0,3,3,0,2,4,0
15061499,0,0,2,4,1,1,2,0,0,4,4,2,1,4,1
15061647,1,0,1,4,1,1,2,0,0,3,3,1,1,3,1
15061612,2,0,3,4,3,1,1,0,0,3,3,0,3,3,0
15061742,0,0,2,4,1,1,2,0,0,4,4,2,1,4,1
15061710,2,0,2,3,2,1,2,1,0,3,3,2,1,2,0
15062372,1,0,3,4,3,2,1,0,0,4,4,0,3,3,0
15061583,2,0,3,4,3,2,1,0,0,3,3,0,2,4,0
15061767,1,0,2,4,2,0,2,0,0,4,4,1,3,4,1
15062130,0,0,1,4,1,0,3,0,0,4,4,1,2,2,1
15061637,1,0,1,4,1,1,2,0,0,3,3,1,1,3,1
15061337,2,0,3,4,3,1,2,0,0,3,3,0,3,3,1
15062104,3,1,3,3,2,1,1,1,1,3,3,0,3,3,1
15061579,1,0,2,4,2,0,2,0,0,4,4,1,2,4,0
15061932,2,0,1,4,2,0,2,0,2,4,4,2,2,3,1
15061603,0,0,2,4,2,1,2,0,0,4,4,2,2,4,1
15060025,1,0,1,4,1,1,2,0,0,3,3,1,1,3,1
15061704,1,0,1,4,1,1,2,0,0,3,3,1,1,3,1
15061334,2,0,3,4,3,2,3,0,1,4,4,0,2,3,0
15061631,2,0,2,3,2,1,2,1,0,3,3,2,1,2,0
15060964,2,0,3,4,3,0,2,0,0,2,2,1,2,3,0
15061778,2,0,3,4,3,1,2,1,1,3,3,1,3,3,1
15061718,1,0,3,4,3,2,0,0,1,3,3,2,0,3,2
15061486,2,0,3,3,2,1,3,1,1,3,3,1,1,4,0
