SAMPLES,GEBVs(RKHS),ACTUAL
15061614,53.432,54
15061337,48.103,54
15062067,53.263,54
15061752,33.781,45
15061930,53.131,28
15061566,29.718,28
15061773,35.27,28
15061575,39.691,49
15061344,52.591,54
15061282,53.398,54
15061926,53.22,54
15061906,33.446,28
15061665,54.035,54
15061397,30.144,54
15060187,50.192,28
15061534,30.163,54
15062362,47.728,54
15061521,47.348,28
15061633,50.723,28
15061659,52.953,49
15061673,50.818,28
15062356,30.259,42
15061361,47.926,54
15061729,29.083,28
15061755,46.258,54
15061496,32.603,28
15062368,53.885,54
15062339,47.495,54
15061577,43.981,54
15062136,33.255,28
15061529,51.519,54
15061396,53.008,28
15061482,52.649,54
15061814,51.925,28
15061769,49.332,54
15061610,47.864,42
15062147,41.472,54
15061358,53.443,54
15061550,28.811,28
15061271,51.56,54
15060214,53.808,54
15062074,52.719,54
15061507,48.817,54
15061383,47.986,28
15062149,41.585,28
15060042,47.743,28
15061647,53.41,54
15061477,49.016,54
15061586,52.889,54
15062347,53.557,54
15061958,41.933,54
15062346,45.788,54
15061639,52.256,49
15061757,38.639,28
15061299,53.179,28
15061653,53.849,54
15061761,52.885,54
15062146,30.222,28
15061655,55.049,54
15061329,44.363,28
15061535,33.233,28
15061578,44.257,28
15061730,28.903,28
15061627,50.602,54
15061500,52.586,54
15061717,51.525,28
15062122,31.899,28
15061435,38.499,28
15061706,48.955,54
15061624,30.735,28
15060121,53.462,54
15061423,54.394,54
15061488,31.532,28
15061916,47.834,54
15061487,36.584,28
15061281,54.283,54
15061937,52.613,54
15061493,32.889,54
15061296,47.436,28
15061649,50.619,54
15061307,35.756,28
15062133,32.264,28
15062350,51.909,54
15061338,30.145,28
15060027,33.171,28
15061011,53.099,54
15061795,30.513,28
15062358,31.457,28
15061216,47.158,54
15061300,29.317,54
15061462,52.553,54
15061516,41.548,28
15061394,53.235,54
15061453,29.241,28
15062123,53.869,54
15060110,29.795,28
15061964,52.881,54
15061542,53.951,54
15060570,47.583,54
15061785,52.809,54
15061766,54.028,54
15060021,30.322,28
15061364,48.061,54
15060050,53.143,54
15061637,53.481,53
15062369,41.693,28
15061345,53.993,54
15061966,37.068,28
15061737,28.973,28
15060112,47.949,54
15061751,53.021,62
15061567,41.604,54
