SAMPLES,GEBVs(RR),ACTUAL
15061614,120.916,117
15061337,167.615,117
15062067,136.92,117
15061752,251.306,134
15061930,118.36,359
15061566,260.469,359
15061773,204.471,359
15061575,214.665,132
15061344,132.618,117
15061282,121.605,117
15061926,122.97,117
15061906,132.027,359
15061665,118.75,117
15061397,257.995,117
15060187,178.523,359
15061534,300.915,117
15062362,169.211,117
15061521,188.218,359
15061633,136.157,359
15061659,120.684,132
15061673,131.387,359
15062356,301.246,138
15061361,168.841,117
15061729,307.925,359
15061755,163.993,117
15061496,261.043,359
15062368,121.404,117
15062339,199.793,117
15061577,192.71,117
15062136,286.282,23
15061529,144.473,117
15061396,121.759,359
15061482,125.769,117
15061814,121.274,359
15061769,134.718,117
15061610,169.468,138
15062147,211.098,117
15061358,122.268,117
15061550,307.914,359
15061271,138.294,117
15060214,104.257,117
15062074,149.3,117
15061507,173.494,117
15061383,168.974,359
15062149,210.9,359
15060042,179.707,359
15061647,121.959,117
15061477,174.585,117
15061586,120.833,117
15062347,129.553,117
15061958,220.321,117
15062346,188.307,117
15061639,116.999,132
15061757,236.278,359
15061299,121.321,23
15061653,120.884,117
15061761,124.804,117
15062146,303.609,359
15061655,79.771,117
15061329,191.38,359
15061535,259.204,359
15061578,191.561,23
15061730,310.632,359
15061627,135.606,117
15061500,127.502,117
15061717,135.143,359
15062122,191.043,23
15061435,236.564,359
15061706,203.085,117
15061624,252.428,23
15060121,130.296,117
15061423,116.707,117
15061488,192.733,359
15061916,169.584,117
15061487,254.216,23
15061281,128.204,117
15061937,149.594,117
15061493,258.793,117
15061296,180.528,359
15061649,163.919,117
15061307,241.118,359
15062133,263.303,23
15062350,146.252,117
15061338,257.014,359
15060027,267.096,359
15061011,124.455,117
15061795,298.109,359
15062358,190.23,359
15061216,189.614,117
15061300,282.713,117
15061462,154.079,117
15061516,229.046,359
15061394,121.527,117
15061453,282.924,359
15062123,114.257,117
15060110,260.853,359
15061964,122.89,117
15061542,114.135,117
15060570,198.244,117
15061785,129.942,117
15061766,112.84,117
15060021,301.714,359
15061364,168.76,117
15060050,119.04,117
15061637,121.614,132
15062369,209.904,359
15061345,119.574,117
15061966,249.578,359
15061737,308.256,359
15060112,168.94,117
15061751,120.104,124
15061567,221.869,117
