Samples,CPBrote.C
15062362,40
15061954,57
15062339,39
15061482,47
15062104,20
15061707,26
15061567,57
15061964,20
15061488,40
15061438,26
15061814,57
15061721,43
15061601,20
15061719,28
15061629,20
15061477,20
15061761,20
15061336,20
15061386,20
15061305,20
15061676,26
15061523,20
15061763,20
15061385,20
15062133,20
15061333,28
15061627,49
15061731,41
15061641,48
15061330,57
15061626,20
15062147,53
15061487,20
15060536,59
15061261,34
15061389,45
15060101,20
15061397,42
15061551,58
15061539,40
15062115,42
15061361,20
15061669,58
15062359,26
15061690,26
15061308,28
15062372,28
15061342,28
15061281,49
15061932,45
15061370,58
15061630,20
15061789,55
15061666,34
15062143,20
15061297,20
15061907,4
15061538,39
15062371,39
15061685,28
15062081,20
15061969,26
15061498,26
15061271,20
15062344,20
15061279,26
15062144,35
15061722,57
15061768,49
15061557,20
15061434,53
15060072,53
15061405,20
15062052,28
15062098,58
15061916,20
15061377,58
15061633,40
15061702,28
15061614,33
15061368,20
15061520,38
15060082,20
15061656,42
15061331,34
15061327,20
15062074,20
15061300,28
15061776,26
15061462,45
15061302,28
15061957,58
15061514,20
15060909,26
15062063,20
15060090,20
15061301,26
15061423,33
15061453,40
15060215,33
15062119,20
15061537,39
15061667,20
15062123,20
15061710,20
15061258,20
15061443,53
15060050,57
15060110,20
15062053,45
15061764,20
15061799,20
