Samples,CBaya.C
15062362,44
15061954,38
15062339,59
15061482,44
15062104,45
15061707,44
15061567,48
15061964,44
15061488,44
15061438,44
15061814,44
15061721,59
15061601,26
15061719,45
15061629,75
15061477,45
15061761,44
15061336,44
15061386,48
15061305,48
15061676,45
15061523,45
15061763,38
15061385,44
15062133,44
15061333,44
15061627,75
15061731,48
15061641,44
15061330,43
15061626,44
15062147,59
15061487,38
15060536,44
15061261,59
15061389,48
15060101,38
15061397,38
15061551,48
15061539,44
15062115,48
15061361,44
15061669,32
15062359,44
15061690,44
15061308,44
15062372,44
15061342,59
15061281,28
15061932,45
15061370,44
15061630,43
15061789,26
15061666,48
15062143,44
15061297,44
15061907,26
15061538,44
15062371,48
15061685,50
15062081,50
15061969,26
15061498,44
15061271,43
15062344,45
15061279,44
15062144,45
15061722,59
15061768,48
15061557,28
15061434,26
15060072,50
15061405,28
15062052,59
15062098,48
15061916,32
15061377,44
15061633,44
15061702,28
15061614,44
15061368,59
15061520,28
15060082,26
15061656,45
15061331,44
15061327,44
15062074,44
15061300,32
15061776,44
15061462,45
15061302,48
15061957,28
15061514,48
15060909,44
15062063,48
15060090,48
15061301,44
15061423,44
15061453,28
15060215,44
15062119,48
15061537,50
15061667,43
15062123,44
15061710,59
15061258,44
15061443,50
15060050,28
15060110,44
15062053,38
15061764,48
15061799,28
