Samples,CPFlor.H
15062362,316
15061954,320
15062339,329
15061482,332
15062104,312
15061707,308
15061567,326
15061964,71
15061488,322
15061438,323
15061814,322
15061721,327
15061601,316
15061719,71
15061629,319
15061477,312
15061761,71
15061336,322
15061386,309
15061305,319
15061676,316
15061523,322
15061763,315
15061385,320
15062133,322
15061333,305
15061627,309
15061731,320
15061641,320
15061330,322
15061626,321
15062147,316
15061487,319
15060536,319
15061261,305
15061389,327
15060101,95
15061397,71
15061551,327
15061539,322
15062115,320
15061361,322
15061669,328
15062359,309
15061690,329
15061308,323
15062372,303
15061342,319
15061281,332
15061932,323
15061370,329
15061630,318
15061789,326
15061666,329
15062143,312
15061297,312
15061907,95
15061538,319
15062371,322
15061685,320
15062081,308
15061969,304
15061498,316
15061271,312
15062344,329
15061279,320
15062144,320
15061722,314
15061768,322
15061557,315
15061434,320
15060072,317
15061405,310
15062052,329
15062098,320
15061916,321
15061377,305
15061633,317
15061702,327
15061614,320
15061368,305
15061520,322
15060082,321
15061656,309
15061331,320
15061327,326
15062074,304
15061300,322
15061776,305
15061462,309
15061302,324
15061957,314
15061514,309
15060909,319
15062063,321
15060090,332
15061301,322
15061423,320
15061453,322
15060215,327
15062119,312
15061537,71
15061667,310
15062123,310
15061710,327
15061258,320
15061443,320
15060050,320
15060110,329
15062053,327
15061764,324
15061799,327
