Samples,CPFlor.H
15060021,331
15060025,305
15060027,321
15060039,329
15060042,327
15060056,95
15060063,329
15060070,329
15060081,305
15060085,312
15060087,332
15060097,310
15060102,95
15060112,318
15060114,314
15060120,323
15060121,305
15060122,324
15060138,321
15060160,321
15060187,339
15060188,327
15060190,321
15060191,329
15060214,321
15060313,329
15060320,327
15060345,320
15060383,319
15060420,323
15060543,323
15060570,319
15060797,321
15060846,332
15060907,322
15060910,329
15060933,312
15060964,321
15061007,322
15061011,312
15061122,332
15061204,320
15061213,329
15061215,322
15061216,95
15061225,329
15061226,316
15061228,312
15061237,313
15061256,329
15061257,316
15061259,314
15061260,323
15061262,96
15061263,71
15061264,71
15061265,305
15061270,320
15061273,318
15061274,312
15061277,320
15061282,322
15061283,324
15061286,321
15061288,314
15061289,327
15061290,320
15061291,317
15061293,320
15061295,320
15061296,320
15061298,319
15061299,319
15061303,323
15061307,319
15061312,319
15061313,322
15061314,323
15061317,71
15061318,329
15061319,312
15061320,322
15061323,322
15061324,322
15061329,321
15061334,327
15061335,321
15061337,317
15061338,320
15061340,320
15061344,320
15061345,329
15061346,319
15061347,319
15061348,322
15061349,319
15061350,326
15061352,329
15061353,329
15061355,329
15061356,319
15061357,322
15061358,314
15061360,329
15061364,322
15061365,319
15061367,320
15061369,305
15061376,329
15061378,317
15061380,322
15061382,312
15061383,317
15061384,322
15061388,319
15061390,327
15061391,329
15061392,305
15061394,71
15061396,312
15061404,329
15061406,322
15061410,329
15061411,319
15061414,319
15061415,318
15061417,323
15061418,323
15061419,318
15061420,321
15061421,303
15061422,328
15061424,323
15061425,320
15061428,320
15061430,332
15061435,322
15061436,323
15061437,321
15061439,321
15061441,319
15061442,324
15061444,329
15061445,319
15061447,323
15061449,310
15061454,312
15061458,314
15061459,317
15061461,310
15061463,319
15061469,317
15061470,319
15061471,315
15061475,304
15061476,312
15061478,319
15061479,322
15061480,328
15061481,322
15061484,319
15061485,308
15061486,310
15061489,329
15061490,322
15061491,322
15061492,319
15061493,312
15061494,322
15061495,309
15061496,312
15061499,309
15061500,329
15061501,322
15061503,310
15061504,320
15061505,329
15061507,329
15061508,329
15061509,71
15061511,71
15061515,71
15061516,332
15061517,322
15061518,322
15061521,319
15061522,322
15061524,319
15061525,324
15061526,312
15061528,322
15061529,71
15061530,321
15061533,310
15061534,320
15061535,317
15061536,329
15061540,322
15061542,323
15061543,327
15061544,324
15061546,327
15061548,329
15061549,329
15061550,314
15061553,302
15061555,303
15061556,322
15061560,319
15061561,322
15061564,319
15061565,320
15061566,317
15061568,322
15061571,319
15061575,316
15061576,314
15061577,322
15061578,319
15061579,322
15061580,305
15061583,315
15061584,322
15061585,324
15061586,319
15061588,319
15061600,326
15061602,309
15061603,319
15061604,312
15061605,319
15061608,332
15061609,322
15061610,321
15061612,322
15061613,320
15061619,322
15061621,339
15061622,305
15061623,308
15061624,308
15061628,71
15061631,322
15061632,322
15061637,322
15061638,308
15061639,319
15061640,308
15061642,320
15061645,320
15061646,71
15061647,305
15061648,322
15061649,308
15061650,305
15061651,322
15061653,328
15061654,322
15061655,309
15061658,315
15061659,322
15061661,319
15061662,312
15061665,322
15061668,317
15061670,329
15061671,328
15061673,320
15061677,328
15061678,329
15061679,329
15061680,329
15061682,305
15061683,322
15061684,314
15061686,329
15061687,322
15061688,322
15061689,329
15061704,293
15061706,71
15061709,329
15061712,322
15061713,309
15061714,316
15061717,305
15061718,305
15061720,316
15061723,322
15061724,322
15061725,322
15061726,322
15061729,305
15061730,305
15061733,323
15061734,329
15061735,320
15061736,323
15061737,322
15061738,322
15061740,308
15061742,327
15061744,309
15061747,71
15061751,310
15061752,327
15061753,320
15061754,310
15061755,315
15061756,310
15061757,317
15061758,316
15061759,312
15061760,319
15061762,310
15061765,71
15061766,312
15061767,303
15061769,326
15061771,322
15061772,305
15061773,314
15061777,322
15061778,322
15061784,329
15061785,309
15061788,309
15061790,323
15061795,322
15061797,320
15061798,305
15061800,312
15061801,302
15061808,323
15061811,312
15061813,322
15061815,310
15061826,319
15061905,316
15061906,305
15061908,341
15061909,329
15061910,321
15061911,320
15061912,323
15061915,320
15061917,322
15061918,327
15061926,329
15061927,315
15061928,327
15061929,319
15061930,327
15061933,312
15061934,322
15061935,329
15061937,321
15061939,322
15061941,320
15061942,323
15061944,317
15061945,322
15061946,314
15061948,319
15061949,316
15061951,319
15061952,321
15061953,322
15061958,319
15061960,305
15061961,319
15061962,320
15061963,322
15061965,71
15061966,312
15061967,320
15061968,314
15062036,328
15062038,322
15062039,331
15062046,327
15062050,328
15062051,329
15062067,327
15062069,324
15062071,96
15062080,322
15062092,314
15062094,318
15062097,322
15062099,327
15062100,315
15062101,309
15062102,71
15062103,329
15062105,319
15062106,329
15062107,319
15062108,320
15062109,322
15062111,322
15062112,322
15062114,322
15062117,322
15062118,315
15062122,324
15062124,71
15062126,314
15062130,320
15062136,329
15062137,322
15062138,322
15062139,319
15062142,322
15062145,322
15062146,309
15062149,322
15062150,312
15062151,312
15062152,329
15062153,322
15062331,327
15062332,341
15062333,329
15062334,322
15062335,339
15062337,329
15062338,329
15062346,316
15062347,305
15062348,320
15062349,319
15062350,320
15062351,316
15062353,327
15062354,320
15062356,315
15062357,322
15062358,322
15062360,303
15062361,322
15062363,329
15062366,320
15062367,318
15062368,317
15062369,312
15062370,312
