Samples,CPBrote.C
15060021,20
15060025,20
15060027,20
15060039,57
15060042,20
15060056,20
15060063,57
15060070,20
15060081,20
15060085,20
15060087,20
15060097,26
15060102,20
15060112,20
15060114,41
15060120,55
15060121,20
15060122,33
15060138,20
15060160,20
15060187,42
15060188,20
15060190,20
15060191,20
15060214,26
15060313,7
15060320,53
15060345,53
15060383,50
15060420,20
15060543,59
15060570,58
15060797,16
15060846,20
15060907,35
15060910,58
15060933,59
15060964,40
15061007,40
15061011,26
15061122,57
15061204,20
15061213,47
15061215,45
15061216,40
15061225,40
15061226,40
15061228,20
15061237,58
15061256,20
15061257,20
15061259,20
15061260,20
15061262,20
15061263,42
15061264,20
15061265,20
15061270,20
15061273,20
15061274,53
15061277,58
15061282,28
15061283,28
15061286,16
15061288,20
15061289,46
15061290,20
15061291,57
15061293,28
15061295,20
15061296,26
15061298,26
15061299,40
15061303,55
15061307,28
15061312,40
15061313,20
15061314,53
15061317,26
15061318,20
15061319,20
15061320,57
15061323,26
15061324,20
15061329,28
15061334,49
15061335,28
15061337,26
15061338,20
15061340,28
15061344,28
15061345,57
15061346,58
15061347,20
15061348,20
15061349,26
15061350,58
15061352,4
15061353,28
15061355,20
15061356,49
15061357,20
15061358,28
15061360,20
15061364,26
15061365,39
15061367,39
15061369,20
15061376,58
15061378,40
15061380,20
15061382,45
15061383,20
15061384,28
15061388,53
15061390,20
15061391,4
15061392,40
15061394,20
15061396,20
15061404,20
15061406,20
15061410,47
15061411,20
15061414,39
15061415,57
15061417,33
15061418,33
15061419,20
15061420,42
15061421,20
15061422,53
15061424,35
15061425,58
15061428,58
15061430,57
15061435,26
15061436,40
15061437,26
15061439,28
15061441,35
15061442,40
15061444,20
15061445,40
15061447,28
15061449,20
15061454,40
15061458,58
15061459,26
15061461,58
15061463,26
15061469,40
15061470,33
15061471,26
15061475,20
15061476,26
15061478,20
15061479,41
15061480,40
15061481,20
15061484,20
15061485,47
15061486,26
15061489,26
15061490,58
15061491,58
15061492,42
15061493,26
15061494,26
15061495,20
15061496,26
15061499,26
15061500,55
15061501,60
15061503,16
15061504,39
15061505,57
15061507,40
15061508,40
15061509,26
15061511,20
15061515,26
15061516,47
15061517,31
15061518,40
15061521,26
15061522,20
15061524,26
15061525,42
15061526,26
15061528,20
15061529,26
15061530,45
15061533,26
15061534,40
15061535,20
15061536,20
15061540,20
15061542,57
15061543,26
15061544,26
15061546,26
15061548,57
15061549,20
15061550,26
15061553,26
15061555,20
15061556,48
15061560,26
15061561,40
15061564,55
15061565,58
15061566,26
15061568,49
15061571,57
15061575,20
15061576,26
15061577,20
15061578,55
15061579,26
15061580,20
15061583,39
15061584,57
15061585,26
15061586,66
15061588,20
15061600,43
15061602,34
15061603,28
15061604,54
15061605,49
15061608,33
15061609,20
15061610,20
15061612,26
15061613,26
15061619,53
15061621,43
15061622,20
15061623,20
15061624,55
15061628,40
15061631,28
15061632,54
15061637,20
15061638,26
15061639,58
15061640,20
15061642,20
15061645,28
15061646,20
15061647,28
15061648,20
15061649,26
15061650,26
15061651,26
15061653,58
15061654,26
15061655,55
15061658,26
15061659,39
15061661,40
15061662,26
15061665,46
15061668,57
15061670,55
15061671,57
15061673,57
15061677,26
15061678,26
15061679,20
15061680,55
15061682,20
15061683,26
15061684,28
15061686,20
15061687,40
15061688,35
15061689,47
15061704,28
15061706,57
15061709,47
15061712,26
15061713,20
15061714,53
15061717,28
15061718,26
15061720,53
15061723,53
15061724,42
15061725,57
15061726,54
15061729,57
15061730,39
15061733,45
15061734,57
15061735,57
15061736,28
15061737,48
15061738,53
15061740,20
15061742,20
15061744,42
15061747,26
15061751,42
15061752,20
15061753,41
15061754,48
15061755,26
15061756,40
15061757,20
15061758,40
15061759,40
15061760,39
15061762,20
15061765,20
15061766,20
15061767,20
15061769,57
15061771,40
15061772,20
15061773,20
15061777,20
15061778,58
15061784,20
15061785,58
15061788,20
15061790,55
15061795,26
15061797,4
15061798,35
15061800,26
15061801,47
15061808,47
15061811,26
15061813,48
15061815,58
15061826,47
15061905,58
15061906,20
15061908,57
15061909,20
15061910,20
15061911,40
15061912,53
15061915,52
15061917,26
15061918,33
15061926,34
15061927,44
15061928,35
15061929,20
15061930,33
15061933,20
15061934,20
15061935,57
15061937,20
15061939,4
15061941,55
15061942,26
15061944,57
15061945,58
15061946,20
15061948,46
15061949,20
15061951,58
15061952,26
15061953,20
15061958,58
15061960,20
15061961,20
15061962,55
15061963,38
15061965,20
15061966,20
15061967,20
15061968,28
15062036,45
15062038,53
15062039,33
15062046,53
15062050,20
15062051,50
15062067,53
15062069,20
15062071,20
15062080,46
15062092,28
15062094,26
15062097,20
15062099,40
15062100,55
15062101,20
15062102,49
15062103,42
15062105,20
15062106,20
15062107,26
15062108,26
15062109,48
15062111,20
15062112,20
15062114,39
15062117,57
15062118,57
15062122,20
15062124,26
15062126,20
15062130,47
15062136,26
15062137,55
15062138,28
15062139,58
15062142,57
15062145,28
15062146,20
15062149,53
15062150,20
15062151,20
15062152,26
15062153,58
15062331,58
15062332,20
15062333,20
15062334,20
15062335,60
15062337,50
15062338,53
15062346,49
15062347,20
15062348,43
15062349,28
15062350,40
15062351,20
15062353,53
15062354,57
15062356,20
15062357,20
15062358,55
15062360,57
15062361,26
15062363,57
15062366,26
15062367,26
15062368,58
15062369,58
15062370,20
