Prefix,HCL_component,Traits,Models,Predictive_ability
CBaya,C,CBaya.C,BA,0.156
CBaya,C,CBaya.C,BA,0.068
CBaya,C,CBaya.C,BA,0.127
CBaya,C,CBaya.C,BA,0.149
CBaya,C,CBaya.C,BA,0.082
CBaya,C,CBaya.C,BA,0.181
CBaya,C,CBaya.C,BA,0.117
CBaya,C,CBaya.C,BA,0.232
CBaya,C,CBaya.C,BA,0.005
CBaya,C,CBaya.C,BB,0.049
CBaya,C,CBaya.C,BB,0.127
CBaya,C,CBaya.C,BB,0.052
CBaya,C,CBaya.C,BB,0.067
CBaya,C,CBaya.C,BB,0.084
CBaya,C,CBaya.C,BB,0.168
CBaya,C,CBaya.C,BB,0.255
CBaya,C,CBaya.C,BB,0.142
CBaya,C,CBaya.C,BB,0.003
CBaya,C,CBaya.C,BC,0.14
CBaya,C,CBaya.C,BC,0.079
CBaya,C,CBaya.C,BC,0.076
CBaya,C,CBaya.C,BC,0.161
CBaya,C,CBaya.C,BC,0.118
CBaya,C,CBaya.C,BC,0.11
CBaya,C,CBaya.C,BC,0.121
CBaya,C,CBaya.C,BC,0.1
CBaya,C,CBaya.C,BC,0.093
CBaya,C,CBaya.C,BL,0.123
CBaya,C,CBaya.C,BL,0.153
CBaya,C,CBaya.C,BL,0.086
CBaya,C,CBaya.C,BL,0.157
CBaya,C,CBaya.C,BL,0.106
CBaya,C,CBaya.C,BL,0.18
CBaya,C,CBaya.C,BL,0.142
CBaya,C,CBaya.C,BL,0.183
CBaya,C,CBaya.C,BL,0.007
CBaya,C,CBaya.C,BRR,0.058
CBaya,C,CBaya.C,BRR,0.136
CBaya,C,CBaya.C,BRR,0.027
CBaya,C,CBaya.C,BRR,0.121
CBaya,C,CBaya.C,BRR,0.099
CBaya,C,CBaya.C,BRR,0.106
CBaya,C,CBaya.C,BRR,0.063
CBaya,C,CBaya.C,BRR,0.202
CBaya,C,CBaya.C,BRR,0.058
CBaya,C,CBaya.C,GBLUP,0.088
CBaya,C,CBaya.C,GBLUP,0.096
CBaya,C,CBaya.C,GBLUP,0.152
CBaya,C,CBaya.C,GBLUP,0.164
CBaya,C,CBaya.C,GBLUP,0.118
CBaya,C,CBaya.C,GBLUP,0.072
CBaya,C,CBaya.C,GBLUP,0.115
CBaya,C,CBaya.C,GBLUP,0.064
CBaya,C,CBaya.C,GBLUP,0.176
CBaya,C,CBaya.C,RKHS,0.072
CBaya,C,CBaya.C,RKHS,0.156
CBaya,C,CBaya.C,RKHS,0.151
CBaya,C,CBaya.C,RKHS,0.173
CBaya,C,CBaya.C,RKHS,0.064
CBaya,C,CBaya.C,RKHS,0.115
CBaya,C,CBaya.C,RKHS,0.176
CBaya,C,CBaya.C,RKHS,0.095
CBaya,C,CBaya.C,RKHS,0.134
CBaya,H,CBaya.H,BA,0.068
CBaya,H,CBaya.H,BA,0.238
CBaya,H,CBaya.H,BA,0.066
CBaya,H,CBaya.H,BA,0.011
CBaya,H,CBaya.H,BA,0.064
CBaya,H,CBaya.H,BA,0.076
CBaya,H,CBaya.H,BA,0.102
CBaya,H,CBaya.H,BA,0.077
CBaya,H,CBaya.H,BA,0.099
CBaya,H,CBaya.H,BB,-0.006
CBaya,H,CBaya.H,BB,0.123
CBaya,H,CBaya.H,BB,0.03
CBaya,H,CBaya.H,BB,0.125
CBaya,H,CBaya.H,BB,-0.01
CBaya,H,CBaya.H,BB,-0.069
CBaya,H,CBaya.H,BB,0.009
CBaya,H,CBaya.H,BB,0.124
CBaya,H,CBaya.H,BB,0.133
CBaya,H,CBaya.H,BC,0.118
CBaya,H,CBaya.H,BC,0.158
CBaya,H,CBaya.H,BC,0.118
CBaya,H,CBaya.H,BC,0.117
CBaya,H,CBaya.H,BC,0.084
CBaya,H,CBaya.H,BC,0.12
CBaya,H,CBaya.H,BC,0.03
CBaya,H,CBaya.H,BC,0.065
CBaya,H,CBaya.H,BC,0.018
CBaya,H,CBaya.H,BL,0.089
CBaya,H,CBaya.H,BL,0.129
CBaya,H,CBaya.H,BL,0.093
CBaya,H,CBaya.H,BL,-0.052
CBaya,H,CBaya.H,BL,0.005
CBaya,H,CBaya.H,BL,0.167
CBaya,H,CBaya.H,BL,0.122
CBaya,H,CBaya.H,BL,0.201
CBaya,H,CBaya.H,BL,0.088
CBaya,H,CBaya.H,BRR,0.104
CBaya,H,CBaya.H,BRR,0.099
CBaya,H,CBaya.H,BRR,0.078
CBaya,H,CBaya.H,BRR,0.148
CBaya,H,CBaya.H,BRR,0.135
CBaya,H,CBaya.H,BRR,0.102
CBaya,H,CBaya.H,BRR,0.042
CBaya,H,CBaya.H,BRR,0.185
CBaya,H,CBaya.H,BRR,0.096
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.068
CBaya,H,CBaya.H,GBLUP,-0.007
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.028
CBaya,H,CBaya.H,GBLUP,NA
CBaya,H,CBaya.H,GBLUP,-0.059
CBaya,H,CBaya.H,RKHS,-0.01
CBaya,H,CBaya.H,RKHS,-0.087
CBaya,H,CBaya.H,RKHS,0.07
CBaya,H,CBaya.H,RKHS,0.155
CBaya,H,CBaya.H,RKHS,0.108
CBaya,H,CBaya.H,RKHS,0.035
