"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
1,"BerryC.C","BerryC","C","BA",0.08268
1,"BerryC.H","BerryC","H","BL",0.1272
1,"BerryC.L","BerryC","L","BL",0.05596
1,"PCSprout.C","PCSprout","C","RKHS",0.5782
1,"PCSprout.H","PCSprout","H","RKHS",0.1286
1,"PCSprout.L","PCSprout","L","RKHS",0.46664
1,"PCFlower.C","PCFlower","C","RKHS",0.64392
1,"PCFlower.H","PCFlower","H","RKHS",0.81724
1,"PCFlower.L","PCFlower","L","RKHS",0.6108
1,"PCTuberskin.C","PCTuberskin","C","RKHS",0.50508
1,"PCTuberskin.H","PCTuberskin","H","RKHS",0.4664
1,"PCTuberskin.L","PCTuberskin","L","RKHS",0.4828
1,"PCTuberflesh.C","PCTuberflesh","C","RKHS",0.51024
1,"PCTuberflesh.H","PCTuberflesh","H","RKHS",0.30116
1,"PCTuberflesh.L","PCTuberflesh","L","RKHS",0.46864
1,"SCSprout.C","SCSprout","C","RKHS",0.2118
1,"SCSprout.H","SCSprout","H","BA",0.25076
1,"SCSprout.L","SCSprout","L","BRR",0.26472
1,"SCTuberflesh.C","SCTuberflesh","C","RKHS",0.16144
1,"SCTuberflesh.H","SCTuberflesh","H","RKHS",0.05484
1,"SCTuberflesh.L","SCTuberflesh","L","RKHS",0.25092
1,"SCTuberskin.C","SCTuberskin","C","BA",0.26144
1,"SCTuberskin.H","SCTuberskin","H","RKHS",0.14388
1,"SCTuberskin.L","SCTuberskin","L","RKHS",0.32536
1,"StemC.C","StemC","C","RKHS",0.66368
1,"StemC.H","StemC","H","RKHS",0.46516
1,"StemC.L","StemC","L","RKHS",0.69456
5,"BerryC.C","BerryC","C","BL",0.1318
5,"BerryC.H","BerryC","H","BRR",0.10972
5,"BerryC.L","BerryC","L","GBLUP",0.12676
5,"PCSprout.C","PCSprout","C","RKHS",0.60424
5,"PCSprout.H","PCSprout","H","RKHS",0.28872
5,"PCSprout.L","PCSprout","L","RKHS",0.46772
5,"PCFlower.C","PCFlower","C","RKHS",0.61812
5,"PCFlower.H","PCFlower","H","RKHS",0.85884
5,"PCFlower.L","PCFlower","L","RKHS",0.6314
5,"PCTuberskin.C","PCTuberskin","C","RKHS",0.545
5,"PCTuberskin.H","PCTuberskin","H","RKHS",0.44232
5,"PCTuberskin.L","PCTuberskin","L","RKHS",0.47712
5,"PCTuberflesh.C","PCTuberflesh","C","BL",0.47312
5,"PCTuberflesh.H","PCTuberflesh","H","BRR",0.33368
5,"PCTuberflesh.L","PCTuberflesh","L","RKHS",0.47852
5,"SCSprout.C","SCSprout","C","BRR",0.21364
5,"SCSprout.H","SCSprout","H","BRR",0.19372
5,"SCSprout.L","SCSprout","L","RKHS",0.3104
5,"SCTuberflesh.C","SCTuberflesh","C","RKHS",0.195
5,"SCTuberflesh.H","SCTuberflesh","H","BRR",0.07672
5,"SCTuberflesh.L","SCTuberflesh","L","RKHS",0.29956
5,"SCTuberskin.C","SCTuberskin","C","BRR",0.21048
5,"SCTuberskin.H","SCTuberskin","H","BRR",0.20608
5,"SCTuberskin.L","SCTuberskin","L","RKHS",0.35172
5,"StemC.C","StemC","C","RKHS",0.66616
5,"StemC.H","StemC","H","RKHS",0.44968
5,"StemC.L","StemC","L","RKHS",0.70668
10,"BerryC.C","BerryC","C","BL",0.14592
10,"BerryC.H","BerryC","H","BA",0.10668
10,"BerryC.L","BerryC","L","BA",0.1442
10,"PCSprout.C","PCSprout","C","RKHS",0.59836
10,"PCSprout.H","PCSprout","H","RKHS",0.323
10,"PCSprout.L","PCSprout","L","RKHS",0.457
10,"PCFlower.C","PCFlower","C","RKHS",0.612
10,"PCFlower.H","PCFlower","H","RKHS",0.83256
10,"PCFlower.L","PCFlower","L","RKHS",0.65424
10,"PCTuberskin.C","PCTuberskin","C","RKHS",0.5474
10,"PCTuberskin.H","PCTuberskin","H","RKHS",0.45616
10,"PCTuberskin.L","PCTuberskin","L","RKHS",0.49512
10,"PCTuberflesh.C","PCTuberflesh","C","BB",0.50044
10,"PCTuberflesh.H","PCTuberflesh","H","RKHS",0.32824
10,"PCTuberflesh.L","PCTuberflesh","L","RKHS",0.45884
10,"SCSprout.C","SCSprout","C","BL",0.238
10,"SCSprout.H","SCSprout","H","RKHS",0.21532
10,"SCSprout.L","SCSprout","L","RKHS",0.30596
10,"SCTuberflesh.C","SCTuberflesh","C","BA",0.19168
10,"SCTuberflesh.H","SCTuberflesh","H","BC",0.07732
10,"SCTuberflesh.L","SCTuberflesh","L","BRR",0.32604
10,"SCTuberskin.C","SCTuberskin","C","BL",0.18828
10,"SCTuberskin.H","SCTuberskin","H","BRR",0.1938
10,"SCTuberskin.L","SCTuberskin","L","BRR",0.35428
10,"StemC.C","StemC","C","RKHS",0.68312
10,"StemC.H","StemC","H","RKHS",0.47612
10,"StemC.L","StemC","L","BL",0.73076
100,"BerryC.C","BerryC","C","BA",0.1474
100,"BerryC.H","BerryC","H","BRR",0.07276
100,"BerryC.L","BerryC","L","BRR",0.1036
100,"PCSprout.C","PCSprout","C","BRR",0.58512
100,"PCSprout.H","PCSprout","H","RKHS",0.35816
100,"PCSprout.L","PCSprout","L","BC",0.45288
100,"PCFlower.C","PCFlower","C","BC",0.61788
100,"PCFlower.H","PCFlower","H","BA",0.84328
100,"PCFlower.L","PCFlower","L","BL",0.64032
100,"PCTuberskin.C","PCTuberskin","C","BC",0.54536
100,"PCTuberskin.H","PCTuberskin","H","BC",0.44268
100,"PCTuberskin.L","PCTuberskin","L","RKHS",0.5026
100,"PCTuberflesh.C","PCTuberflesh","C","BL",0.44556
100,"PCTuberflesh.H","PCTuberflesh","H","RKHS",0.33024
100,"PCTuberflesh.L","PCTuberflesh","L","RKHS",0.43924
100,"SCSprout.C","SCSprout","C","BC",0.24576
100,"SCSprout.H","SCSprout","H","BC",0.18728
100,"SCSprout.L","SCSprout","L","BA",0.29116
100,"SCTuberflesh.C","SCTuberflesh","C","BA",0.2284
100,"SCTuberflesh.H","SCTuberflesh","H","GBLUP",0.08216
100,"SCTuberflesh.L","SCTuberflesh","L","GBLUP",0.34124
100,"SCTuberskin.C","SCTuberskin","C","RKHS",0.18004
100,"SCTuberskin.H","SCTuberskin","H","BC",0.13744
100,"SCTuberskin.L","SCTuberskin","L","BC",0.36248
100,"StemC.C","StemC","C","RKHS",0.67676
100,"StemC.H","StemC","H","RKHS",0.4648
100,"StemC.L","StemC","L","RKHS",0.7052
20,"BerryC.C","BerryC","C","BL",0.15224
20,"BerryC.H","BerryC","H","BC",0.0982
20,"BerryC.L","BerryC","L","BRR",0.1192
20,"PCSprout.C","PCSprout","C","RKHS",0.59216
20,"PCSprout.H","PCSprout","H","BRR",0.3118
20,"PCSprout.L","PCSprout","L","BRR",0.45688
20,"PCFlower.C","PCFlower","C","BC",0.60844
20,"PCFlower.H","PCFlower","H","RKHS",0.86396
20,"PCFlower.L","PCFlower","L","RKHS",0.6298
20,"PCTuberskin.C","PCTuberskin","C","BRR",0.5438
20,"PCTuberskin.H","PCTuberskin","H","RKHS",0.45536
20,"PCTuberskin.L","PCTuberskin","L","RKHS",0.50996
20,"PCTuberflesh.C","PCTuberflesh","C","RKHS",0.46524
20,"PCTuberflesh.H","PCTuberflesh","H","RKHS",0.33556
20,"PCTuberflesh.L","PCTuberflesh","L","RKHS",0.46452
20,"SCSprout.C","SCSprout","C","RKHS",0.2314
20,"SCSprout.H","SCSprout","H","BC",0.19028
20,"SCSprout.L","SCSprout","L","BL",0.2796
20,"SCTuberflesh.C","SCTuberflesh","C","BRR",0.21104
20,"SCTuberflesh.H","SCTuberflesh","H","BL",0.07936
20,"SCTuberflesh.L","SCTuberflesh","L","BC",0.3518
20,"SCTuberskin.C","SCTuberskin","C","RKHS",0.2076
20,"SCTuberskin.H","SCTuberskin","H","BC",0.13184
20,"SCTuberskin.L","SCTuberskin","L","RKHS",0.35128
20,"StemC.C","StemC","C","BA",0.67592
20,"StemC.H","StemC","H","RKHS",0.475
20,"StemC.L","StemC","L","BC",0.72584
30,"BerryC.C","BerryC","C","GBLUP",0.17156
