"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
1,"CBaya.C","CBaya","C","BA",0.08268
1,"CBaya.H","CBaya","H","BL",0.1272
1,"CBaya.L","CBaya","L","BL",0.05596
1,"CPBrote.C","CPBrote","C","RKHS",0.5782
1,"CPBrote.H","CPBrote","H","RKHS",0.1286
1,"CPBrote.L","CPBrote","L","RKHS",0.46664
1,"CPFlor.C","CPFlor","C","RKHS",0.64392
1,"CPFlor.H","CPFlor","H","RKHS",0.81724
1,"CPFlor.L","CPFlor","L","RKHS",0.6108
1,"CPTuber.C","CPTuber","C","RKHS",0.50508
1,"CPTuber.H","CPTuber","H","RKHS",0.4664
1,"CPTuber.L","CPTuber","L","RKHS",0.4828
1,"CPulpa.C","CPulpa","C","RKHS",0.51024
1,"CPulpa.H","CPulpa","H","RKHS",0.30116
1,"CPulpa.L","CPulpa","L","RKHS",0.46864
1,"CSBrote.C","CSBrote","C","RKHS",0.2118
1,"CSBrote.H","CSBrote","H","BA",0.25076
1,"CSBrote.L","CSBrote","L","BRR",0.26472
1,"CSPulpa.C","CSPulpa","C","RKHS",0.16144
1,"CSPulpa.H","CSPulpa","H","RKHS",0.05484
1,"CSPulpa.L","CSPulpa","L","RKHS",0.25092
1,"CSTuber.C","CSTuber","C","BA",0.26144
1,"CSTuber.H","CSTuber","H","RKHS",0.14388
1,"CSTuber.L","CSTuber","L","RKHS",0.32536
1,"CTallo.C","CTallo","C","RKHS",0.66368
1,"CTallo.H","CTallo","H","RKHS",0.46516
1,"CTallo.L","CTallo","L","RKHS",0.69456
5,"CBaya.C","CBaya","C","BL",0.1318
5,"CBaya.H","CBaya","H","BRR",0.10972
5,"CBaya.L","CBaya","L","GBLUP",0.12676
5,"CPBrote.C","CPBrote","C","RKHS",0.60424
5,"CPBrote.H","CPBrote","H","RKHS",0.28872
5,"CPBrote.L","CPBrote","L","RKHS",0.46772
5,"CPFlor.C","CPFlor","C","RKHS",0.61812
5,"CPFlor.H","CPFlor","H","RKHS",0.85884
5,"CPFlor.L","CPFlor","L","RKHS",0.6314
5,"CPTuber.C","CPTuber","C","RKHS",0.545
5,"CPTuber.H","CPTuber","H","RKHS",0.44232
5,"CPTuber.L","CPTuber","L","RKHS",0.47712
5,"CPulpa.C","CPulpa","C","BL",0.47312
5,"CPulpa.H","CPulpa","H","BRR",0.33368
5,"CPulpa.L","CPulpa","L","RKHS",0.47852
5,"CSBrote.C","CSBrote","C","BRR",0.21364
5,"CSBrote.H","CSBrote","H","BRR",0.19372
5,"CSBrote.L","CSBrote","L","RKHS",0.3104
5,"CSPulpa.C","CSPulpa","C","RKHS",0.195
5,"CSPulpa.H","CSPulpa","H","BRR",0.07672
5,"CSPulpa.L","CSPulpa","L","RKHS",0.29956
5,"CSTuber.C","CSTuber","C","BRR",0.21048
5,"CSTuber.H","CSTuber","H","BRR",0.20608
5,"CSTuber.L","CSTuber","L","RKHS",0.35172
5,"CTallo.C","CTallo","C","RKHS",0.66616
5,"CTallo.H","CTallo","H","RKHS",0.44968
5,"CTallo.L","CTallo","L","RKHS",0.70668
10,"CBaya.C","CBaya","C","BL",0.14592
10,"CBaya.H","CBaya","H","BA",0.10668
10,"CBaya.L","CBaya","L","BA",0.1442
