SAMPLES,GEBVs(RF),ACTUAL
15061614,6.676,6
15061337,15.411,18
15062067,7.315,6
15061752,10.062,26
15061930,8.9,3
15061566,4.672,6
15061773,8.973,18
15061575,20.241,18
15061344,15.796,18
15061282,5.588,6
15061926,6.206,3
15061906,17.59,6
15061665,12.63,18
15061397,5.833,26
15060187,10.257,35
15061534,30.021,35
15062362,18.686,18
15061521,8.91,35
15061633,14.485,6
15061659,7.167,6
15061673,12.111,6
15062356,30.266,26
15061361,16.945,18
15061729,20.585,18
15061755,21.261,26
15061496,15.97,6
15062368,22.783,26
15062339,12.841,26
15061577,16.831,26
15062136,16.214,35
15061529,16.025,18
15061396,22.745,6
15061482,12.251,6
15061814,6.45,6
15061769,14.745,6
15061610,15.321,6
15062147,8.725,6
15061358,14.608,18
15061550,21.736,26
15061271,23.062,3
15060214,14.519,6
15062074,12.992,3
15061507,5.901,6
15061383,16.517,18
15062149,8.66,18
15060042,8.161,6
15061647,17.416,6
15061477,8.578,6
15061586,7.609,3
15062347,20.502,18
15061958,14.406,18
15062346,15.162,26
15061639,6.46,6
15061757,19.557,26
15061299,6.714,6
15061653,20.916,26
15061761,21.494,26
15062146,30.612,35
15061655,15.373,18
15061329,16.741,35
15061535,17.221,18
15061578,19.098,6
15061730,23.852,18
15061627,19.825,6
15061500,13.587,3
15061717,16.801,18
15062122,7.689,6
15061435,17.759,18
15061706,15.498,18
15061624,4.983,6
15060121,19.942,6
15061423,8.828,6
15061488,19.494,6
15061916,16.039,18
15061487,12.405,6
15061281,16.004,6
15061937,16.742,3
15061493,17.166,26
15061296,17.071,26
15061649,14.013,18
15061307,15.681,18
15062133,16.023,6
15062350,13.468,26
15061338,5.555,6
15060027,8.374,6
15061011,16.815,26
15061795,29.953,35
15062358,13,18
15061216,13.863,18
15061300,18.468,10
15061462,15.934,10
15061516,14.176,5
15061394,22.244,26
15061453,18.905,18
15062123,17.218,6
15060110,4.94,6
15061964,22.043,18
15061542,16.485,18
15060570,12.783,26
15061785,16.98,6
15061766,16.455,18
15060021,29.962,35
15061364,17.641,18
15060050,5.887,6
15061637,14.573,18
15062369,8.485,18
15061345,22.96,18
15061966,12.591,18
15061737,22.377,18
15060112,17.935,18
15061751,6.74,6
15061567,14.473,26
