Samples,PriTuber.LCH.L
15060021,29
15060027,35
15060039,34
15060042,50
15060050,80
15060056,76
15060063,35
15060070,29
15060072,70
15060082,80
15060085,30
15060097,75
15060101,50
15060102,30
15060110,28
15060112,30
15060114,43
15060120,80
15060121,28
15060122,43
15060138,43
15060160,43
15060187,30
15060188,66
15060190,38
15060191,80
15060215,35
15060313,77
15060345,80
15060383,75
15060420,42
15060543,38
15060570,76
15060797,27
15060846,38
15060907,51
15060909,82
15060910,43
15061007,43
15061011,80
15061122,43
15061204,30
15061213,35
15061215,34
15061216,30
15061225,43
15061226,80
15061237,43
15061256,30
15061257,43
15061258,30
15061259,29
15061261,80
15061262,43
15061263,28
15061264,75
15061265,30
15061270,43
15061271,30
15061273,43
15061274,41
15061277,80
15061279,35
15061281,42
15061283,34
15061286,35
15061288,40
15061289,38
15061290,80
15061291,42
15061293,65
15061295,35
15061296,29
15061297,29
15061298,54
15061300,80
15061301,38
15061302,30
15061303,80
15061305,80
15061307,30
15061312,43
15061313,75
15061314,43
15061317,43
15061320,80
15061323,74
15061324,38
15061327,41
15061329,28
15061330,40
15061331,60
15061335,75
15061336,29
15061340,43
15061342,35
15061344,42
15061345,42
15061346,38
15061347,42
15061349,81
15061352,76
15061353,35
15061355,27
15061360,29
15061364,30
15061365,38
15061367,35
15061368,53
15061369,47
15061370,41
15061377,76
15061378,76
15061380,42
15061382,50
15061383,35
15061384,30
15061385,30
15061386,28
15061388,35
15061389,30
15061390,30
15061392,45
15061394,50
15061396,29
15061404,30
15061406,34
15061410,42
15061411,50
15061414,76
15061415,42
15061417,29
15061418,76
15061419,29
15061420,76
15061421,34
15061422,30
15061423,35
15061424,30
15061425,38
15061430,42
15061434,35
15061435,41
15061436,76
15061437,80
15061438,29
15061439,76
15061441,80
15061442,47
15061443,76
15061444,27
15061445,80
15061447,34
15061453,29
15061458,48
15061459,29
15061461,80
15061462,76
15061463,28
15061469,42
15061470,50
15061471,42
15061475,35
15061477,29
15061478,29
15061479,34
15061480,45
15061481,76
15061482,80
15061484,40
15061485,80
15061487,30
15061488,30
15061489,30
15061490,30
15061492,30
15061493,30
15061495,30
15061498,29
15061500,80
15061501,69
15061503,50
15061504,50
15061505,43
15061507,38
15061508,80
15061509,30
15061511,29
15061514,42
15061516,38
15061517,30
15061518,30
15061520,39
15061521,35
15061523,30
15061524,30
15061525,42
15061526,27
15061528,38
15061530,30
15061533,28
15061534,28
15061535,34
15061536,29
15061537,50
15061538,30
15061539,75
15061542,27
15061543,38
15061546,29
15061549,30
15061550,27
15061551,80
15061553,41
15061555,48
15061556,80
15061557,40
15061561,80
15061564,57
15061565,40
15061566,29
15061567,76
15061571,41
15061575,39
15061576,82
15061577,30
15061580,27
15061585,28
15061586,80
15061588,35
15061601,89
15061602,40
15061604,34
15061608,84
15061609,27
15061610,28
15061614,39
15061621,38
15061622,76
15061626,29
15061627,60
15061628,79
15061629,80
15061630,28
15061632,35
15061633,79
15061638,75
15061639,30
15061640,29
15061641,30
15061642,45
15061645,29
15061646,50
15061649,30
15061650,80
15061651,30
15061653,75
15061654,50
15061658,42
15061659,42
15061665,74
15061666,79
15061667,39
15061668,75
15061669,76
15061670,38
15061671,34
15061673,37
15061677,30
15061678,30
15061679,35
15061680,34
15061682,75
15061683,40
15061684,39
15061686,30
15061687,29
15061688,27
15061690,29
15061702,45
15061706,84
15061707,51
15061709,76
15061712,28
15061714,92
15061717,28
15061719,43
15061720,38
15061722,27
15061723,40
15061724,84
15061725,34
15061726,34
15061729,30
15061733,74
15061734,34
15061735,79
15061736,80
15061737,81
15061738,30
15061740,28
15061744,66
15061747,43
15061751,43
15061752,27
15061753,51
15061754,76
15061755,30
15061756,30
15061757,30
15061758,27
15061760,43
15061761,45
15061762,30
15061764,75
15061766,76
15061769,34
15061771,28
15061772,29
15061773,30
15061776,76
15061777,27
15061784,29
15061785,75
15061788,28
15061789,80
15061790,75
15061795,30
15061797,75
15061798,34
15061799,34
15061800,80
15061811,28
15061813,80
15061814,30
15061815,34
15061826,35
15061905,39
15061906,29
15061907,80
15061908,35
15061909,28
15061910,50
15061911,44
15061915,76
15061917,35
15061918,50
15061926,28
15061927,29
15061929,75
15061930,50
15061933,28
15061934,80
15061937,28
15061939,80
15061941,75
15061944,80
15061945,75
15061948,57
15061949,29
15061951,42
15061952,34
15061953,28
15061954,40
15061957,38
15061958,76
15061960,29
15061961,27
15061964,50
15061965,42
15061966,29
15061967,27
15061968,27
15061969,80
15062036,50
15062038,39
15062039,82
15062050,75
15062051,40
15062052,43
15062053,40
15062063,27
15062067,80
15062069,28
15062071,60
15062080,76
15062081,27
15062092,35
15062094,29
15062097,40
15062100,80
15062101,41
15062102,79
15062103,76
15062105,30
15062106,30
15062107,50
15062108,29
15062109,39
15062112,45
15062115,80
15062117,38
15062118,38
15062119,29
15062122,29
15062124,28
15062126,30
15062133,35
15062136,30
15062139,30
15062143,38
15062144,30
15062145,28
15062146,45
15062147,42
15062149,35
15062150,28
15062151,45
15062152,30
15062153,38
15062332,42
15062333,30
15062334,81
15062335,40
15062337,40
15062338,42
15062339,76
15062344,30
15062346,80
15062347,28
15062349,28
15062350,30
15062351,27
15062353,76
15062354,75
15062356,29
15062357,30
15062358,28
15062359,76
15062360,80
15062361,30
15062363,39
15062366,30
15062367,75
15062368,39
15062369,34
15062371,75
