SAMPLES,c1_12152,c1_7964,c2_32056,c2_39191,c2_50324
15061942,4,2,4,4,4
15061763,4,4,3,4,4
15061801,3,1,4,2,2
15061494,4,3,4,2,2
15061613,4,2,2,3,4
15062137,4,3,4,4,4
15061319,4,1,3,4,4
15062142,3,3,4,2,3
15060320,4,3,4,4,4
15061768,4,4,4,4,4
15061522,4,2,4,4,4
15060081,4,1,3,3,NA
15061656,3,1,4,3,3
15061759,4,4,4,3,2
15061928,3,2,4,4,1
15061454,4,2,4,3,2
15061605,4,2,2,4,4
15060087,4,3,4,4,3
15061619,4,3,4,4,4
15060090,3,2,4,2,3
15061731,4,3,4,4,4
15061655,3,1,4,3,3
15061661,4,2,2,3,4
15061499,4,2,NA,4,4
15061647,4,1,3,4,4
15061612,4,4,3,4,4
15061742,4,2,NA,4,4
15061710,4,2,4,3,1
15062372,4,2,4,4,4
15061583,4,2,2,3,4
15061767,4,1,3,4,4
15062130,4,3,4,4,4
15061637,4,1,3,4,4
15061337,4,3,4,4,4
15062104,4,2,4,4,4
15061579,4,3,4,4,4
15061932,3,3,4,4,2
15061603,4,3,4,4,3
15060025,4,1,3,4,4
15061704,4,1,3,4,4
15061334,4,3,4,3,3
15061631,4,2,4,3,1
15060964,4,2,4,4,3
15061778,4,3,4,4,4
15061718,4,2,4,3,2
15061486,4,3,4,3,2
15060214,4,3,3,4,2
15061333,4,1,4,3,3
15061962,3,3,4,4,2
15061624,4,3,4,4,3
15061282,4,2,2,3,4
15061529,3,2,3,3,2
15061935,3,3,4,4,2
15061568,4,3,4,4,4
15061491,4,3,4,4,4
15061318,3,4,3,4,4
15061361,4,3,4,4,4
15061515,3,3,2,2,3
15062123,4,2,NA,4,4
15061358,4,1,3,4,4
15061428,4,2,4,4,4
15061496,4,3,4,3,2
15061648,4,2,4,4,4
15061808,3,1,4,2,2
15061600,4,3,4,4,4
15061730,4,1,4,4,4
15061623,4,1,3,4,4
15061405,4,2,2,3,4
15061299,4,2,2,3,4
15061578,4,2,4,4,4
15061476,3,3,3,4,4
15061765,3,2,3,3,1
15062111,4,3,4,4,4
15061397,4,3,4,4,3
15061713,4,1,3,4,4
15061584,3,2,4,3,3
15061912,4,4,4,3,3
15061260,4,1,3,4,4
15062099,3,3,4,4,3
15061350,4,2,4,4,4
15060933,3,1,4,4,3
15061548,4,2,3,4,4
15061348,4,3,4,4,4
15061560,3,2,2,2,2
15061544,4,3,4,4,3
15061449,4,2,4,3,2
15062348,4,2,4,4,4
15061916,4,3,4,4,4
15062138,4,3,3,4,NA
15061946,4,3,4,3,2
15061676,4,3,4,4,4
15060536,3,3,4,1,3
15061391,4,3,4,4,4
15061662,4,2,4,3,2
15061228,3,1,4,4,3
15061356,3,2,4,2,3
15061963,4,3,4,4,4
15061338,4,3,4,4,3
15062331,3,2,4,2,3
15062098,4,2,4,4,4
15062114,4,3,4,4,4
15062046,4,4,4,3,3
15062370,4,2,4,4,4
15061685,4,2,3,4,4
15061540,4,2,NA,4,4
15061721,4,4,4,4,2
15062074,4,1,4,4,4
15062362,4,3,4,4,4
15061689,4,3,4,4,4
15061357,4,2,4,4,4
15061376,4,2,4,4,4
15061308,4,3,4,4,4
