Samples,PriBrote.LCH.C
15061942,26
15061763,20
15061801,47
15061494,26
15061613,26
15062137,55
15061319,20
15062142,57
15060320,53
15061768,49
15061522,20
15060081,20
15061656,42
15061759,40
15061928,35
15061454,40
15061605,49
15060087,20
15061619,53
15060090,20
15061731,41
15061655,55
15061661,40
15061499,26
15061647,28
15061612,26
15061742,20
15061710,20
15062372,28
15061583,39
15061767,20
15062130,47
15061637,20
15061337,26
15062104,20
15061579,26
15061932,45
15061603,28
15060025,20
15061704,28
15061334,49
15061631,28
15060964,40
15061778,58
15061718,26
15061486,26
15060214,53
15061333,28
15061962,55
15061624,55
15061282,28
15061529,26
15061935,57
15061568,49
15061491,58
15061318,20
15061361,20
15061515,26
15062123,20
15061358,28
15061428,58
15061496,26
15061648,20
15061808,47
15061600,43
15061730,39
15061623,20
15061405,20
15061299,40
15061578,55
15061476,26
15061765,20
15062111,20
15061397,42
15061713,20
15061584,57
15061912,53
15061260,20
15062099,40
15061350,58
15060933,59
15061548,57
15061348,20
15061560,26
15061544,26
15061449,20
15062348,43
15061916,20
15062138,28
15061946,20
15061676,26
15060536,59
15061391,4
15061662,26
15061228,20
15061356,49
15061963,38
15061338,20
15062331,58
15062098,58
15062114,39
15062046,53
15062370,20
15061685,28
15061540,20
15061721,43
15062074,20
15062362,40
15061689,47
15061357,20
15061376,58
15061308,28
