SAMPLES,c1_11124,c1_11459,c2_38952,c2_48033,c2_52898
15061942,1,4,3,0,2
15061763,0,4,4,1,2
15061801,0,2,3,2,2
15061494,0,3,4,1,2
15061613,0,3,2,0,1
15062137,1,4,3,1,1
15061319,0,4,4,0,1
15062142,0,4,4,0,2
15060320,0,4,4,1,1
15061768,0,4,4,0,3
15061522,0,3,2,1,1
15060081,0,4,4,0,1
15061656,0,4,3,1,1
15061759,0,4,4,0,2
15061928,0,4,4,1,3
15061454,0,4,3,0,3
15061605,0,NA,2,0,2
15060087,1,2,3,1,3
15061619,1,4,3,1,1
15060090,0,3,2,1,1
15061731,1,4,3,1,1
15061655,0,4,3,0,0
15061661,0,3,2,0,1
15061499,0,4,4,0,2
15061647,0,4,4,0,1
15061612,0,4,2,1,1
15061742,0,4,4,0,2
15061710,0,3,2,2,2
15062372,1,4,4,1,2
15061583,0,3,2,0,1
15061767,1,4,3,1,2
15062130,0,4,4,0,1
15061637,0,4,4,0,1
15061337,0,4,4,1,2
15062104,1,4,3,0,1
15061579,1,NA,3,0,3
15061932,1,3,3,1,1
15061603,1,2,3,1,3
15060025,0,4,4,0,1
15061704,0,4,4,0,1
15061334,0,4,4,1,2
15061631,0,3,2,2,2
15060964,0,3,4,0,1
15061778,1,4,3,1,1
15061718,0,4,3,0,3
15061486,0,3,4,0,0
15060214,0,3,4,1,1
15061333,0,4,4,1,2
15061962,1,3,3,1,1
15061624,1,2,3,1,3
15061282,0,3,2,0,1
15061529,0,4,4,1,1
15061935,1,3,3,1,1
15061568,0,4,4,0,2
15061491,1,4,3,1,1
15061318,0,4,4,1,2
15061361,0,4,4,1,2
15061515,0,4,4,1,2
15062123,0,4,4,0,2
15061358,0,4,4,0,1
15061428,0,4,4,0,1
15061496,0,3,4,0,2
15061648,0,4,4,1,3
15061808,0,2,3,2,2
15061600,0,NA,4,0,1
15061730,0,3,4,1,2
15061623,0,4,4,0,1
15061405,0,3,2,0,1
15061299,0,3,2,0,1
15061578,1,4,3,0,1
15061476,0,3,4,2,2
15061765,0,4,4,1,1
15062111,0,4,4,1,3
15061397,1,2,3,1,3
15061713,0,4,4,0,1
15061584,0,3,1,1,2
15061912,0,4,4,0,1
15061260,0,4,4,0,1
15062099,0,3,3,0,0
15061350,0,4,4,0,2
15060933,1,4,3,0,0
15061548,0,4,4,0,1
15061348,0,4,4,1,2
15061560,1,4,3,0,3
15061544,1,NA,3,1,3
15061449,0,4,3,0,3
15062348,0,4,4,0,1
15061916,0,4,4,1,2
15062138,1,2,3,1,2
15061946,0,3,4,0,2
15061676,0,4,4,1,2
15060536,0,3,4,1,0
15061391,1,4,3,1,1
15061662,0,4,3,0,3
15061228,0,4,1,1,4
15061356,0,3,2,1,1
15061963,1,4,3,1,1
15061338,1,2,3,1,3
15062331,0,3,2,1,1
15062098,0,4,4,0,1
15062114,1,4,3,0,3
15062046,0,4,4,0,1
15062370,1,4,3,0,1
15061685,1,4,3,1,3
15061540,0,4,4,0,2
15061721,0,3,4,0,1
15062074,0,4,4,0,2
15062362,0,4,4,1,2
15061689,1,4,3,1,1
15061357,1,4,3,0,1
15061376,0,4,4,0,1
15061308,1,4,3,1,1
