SAMPLES,GEBVs(BRR),ACTUAL
15061614,6.123,7
15061337,5.503,5
15062067,4.98,4
15061752,5.546,7
15061930,5.318,7
15061566,5.399,4
15061773,5.887,7
15061575,5.477,7
15061344,5.123,7
15061282,6.139,7
15061926,6.142,4
15061906,5.368,7
15061665,5.235,4
15061397,5.393,7
15060187,6.314,7
15061534,5.866,7
15062362,5.504,4
15061521,5.426,7
15061633,5.393,4
15061659,5.328,7
15061673,5.379,7
15062356,5.871,7
15061361,5.517,7
15061729,5.348,7
15061755,5.785,7
15061496,5.921,7
15062368,5.719,7
15062339,6.074,7
15061577,5.246,4
15062136,6.26,7
15061529,5.628,7
15061396,5.752,4
15061482,4.735,4
15061814,5.424,4
15061769,5.822,7
15061610,5.512,4
15062147,6.008,7
15061358,5.743,7
15061550,5.357,7
15061271,6.163,7
15060214,5.474,7
15062074,5.753,4
15061507,5.41,4
15061383,5.529,7
15062149,6.032,7
15060042,5.454,5
15061647,5.754,4
15061477,5.214,7
15061586,5.315,5
15062347,5.886,4
15061958,5.666,4
15062346,5.294,7
15061639,5.412,7
15061757,5.661,5
15061299,6.145,7
15061653,5.719,7
15061761,5.735,4
15062146,5.866,7
15061655,5.576,4
15061329,5.253,4
15061535,5.912,7
15061578,5.267,4
15061730,5.357,7
15061627,6.014,7
15061500,4.729,4
15061717,6.155,4
15062122,5.876,7
15061435,5.663,7
15061706,5.736,7
15061624,5.427,4
15060121,5.879,7
15061423,5.168,4
15061488,5.499,4
15061916,5.506,4
15061487,5.536,7
15061281,5.35,7
15061937,5.748,4
15061493,5.921,7
15061296,5.314,7
15061649,5.588,7
15061307,5.902,4
15062133,5.928,7
15062350,5.591,7
15061338,5.403,7
15060027,5.445,7
15061011,5.747,7
15061795,5.88,7
15062358,5.504,4
15061216,5.902,7
15061300,5.507,4
15061462,5.964,7
15061516,6.078,5
15061394,5.76,7
15061453,5.504,4
15062123,5.505,4
15060110,5.4,5
15061964,5.757,4
15061542,5.516,7
15060570,6.07,7
15061785,6.348,7
15061766,5.491,7
15060021,5.868,7
15061364,5.516,5
15060050,5.322,7
15061637,5.748,7
15062369,6.025,7
15061345,5.701,4
15061966,5.541,7
15061737,5.356,7
15060112,5.527,7
15061751,5.324,4
15061567,5.666,4
