SAMPLES,GEBVs(BB),ACTUAL
15062362,117.438,117
15061954,116.507,132
15062339,117.485,106
15061482,117.464,117
15062104,117.517,128
15061707,117.068,117
15061567,116.4,118
15061964,118.007,117
15061488,117.303,117
15061438,117.291,117
15061814,118.218,117
15061721,117.288,106
15061601,117.41,116
15061719,118.003,115
15061629,117.425,107
15061477,117.3,115
15061761,118.046,117
15061336,116.641,117
15061386,116.779,118
15061305,117.076,118
15061676,117.433,128
15061523,116.344,115
15061763,117.031,132
15061385,116.326,117
15062133,117.528,117
15061333,117.252,117
15061627,116.936,107
15061731,117.29,118
15061641,118.212,117
15061330,117.222,124
15061626,117.18,117
15062147,118.935,106
15061487,117.427,132
15060536,117.525,117
15061261,116.914,106
15061389,117.316,118
15060101,118,132
15061397,116.322,132
15061551,117.007,132
15061539,116.329,117
15062115,116.515,118
15061361,117.431,117
15061669,116.938,112
15062359,116.441,117
15061690,117.336,117
15061308,117.312,117
15062372,117.463,117
15061342,117.428,106
15061281,118.125,115
15061932,116.979,128
15061370,116.501,117
15061630,116.996,124
15061789,117.463,115
15061666,117.528,118
15062143,117.124,117
15061297,117.312,117
15061907,118.025,116
15061538,116.322,118
15062371,117.099,118
15061685,117.148,115
15062081,116.959,115
15061969,117.186,116
15061498,117.265,117
15061271,118.006,124
15062344,117.169,106
15061279,117.531,117
15062144,116.339,128
15061722,117.816,106
15061768,116.859,118
15061557,116.926,115
15061434,118.917,116
15060072,118.504,115
15061405,117.498,115
15062052,116.516,106
15062098,116.493,118
15061916,117.405,112
15061377,116.909,117
15061633,117.601,117
15061702,117.115,115
15061614,117.474,117
15061368,116.761,106
15061520,118.019,115
15060082,117.305,116
15061656,117.876,128
15061331,117.343,117
15061327,116.947,117
15062074,117.107,117
15061300,116.504,112
15061776,117.453,117
15061462,116.868,115
15061302,117.076,118
15061957,117.192,115
15061514,116.914,118
15060909,116.996,117
15062063,117.435,118
15060090,117.094,118
15061301,117.515,117
15061423,118.837,117
15061453,116.533,115
15060215,117.459,117
15062119,117.514,118
15061537,118.021,115
15061667,117.128,124
15062123,116.155,117
15061710,116.997,106
15061258,117.602,117
15061443,117.443,115
15060050,117.001,115
15060110,116.333,117
15062053,117.876,132
15061764,116.709,118
15061799,117.017,115
