SAMPLES,GEBVs(BA),ACTUAL
15061614,231.441,318
15061337,190.278,41
15062067,147.368,41
15061752,204.8,318
15061930,193.954,318
15061566,180.135,41
15061773,220.17,318
15061575,201.71,318
15061344,160.675,318
15061282,232.509,318
15061926,232.727,41
15061906,192.502,318
15061665,171.823,41
15061397,179.315,318
15060187,248.697,318
15061534,221.308,318
15062362,189.667,41
15061521,181.603,318
15061633,182.937,41
15061659,193.785,318
15061673,187.728,318
15062356,221.437,318
15061361,190.572,318
15061729,183.993,318
15061755,216.778,318
15061496,233.119,318
15062368,209.638,318
15062339,230.09,318
15061577,170.243,41
15062136,240.064,346
15061529,201.988,318
15061396,202.824,41
15061482,123.402,41
15061814,209.073,41
15061769,209.67,318
15061610,190.58,41
15062147,229.317,318
15061358,220.76,318
15061550,184.798,318
15061271,246.436,318
15060214,194.579,318
15062074,227.224,41
15061507,176.856,41
15061383,191.992,318
15062149,230.059,318
15060042,183.306,52
15061647,221.721,41
15061477,171.521,318
15061586,193.553,344
15062347,222.184,41
15061958,210.633,41
15062346,183.24,318
15061639,208.22,318
15061757,212.439,344
15061299,232.814,318
15061653,210.187,318
15061761,202.248,41
15062146,221.062,318
15061655,204.499,41
15061329,171.008,41
15061535,231.507,318
15061578,171.787,41
15061730,184.619,318
15061627,241.377,318
15061500,122.81,41
15061717,246.548,41
15062122,214.472,318
15061435,212.296,318
15061706,208.19,318
15061624,182.848,41
15060121,221.738,318
15061423,158.139,41
15061488,197.185,41
15061916,190.31,41
15061487,190.75,318
15061281,166.927,318
15061937,226.997,41
15061493,232.21,318
15061296,178.839,318
15061649,199.044,318
15061307,224.187,41
15062133,233.932,318
15062350,202.367,318
15061338,180.483,318
15060027,184.102,318
15061011,221.384,318
15061795,221.644,318
15062358,197.499,41
15061216,219.089,318
15061300,186.864,41
15061462,225.006,318
15061516,235.995,344
15061394,203.332,318
15061453,186.956,41
15062123,208.483,41
15060110,180.31,344
15061964,203.311,41
15061542,208.857,318
15060570,229.397,318
15061785,267.938,318
15061766,207.336,318
15060021,221.168,318
15061364,190.816,344
15060050,194.15,318
15061637,221.047,318
15062369,229.945,318
15061345,208.762,41
15061966,190.799,318
15061737,184.548,318
15060112,191.576,318
15061751,194.419,41
15061567,211.055,41
