"BASE","GSCORE","TRAIT","LGSCORE","TOOL","MODEL","GC","SNP","CHR","POS","P","SCORE","THRESHOLD","SIGNIFICANCE","ScoresRepl","ScoresSign","ScoreGC"
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_45071",1,6103001,0.0481090289804186,1.317773,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_27903",1,7192782,0.0849590031700383,1.070791,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_53708",1,54264723,0.112955123379605,0.947094,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c1_10369",1,44964138,0.161193363462919,0.792653,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_48155",1,7834894,0.170372362182003,0.768601,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_36660",1,808325,0.189620170798678,0.722115,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_54624",0,20391837,0.210076436769087,0.677623,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_54797",1,992483,0.24968612704804,0.602606,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_21332",0,21225651,0.265129311200098,0.576542,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_4437",0,24387070,0.265129311200098,0.576542,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_686",1,14805485,0.269855619539368,0.568869,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_40131",1,53444045,0.34655331870591,0.46023,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_6674",0,28132116,0.443457804432592,0.353148,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_55012",1,5654532,0.517592546650754,0.286012,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_53521",1,12643802,0.612042505751095,0.213218,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_49042",1,10922797,0.627863782916051,0.202135,4.299725,FALSE,78,0,0.903
"CBaya",0.728,"CBaya.C",0.732,"TASSEL","additive",0.903,"c2_52704",1,9095607,0.721417423893175,0.141813,4.299725,FALSE,78,0,0.903
