SAMPLES,GEBVs(BB),ACTUAL
15062362,34.888,42
15061954,36.991,42
15062339,34.668,42
15061482,37.035,43
15062104,35.031,37
15061707,34.503,41
15061567,34.371,42
15061964,32.156,30
15061488,33.253,30
15061438,33.258,50
15061814,33.9,31
15061721,33.305,30
15061601,34.89,30
15061719,32.184,27
15061629,34.17,31
15061477,36.578,31
15061761,32.175,27
15061336,35.684,42
15061386,34.616,42
15061305,33.239,27
15061676,34.906,37
15061523,30.454,29
15061763,33.529,42
15061385,30.473,29
15062133,33.066,27
15061333,37.486,41
15061627,35.399,27
15061731,33.255,41
15061641,33.912,31
15061330,36.468,42
15061626,32.684,27
15062147,37.958,42
15061487,33.381,42
15060536,33.71,41
15061261,36.719,42
15061389,33.21,27
15060101,32.202,27
15061397,30.618,33
15061551,35.083,42
15061539,30.469,30
15062115,32.673,29
15061361,34.912,31
15061669,36.536,42
15062359,41.331,41
15061690,33.205,42
15061308,33.256,33
15062372,34.363,41
15061342,34.917,41
15061281,36.255,42
15061932,38.86,42
15061370,36.995,37
15061630,29.663,27
15061789,36.996,37
15061666,37.646,27
15062143,33.59,30
15061297,33.766,28
15061907,37.633,27
15061538,30.472,27
15062371,35.437,42
15061685,33.602,27
15062081,33.428,29
15061969,38.061,42
15061498,33.032,43
15061271,38.756,42
15062344,34.439,30
15061279,34.274,42
15062144,30.477,42
15061722,34.382,37
15061768,32.481,27
15061557,36.714,37
15061434,37.874,50
15060072,37.649,27
15061405,33.487,31
15062052,36.997,33
15062098,36.987,42
15061916,34.893,43
15061377,36.702,41
15061633,37.712,30
15061702,37.48,30
15061614,33.408,42
15061368,34.714,27
15061520,31.463,30
15060082,33.107,30
15061656,35.964,27
15061331,35.853,42
15061327,36.645,50
15062074,35.659,27
15061300,32.677,27
15061776,35.426,42
15061462,35.038,27
15061302,34.015,33
15061957,34.51,29
15061514,36.839,30
15060909,38.815,41
15062063,34.898,37
15060090,35.426,31
15061301,34.911,42
15061423,36.109,31
15061453,32.683,30
15060215,33.6,31
15062119,34.966,42
15061537,32.171,27
15061667,33.603,41
15062123,38.02,42
15061710,29.67,30
15061258,35.992,29
15061443,37.053,41
15060050,35.41,42
15060110,30.468,27
15062053,36.825,30
15061764,31.061,43
15061799,33.517,30
