SAMPLES,GEBVs(RKHS),ACTUAL
15062362,43.868,41
15061954,48.575,54
15062339,44,36
15061482,44.125,41
15062104,45.382,33
15061707,47.686,38
15061567,57.862,63
15061964,84.37,92
15061488,44.443,43
15061438,44.736,57
15061814,45.578,43
15061721,41.978,45
15061601,43.876,33
15061719,84.283,92
15061629,52.945,61
15061477,40.328,43
15061761,84.764,92
15061336,44.968,43
15061386,55.272,43
15061305,45.171,42
15061676,43.555,41
15061523,46.43,43
15061763,46.695,59
15061385,45.642,54
15062133,41.241,43
15061333,44.94,52
15061627,47.108,66
15061731,44.693,54
15061641,45.069,54
15061330,50.856,43
15061626,43.124,36
15062147,44.578,33
15061487,44.32,42
15060536,45.167,67
15061261,53.346,52
15061389,44.856,45
15060101,84.279,89
15061397,45.709,92
15061551,45.2,45
15061539,45.707,43
15062115,43.919,54
15061361,43.524,43
15061669,45.352,52
15062359,43.998,66
15061690,44.053,36
15061308,44.762,57
15062372,53.271,65
15061342,43.695,42
15061281,44.693,41
15061932,50.795,57
15061370,48.689,36
15061630,47.069,41
15061789,44.198,63
15061666,45.841,36
15062143,44.83,43
15061297,43.567,43
15061907,51.979,89
15061538,45.563,42
15062371,54.148,43
15061685,44.929,54
15062081,51.805,54
15061969,59.878,70
15061498,45.063,33
15061271,40.277,43
15062344,41.692,36
15061279,42.17,54
15062144,45.786,54
15061722,47.118,48
15061768,36.231,43
15061557,52.316,59
15061434,44.61,54
15060072,49.985,49
15061405,48.906,58
15062052,48.442,36
15062098,48.694,54
15061916,43.604,36
15061377,52.86,52
15061633,52.836,49
15061702,47.113,43
15061614,49.076,54
15061368,55.035,52
15061520,44.565,43
15060082,48.105,36
15061656,52.74,66
15061331,54.331,53
15061327,53.344,63
15062074,44.118,70
15061300,43.773,43
15061776,44.093,52
15061462,35.905,43
15061302,47.122,31
15061957,46.551,67
15061514,53.247,66
15060909,50.647,61
15062063,43.581,36
15060090,54.509,41
15061301,56.232,43
15061423,54.054,54
15061453,43.879,43
15060215,48.713,45
15062119,45.269,43
15061537,84.84,92
15061667,45.023,58
15062123,47.652,58
15061710,47.219,45
15061258,50.382,53
15061443,44.186,53
15060050,53.359,54
15060110,45.705,36
15062053,45.475,45
15061764,86.732,31
15061799,46.606,45
