"","nMarkers","HCLTraits","Traits","HCLs","Models","Means"
"4",1,"PCSprout.C","PCSprout","C","RKHS",0.5782
"5",1,"PCSprout.H","PCSprout","H","RKHS",0.1286
"6",1,"PCSprout.L","PCSprout","L","RKHS",0.46664
"7",1,"PCFlower.C","PCFlower","C","RKHS",0.64392
"8",1,"PCFlower.H","PCFlower","H","RKHS",0.81724
"9",1,"PCFlower.L","PCFlower","L","RKHS",0.6108
"10",1,"PCTuberskin.C","PCTuberskin","C","RKHS",0.50508
"11",1,"PCTuberskin.H","PCTuberskin","H","RKHS",0.4664
"12",1,"PCTuberskin.L","PCTuberskin","L","RKHS",0.4828
"16",1,"SCSprout.C","SCSprout","C","RKHS",0.2118
"17",1,"SCSprout.H","SCSprout","H","BA",0.25076
"18",1,"SCSprout.L","SCSprout","L","BRR",0.26472
"19",1,"SCTuberflesh.C","SCTuberflesh","C","RKHS",0.16144
"20",1,"SCTuberflesh.H","SCTuberflesh","H","RKHS",0.05484
"21",1,"SCTuberflesh.L","SCTuberflesh","L","RKHS",0.25092
"22",1,"SCTuberskin.C","SCTuberskin","C","BA",0.26144
"23",1,"SCTuberskin.H","SCTuberskin","H","RKHS",0.14388
"24",1,"SCTuberskin.L","SCTuberskin","L","RKHS",0.32536
"25",1,"StemC.C","StemC","C","RKHS",0.66368
"26",1,"StemC.H","StemC","H","RKHS",0.46516
"27",1,"StemC.L","StemC","L","RKHS",0.69456
"31",5,"PCSprout.C","PCSprout","C","RKHS",0.60424
"32",5,"PCSprout.H","PCSprout","H","RKHS",0.28872
"33",5,"PCSprout.L","PCSprout","L","RKHS",0.46772
"34",5,"PCFlower.C","PCFlower","C","RKHS",0.61812
"35",5,"PCFlower.H","PCFlower","H","RKHS",0.85884
"36",5,"PCFlower.L","PCFlower","L","RKHS",0.6314
"37",5,"PCTuberskin.C","PCTuberskin","C","RKHS",0.545
"38",5,"PCTuberskin.H","PCTuberskin","H","RKHS",0.44232
"39",5,"PCTuberskin.L","PCTuberskin","L","RKHS",0.47712
"43",5,"SCSprout.C","SCSprout","C","BRR",0.21364
"44",5,"SCSprout.H","SCSprout","H","BRR",0.19372
"45",5,"SCSprout.L","SCSprout","L","RKHS",0.3104
"46",5,"SCTuberflesh.C","SCTuberflesh","C","RKHS",0.195
"47",5,"SCTuberflesh.H","SCTuberflesh","H","BRR",0.07672
"48",5,"SCTuberflesh.L","SCTuberflesh","L","RKHS",0.29956
"49",5,"SCTuberskin.C","SCTuberskin","C","BRR",0.21048
"50",5,"SCTuberskin.H","SCTuberskin","H","BRR",0.20608
"51",5,"SCTuberskin.L","SCTuberskin","L","RKHS",0.35172
"52",5,"StemC.C","StemC","C","RKHS",0.66616
"53",5,"StemC.H","StemC","H","RKHS",0.44968
"54",5,"StemC.L","StemC","L","RKHS",0.70668
"58",10,"PCSprout.C","PCSprout","C","RKHS",0.59836
"59",10,"PCSprout.H","PCSprout","H","RKHS",0.323
"60",10,"PCSprout.L","PCSprout","L","RKHS",0.457
"61",10,"PCFlower.C","PCFlower","C","RKHS",0.612
"62",10,"PCFlower.H","PCFlower","H","RKHS",0.83256
"63",10,"PCFlower.L","PCFlower","L","RKHS",0.65424
"64",10,"PCTuberskin.C","PCTuberskin","C","RKHS",0.5474
"65",10,"PCTuberskin.H","PCTuberskin","H","RKHS",0.45616
"66",10,"PCTuberskin.L","PCTuberskin","L","RKHS",0.49512
"70",10,"SCSprout.C","SCSprout","C","BL",0.238
"71",10,"SCSprout.H","SCSprout","H","RKHS",0.21532
"72",10,"SCSprout.L","SCSprout","L","RKHS",0.30596
"73",10,"SCTuberflesh.C","SCTuberflesh","C","BA",0.19168
"74",10,"SCTuberflesh.H","SCTuberflesh","H","BC",0.07732
"75",10,"SCTuberflesh.L","SCTuberflesh","L","BRR",0.32604
"76",10,"SCTuberskin.C","SCTuberskin","C","BL",0.18828
"77",10,"SCTuberskin.H","SCTuberskin","H","BRR",0.1938
"78",10,"SCTuberskin.L","SCTuberskin","L","BRR",0.35428
"79",10,"StemC.C","StemC","C","RKHS",0.68312
"80",10,"StemC.H","StemC","H","RKHS",0.47612
"81",10,"StemC.L","StemC","L","BL",0.73076
"85",100,"PCSprout.C","PCSprout","C","BRR",0.58512
"86",100,"PCSprout.H","PCSprout","H","RKHS",0.35816
"87",100,"PCSprout.L","PCSprout","L","BC",0.45288
"88",100,"PCFlower.C","PCFlower","C","BC",0.61788
"89",100,"PCFlower.H","PCFlower","H","BA",0.84328
