SAMPLES,GEBVs(BA),ACTUAL
15062362,5.696,4
15061954,6.33,4
15062339,6.783,7
15061482,5.374,4
15062104,6.114,4
15061707,7.307,7
15061567,7.898,4
15061964,5.831,4
15061488,10.449,4
15061438,10.435,58
15061814,7.586,4
15061721,6.785,7
15061601,5.689,7
15061719,5.844,7
15061629,7.155,7
15061477,6.118,4
15061761,5.811,7
15061336,6.677,4
15061386,7.03,7
15061305,6.826,4
15061676,5.696,7
15061523,5.816,4
15061763,6.528,7
15061385,5.846,4
15062133,6.091,7
15061333,6.352,7
15061627,7.315,7
15061731,10.441,7
15061641,7.574,7
15061330,8.034,4
15061626,6.803,7
15062147,6.644,7
15061487,6.268,7
15060536,6.819,7
15061261,6.111,7
15061389,10.445,4
15060101,5.852,7
15061397,5.841,7
15061551,5.3,4
15061539,5.845,7
15062115,6.43,4
15061361,5.721,7
15061669,6.48,7
15062359,5.869,4
15061690,10.456,4
15061308,10.438,7
15062372,5.85,7
15061342,5.723,7
15061281,5.431,7
15061932,5.44,4
15061370,6.312,7
15061630,6.658,7
15061789,5.364,4
15061666,6.772,4
15062143,6.647,4
15061297,6.251,7
15061907,5.508,58
15061538,5.866,4
15062371,5.403,7
15061685,6.61,7
15062081,7.611,7
15061969,5.404,4
15061498,9.894,7
15061271,10.613,7
15062344,7.855,7
15061279,6.645,53
15062144,5.85,7
15061722,6.402,4
15061768,5.766,7
15061557,6.13,7
15061434,6.625,7
15060072,6.187,5
15061405,5.969,4
15062052,6.376,7
15062098,6.303,4
15061916,5.671,4
15061377,6.132,4
15061633,5.938,4
15061702,7.07,7
15061614,5.899,7
15061368,7.018,7
15061520,6.544,4
15060082,6.931,4
15061656,5.527,5
15061331,7.066,7
15061327,6.131,7
15062074,8.873,4
15061300,6.388,4
15061776,5.312,7
15061462,6.021,7
15061302,7.069,4
15061957,6.793,7
15061514,6.125,7
15060909,5.404,4
15062063,5.729,4
15060090,5.399,7
15061301,7.383,47
15061423,5.783,4
15061453,6.428,4
15060215,5.96,7
15062119,6.132,4
15061537,5.81,4
15061667,6.587,7
15062123,6.462,7
15061710,6.648,7
15061258,6.109,5
15061443,5.35,4
15060050,5.394,7
15060110,5.882,5
15062053,5.439,7
15061764,5.789,7
15061799,6.569,5
