,BA,BB
15060021,6.703,6.936
15060025,6.134,5.992
15060027,6.638,6.168
15060039,5.406,5.822
15060042,6.135,5.471
15060056,7.127,6.364
15060063,11.646,9.926
15060070,5.788,5.803
15060081,5.927,5.938
15060085,5.915,5.933
15060087,5.789,5.806
15060097,4.969,4.968
15060102,5.739,6.238
15060112,5.658,5.732
15060114,5.954,5.979
15060120,7.328,7.029
15060121,7.025,7.326
15060122,5.425,5.725
15060138,7.104,7.326
15060160,5.206,5.607
15060187,7.321,7.245
15060188,5.649,5.776
15060190,6.554,7.369
15060191,6.403,6.168
15060214,5.716,5.394
15060313,5.707,6.179
15060320,6.442,7.38
15060345,6.209,6.158
15060383,5.675,6.169
15060420,6.255,6.174
15060543,6.968,6.681
15060570,6.824,7.278
15060797,7.068,7.247
15060846,5.373,5.704
15060907,6.777,7.788
15060910,5.853,5.696
15060933,6.959,6.676
15060964,6.391,6.799
15061007,6.404,6.799
15061011,6.184,5.998
15061122,5.403,5.702
15061204,6.987,6.24
15061213,5.435,5.869
15061215,5.446,5.871
15061216,7.051,6.583
15061225,5.981,5.986
15061226,6.817,6.472
15061228,5.969,5.92
15061237,7.011,6.705
15061256,6.28,5.214
15061257,6.22,6.227
15061259,5.786,5.801
15061260,6.125,5.982
15061262,5.723,5.609
15061263,5.336,4.955
15061264,5.655,5.647
15061265,9.011,8.461
15061270,6.54,6.244
15061273,9.03,8.463
15061274,6.861,6.819
15061277,6.197,6.222
15061282,5.962,5.665
15061283,5.627,5.714
15061286,10.926,9.488
15061288,5.486,5.869
15061289,5.42,5.837
15061290,6.038,6.348
15061291,6.322,6.674
15061293,6.479,6.307
15061295,6.844,6.942
15061296,6.569,6.655
15061298,7.545,7.742
15061299,5.984,5.893
15061303,5.312,5.51
15061307,5.99,5.933
15061312,6.338,6.679
15061313,6.415,6.164
15061314,7.657,7.641
15061317,5.685,5.61
15061318,6.462,6.632
15061319,6.101,5.979
15061320,4.977,4.813
15061323,5.982,5.9
15061324,6.005,5.687
15061329,6.041,6.34
15061334,6.956,7.702
15061335,7.334,7.018
15061337,5.686,5.733
15061338,5.805,5.809
15061340,5.776,5.807
15061344,5.672,5.767
15061345,6.264,6.179
15061346,6.263,6.178
15061347,6.182,6.194
15061348,5.678,5.734
15061349,7.263,6.692
15061350,6.305,6.677
15061352,10.811,10.258
15061353,5.661,5.731
15061355,5.649,5.73
15061356,5.357,5.695
15061357,5.967,6.313
15061358,6.14,5.98
15061360,5.647,5.73
15061364,5.632,5.731
15061365,5.406,5.844
15061367,5.439,5.861
15061369,7.022,7.32
15061376,6.254,6.176
15061378,7.333,7.012
15061380,6.128,6.198
15061382,5.996,5.928
15061383,5.649,5.734
15061384,5.757,5.824
15061388,6.452,6.159
15061390,10.739,10.21
15061391,10.78,10.197
15061392,7.319,7.016
15061394,5.709,5.602
15061396,5.731,5.614
15061404,10.736,10.215
15061406,5.663,5.742
15061410,5.814,5.964
15061411,5.727,5.549
15061414,10.751,10.174
15061415,6.704,7.091
15061417,10.74,10.224
15061418,10.712,10.16
