SAMPLES,GEBVs(BRR),ACTUAL
15062362,45.36,44
15061954,48.975,38
15062339,43.671,59
15061482,42.792,44
15062104,45.63,45
15061707,45.194,44
15061567,45.78,48
15061964,44.123,44
15061488,45.776,44
15061438,45.816,44
15061814,42.623,44
15061721,46.213,59
15061601,45.394,26
15061719,44.141,45
15061629,44.154,75
15061477,46.263,45
15061761,43.964,44
15061336,46.623,44
15061386,48.155,48
15061305,45.981,48
15061676,45.327,45
15061523,45.148,45
15061763,46.868,38
15061385,44.994,44
15062133,44.77,44
15061333,46.276,44
15061627,44.792,75
15061731,45.8,48
15061641,42.771,44
15061330,42.474,43
15061626,46.075,44
15062147,44.322,59
15061487,44.926,38
15060536,43.654,44
15061261,46.392,59
15061389,45.733,48
15060101,44.131,38
15061397,45.032,38
15061551,42.991,48
15061539,44.97,44
15062115,46.85,48
15061361,45.444,44
15061669,47.806,32
15062359,48.155,44
15061690,45.728,44
15061308,45.774,44
15062372,44.974,44
15061342,45.443,59
15061281,43.491,28
15061932,45.992,45
15061370,48.957,44
15061630,40.729,43
15061789,42.711,26
15061666,45.374,48
15062143,46.625,44
15061297,45.729,44
15061907,42.824,26
15061538,44.913,44
15062371,40.757,48
15061685,46.536,50
15062081,46.555,50
15061969,42.659,26
15061498,45.753,44
15061271,44.766,43
15062344,45.519,45
15061279,43.312,44
15062144,45.051,45
15061722,45.202,59
15061768,46.066,48
15061557,46.296,28
15061434,44.219,26
15060072,42.979,50
15061405,43.382,28
15062052,48.944,59
15062098,49.015,48
15061916,45.401,32
15061377,46.373,44
15061633,43.105,44
15061702,47.771,28
15061614,43.454,44
15061368,48.155,59
15061520,43.725,28
15060082,46.151,26
15061656,45.119,45
15061331,46.563,44
15061327,46.392,44
15062074,46.531,44
15061300,46.892,32
15061776,42.775,44
15061462,46.546,45
15061302,46.954,48
15061957,43.795,28
15061514,46.365,48
15060909,45.893,44
15062063,45.421,48
15060090,40.719,48
15061301,45.904,44
15061423,44.592,44
15061453,46.767,28
15060215,43.445,44
15062119,45.518,48
15061537,44.134,50
15061667,46.651,43
15062123,46.281,44
15061710,40.756,59
15061258,44.189,44
15061443,42.9,50
15060050,40.749,28
15060110,44.885,44
15062053,44.36,38
15061764,46.663,48
15061799,46.893,28
