"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
100,"CBaya.LCH.C","CBaya","C","BB",0.142
100,"CBaya.LCH.H","CBaya","H","BA",0.054
100,"CBaya.LCH.L","CBaya","L","BA",0.086
100,"CPBrote.LCH.C","CPBrote","C","BB",0.5005
100,"CPBrote.LCH.H","CPBrote","H","BA",0.3155
100,"CPBrote.LCH.L","CPBrote","L","BA",0.4135
100,"CPFlor.LCH.C","CPFlor","C","BB",0.572
100,"CPFlor.LCH.H","CPFlor","H","BA",0.8415
100,"CPFlor.LCH.L","CPFlor","L","BA",0.634
100,"CPTuber.LCH.C","CPTuber","C","BB",0.466
100,"CPTuber.LCH.H","CPTuber","H","BA",0.4195
100,"CPTuber.LCH.L","CPTuber","L","BA",0.415
100,"CPulpa.LCH.C","CPulpa","C","BB",0.4435
100,"CPulpa.LCH.H","CPulpa","H","BA",0.314
100,"CPulpa.LCH.L","CPulpa","L","BB",0.4205
100,"CSBrote.LCH.C","CSBrote","C","BB",0.233
100,"CSBrote.LCH.H","CSBrote","H","BB",0.1305
100,"CSBrote.LCH.L","CSBrote","L","BA",0.312
100,"CSPulpa.LCH.C","CSPulpa","C","BB",0.182
100,"CSPulpa.LCH.H","CSPulpa","H","BB",0.1095
100,"CSPulpa.LCH.L","CSPulpa","L","BB",0.331
100,"CSTuber.LCH.C","CSTuber","C","BA",0.132
100,"CSTuber.LCH.H","CSTuber","H","BA",0.132
100,"CSTuber.LCH.L","CSTuber","L","BA",0.335
100,"CTallo.LCH.C","CTallo","C","BA",0.636
100,"CTallo.LCH.H","CTallo","H","BA",0.438
100,"CTallo.LCH.L","CTallo","L","BB",0.692
1600,"CBaya.LCH.C","CBaya","C","BB",0.19
1600,"CBaya.LCH.H","CBaya","H","BA",0.0255
1600,"CBaya.LCH.L","CBaya","L","BB",0.1145
1600,"CPBrote.LCH.C","CPBrote","C","BA",0.5495
1600,"CPBrote.LCH.H","CPBrote","H","BB",0.323
1600,"CPBrote.LCH.L","CPBrote","L","BB",0.3885
1600,"CPFlor.LCH.C","CPFlor","C","BB",0.62
1600,"CPFlor.LCH.H","CPFlor","H","BA",0.8505
1600,"CPFlor.LCH.L","CPFlor","L","BB",0.6325
1600,"CPTuber.LCH.C","CPTuber","C","BA",0.469
1600,"CPTuber.LCH.H","CPTuber","H","BA",0.4325
1600,"CPTuber.LCH.L","CPTuber","L","BA",0.4485
1600,"CPulpa.LCH.C","CPulpa","C","BA",0.4535
1600,"CPulpa.LCH.H","CPulpa","H","BA",0.3145
1600,"CPulpa.LCH.L","CPulpa","L","BA",0.428
1600,"CSBrote.LCH.C","CSBrote","C","BB",0.237
1600,"CSBrote.LCH.H","CSBrote","H","BA",0.1475
1600,"CSBrote.LCH.L","CSBrote","L","BB",0.325
1600,"CSPulpa.LCH.C","CSPulpa","C","BA",0.186
1600,"CSPulpa.LCH.H","CSPulpa","H","BA",0.0735
1600,"CSPulpa.LCH.L","CSPulpa","L","BB",0.312
1600,"CSTuber.LCH.C","CSTuber","C","BA",0.2085
1600,"CSTuber.LCH.H","CSTuber","H","BA",0.144
1600,"CSTuber.LCH.L","CSTuber","L","BA",0.3595
1600,"CTallo.LCH.C","CTallo","C","BA",0.677
1600,"CTallo.LCH.H","CTallo","H","BA",0.412
1600,"CTallo.LCH.L","CTallo","L","BA",0.668
200,"CBaya.LCH.C","CBaya","C","BA",0.1235
200,"CBaya.LCH.H","CBaya","H","BB",0.1355
200,"CBaya.LCH.L","CBaya","L","BA",0.0965
200,"CPBrote.LCH.C","CPBrote","C","BB",0.5355
200,"CPBrote.LCH.H","CPBrote","H","BA",0.332
200,"CPBrote.LCH.L","CPBrote","L","BA",0.4545
200,"CPFlor.LCH.C","CPFlor","C","BA",0.614
200,"CPFlor.LCH.H","CPFlor","H","BA",0.8525
200,"CPFlor.LCH.L","CPFlor","L","BA",0.614
200,"CPTuber.LCH.C","CPTuber","C","BA",0.521
200,"CPTuber.LCH.H","CPTuber","H","BB",0.423
200,"CPTuber.LCH.L","CPTuber","L","BB",0.4165
