SAMPLES,GEBVs(BA),ACTUAL
15062362,320.531,344
15061954,297.771,342
15062339,301.941,344
15061482,325.781,324
15062104,307.245,328
15061707,308.761,324
15061567,325.823,345
15061964,320.561,345
15061488,330.244,346
15061438,329.808,342
15061814,269.557,345
15061721,300.91,346
15061601,320.518,345
15061719,320.643,10
15061629,305.193,345
15061477,309.59,324
15061761,320.739,344
15061336,318.89,346
15061386,319.709,346
15061305,329.077,324
15061676,320.667,344
15061523,333.565,333
15061763,309.855,345
15061385,334.006,333
15062133,317.953,344
15061333,307.151,316
15061627,315.668,344
15061731,330.095,344
15061641,269.134,344
15061330,307.639,344
15061626,320.257,344
15062147,289.991,346
15061487,303.458,318
15060536,307.103,316
15061261,319.148,345
15061389,330.202,344
15060101,320.289,333
15061397,333.969,344
15061551,325.23,345
15061539,334.01,345
15062115,328.767,345
15061361,320.312,316
15061669,314.492,345
15062359,287.308,344
15061690,330.002,346
15061308,329.921,316
15062372,306.694,342
15061342,320.012,346
15061281,312.659,316
15061932,321.498,345
15061370,297.821,346
15061630,317.89,344
15061789,326.19,346
15061666,281.554,344
15062143,320.531,316
15061297,308.96,318
15061907,299.045,324
15061538,334.265,344
15062371,299.809,344
15061685,320.713,333
15062081,324.253,344
15061969,259.064,346
15061498,327.754,346
15061271,286.143,346
15062344,308.435,321
15061279,311.496,346
15062144,333.449,346
15061722,305.547,331
15061768,327.492,328
15061557,319.277,331
15061434,291.137,12
15060072,294.712,344
15061405,291.234,322
15062052,297.725,324
15062098,297.846,316
15061916,320.75,12
15061377,319.029,324
15061633,306.298,345
15061702,306.928,344
15061614,291.478,346
15061368,320.003,344
15061520,316.648,345
15060082,304.417,344
15061656,306.984,324
15061331,315.662,333
15061327,319.921,346
15062074,319.709,344
15061300,328.793,346
15061776,325.902,344
15061462,324.877,333
15061302,312.972,321
15061957,300.721,12
15061514,319.025,346
15060909,322.124,344
15062063,320.476,331
15060090,300.665,344
15061301,316.624,346
15061423,309.58,346
15061453,328.947,344
15060215,291.43,345
15062119,307.779,346
15061537,320.402,345
15061667,320.819,346
15062123,314.654,344
15061710,317.891,345
15061258,302.419,333
15061443,326.205,344
15060050,299.911,346
15060110,334.034,344
15062053,313.413,344
15061764,319.332,344
15061799,309.45,331
