SAMPLES,GEBVs(EGBLUP),ACTUAL
15061614,73.06952,71
15061337,86.16608,90
15062067,77.97243,71
15061752,80.9648,94
15061930,76.13632,71
15061566,75.60056,71
15061773,78.27983,90
15061575,89.51595,90
15061344,87.63024,90
15061282,73.15026,71
15061926,73.40342,71
15061906,87.18367,71
15061665,80.5321,90
15061397,75.63425,94
15060187,76.91978,93
15061534,85.34511,96
15062362,86.06029,90
15061521,77.12451,93
15061633,80.20944,71
15061659,76.32217,71
15061673,78.56521,71
15062356,85.28568,94
15061361,86.14,90
15061729,86.67524,90
15061755,87.25144,94
15061496,84.95381,71
15062368,91.1178,94
15062339,78.2101,94
15061577,87.20017,94
15062136,84.76613,93
15061529,83.99165,90
15061396,89.80729,71
15061482,78.85889,71
15061814,68.76269,71
15061769,82.30427,71
15061610,86.04928,71
15062147,77.32602,71
15061358,83.27766,90
15061550,86.74072,94
15061271,87.53894,71
15060214,84.12475,71
15062074,83.02797,71
15061507,72.97132,71
15061383,86.13404,90
15062149,77.32571,90
15060042,77.30692,71
15061647,83.21364,71
15061477,80.08703,71
15061586,76.1496,71
15062347,86.995,90
15061958,79.19038,90
15062346,86.18061,94
15061639,68.71733,71
15061757,86.24834,94
15061299,73.35091,71
15061653,90.89635,94
15061761,89.86896,94
15062146,85.31417,93
15061655,80.01072,90
15061329,87.26512,93
15061535,84.80551,90
15061578,87.358,71
15061730,86.70071,90
15061627,86.55999,71
15061500,78.75668,71
15061717,86.09629,90
15062122,80.95537,71
15061435,86.40228,90
15061706,80.76116,90
15061624,75.93756,71
15060121,86.97422,71
15061423,79.74822,71
15061488,85.2684,71
15061916,86.15061,90
15061487,78.44226,71
15061281,83.47074,71
15061937,83.20211,71
15061493,84.9607,94
15061296,84.32302,94
15061649,81.50829,90
15061307,83.0058,90
15062133,85.06857,71
15062350,85.36487,94
15061338,75.60245,71
15060027,80.14941,71
15061011,83.33617,94
15061795,85.16808,93
15062358,85.32983,90
15061216,80.09336,90
15061300,86.1037,96
15061462,83.9863,96
15061516,84.03295,52
15061394,89.76526,94
15061453,86.07958,90
15062123,85.14981,71
15060110,75.6038,71
15061964,89.74276,90
15061542,85.03941,90
15060570,78.06042,94
15061785,86.36114,71
15061766,84.72646,90
15060021,85.32353,93
15061364,86.00497,90
15060050,75.575,71
15061637,83.30903,90
15062369,77.26225,90
15061345,91.07167,90
15061966,78.37942,90
15061737,86.65594,90
15060112,86.15879,90
15061751,76.12639,71
15061567,78.84751,94
