SAMPLES,GEBVs(RKHS),ACTUAL
15061614,116.645,117
15061337,116.723,117
15062067,116.612,116
15061752,116.479,118
15061930,116.07,116
15061566,116.713,115
15061773,116.365,117
15061575,116.444,118
15061344,116.019,115
15061282,116.636,112
15061926,116.635,117
15061906,116.695,117
15061665,116.618,117
15061397,116.715,112
15060187,116.534,117
15061534,116.573,115
15062362,116.721,117
15061521,116.215,118
15061633,116.404,117
15061659,116.065,117
15061673,116.426,115
15062356,116.573,116
15061361,116.724,117
15061729,116.592,117
15061755,116.688,115
15061496,116.475,117
15062368,116.915,117
15062339,116.236,117
15061577,116.57,117
15062136,116.269,116
15061529,116.722,118
15061396,115.996,118
15061482,116.286,118
15061814,116.582,117
15061769,116.531,117
15061610,116.724,118
15062147,116.296,116
15061358,116.363,115
15061550,116.59,117
15061271,116.561,115
15060214,116.241,117
15062074,116.726,117
15061507,116.432,117
15061383,116.723,115
15062149,116.298,115
15060042,116.229,118
15061647,116.357,117
15061477,116.309,115
15061586,116.067,118
15062347,116.685,117
15061958,116.51,117
15062346,116.221,117
15061639,116.581,117
15061757,116.493,117
15061299,116.642,117
15061653,116.915,117
15061761,116.01,117
15062146,116.565,115
15061655,116.343,118
15061329,116.563,117
15061535,116.461,117
15061578,116.561,117
15061730,116.593,115
15061627,116.459,116
15061500,116.283,115
15061717,116.372,117
15062122,116.697,118
15061435,116.484,117
15061706,116.388,117
15061624,116.709,117
15060121,116.685,117
15061423,116.468,117
15061488,116.914,117
15061916,116.714,112
15061487,116.341,115
15061281,116.123,115
15061937,116.722,115
15061493,116.474,117
15061296,116.779,118
15061649,116.335,117
15061307,116.425,117
15062133,116.468,117
15062350,116.728,117
15061338,116.712,118
15060027,116.605,117
15061011,116.358,117
15061795,116.563,115
15062358,116.914,117
15061216,116.522,118
15061300,116.611,112
15061462,116.299,115
15061516,116.59,118
15061394,116.004,118
15061453,116.612,115
15062123,115.528,117
15060110,116.714,117
15061964,115.997,117
15061542,115.529,115
15060570,116.233,117
15061785,116.467,115
15061766,115.529,118
15060021,116.568,116
15061364,116.728,116
15060050,116.065,115
15061637,116.36,117
15062369,116.294,117
15061345,116.909,117
15061966,116.339,117
15061737,116.595,117
15060112,116.724,116
15061751,116.057,120
15061567,116.488,118
