SAMPLES,GEBVs(RKHS),ACTUAL
15062362,169.564,117
15061954,124.91,117
15062339,179.061,117
15061482,127.994,117
15062104,174.151,117
15061707,210.328,359
15061567,181.665,117
15061964,144.846,117
15061488,208.475,359
15061438,207.675,23
15061814,137.399,359
15061721,248.118,136
15061601,170.412,359
15061719,144.746,117
15061629,286.353,359
15061477,184.168,117
15061761,145.092,117
15061336,195.226,117
15061386,142.661,117
15061305,192.441,117
15061676,170.203,117
15061523,253.692,359
15061763,236.833,359
15061385,250.839,359
15062133,266.153,23
15061333,185.12,117
15061627,147.029,117
15061731,207.717,359
15061641,136.068,117
15061330,145.194,117
15061626,253.378,359
15062147,231.89,117
15061487,268.229,23
15060536,227.477,117
15061261,126.269,117
15061389,208.174,359
15060101,144.385,117
15061397,249.556,117
15061551,130.897,117
15061539,249.726,117
15062115,263.819,359
15061361,169.305,117
15061669,152.711,117
15062359,125.605,117
15061690,207.977,23
15061308,208.09,23
15062372,162.814,117
15061342,169.092,117
15061281,126.998,117
15061932,113.946,117
15061370,125.912,117
15061630,261.957,359
15061789,127.464,117
15061666,120.95,359
15062143,179.454,359
15061297,154.47,117
15061907,130.144,118
15061538,250.256,359
15062371,136.42,117
15061685,178.858,132
15062081,158.038,23
15061969,142.64,117
15061498,215.158,23
15061271,146.358,117
15062344,243.718,117
15061279,195.013,117
15062144,250.772,359
15061722,209.09,117
15061768,177.618,117
15061557,125.828,117
15061434,232.232,359
15060072,130.221,117
15061405,117.897,117
15062052,125.331,117
15062098,125.417,117
15061916,170.461,117
15061377,125.307,117
15061633,138.394,359
15061702,174.834,23
15061614,117.335,117
15061368,142.335,117
15061520,256.27,117
15060082,263.065,117
15061656,147.302,132
15061331,163.001,117
15061327,127.94,117
15062074,145.556,117
15061300,264.102,117
15061776,128.855,117
15061462,159.641,117
15061302,151.334,117
15061957,183.328,117
15061514,126.101,117
15060909,114.181,117
15062063,169.237,117
15060090,137.356,117
15061301,169.73,117
15061423,123.926,117
15061453,263.668,359
15060215,120.037,117
15062119,175.976,359
15061537,144.469,117
15061667,178.47,359
15062123,118.216,117
15061710,261.35,359
15061258,319.105,359
15061443,127.802,117
15060050,135.329,117
15060110,250.572,359
15062053,125.79,117
15061764,145.834,117
15061799,237.614,359
