SAMPLES,GEBVs(BB),ACTUAL
15062362,33.669,44
15061954,43.115,44
15062339,35.598,44
15061482,38.029,44
15062104,30.002,44
15061707,26.391,16
15061567,34.162,44
15061964,37.785,44
15061488,17.671,16
15061438,17.743,6
15061814,31.056,16
15061721,22.555,24
15061601,33.598,16
15061719,37.713,44
15061629,23.159,16
15061477,35.072,44
15061761,37.8,44
15061336,32.675,44
15061386,42.522,44
15061305,34.487,44
15061676,33.383,44
15061523,14.82,16
15061763,27.288,16
15061385,15.305,16
15062133,22.157,6
15061333,31.604,44
15061627,37.834,44
15061731,17.692,16
15061641,31.002,44
15061330,20.946,44
15061626,23.184,16
15062147,26.956,44
15061487,21.338,6
15060536,24.726,44
15061261,40.991,44
15061389,17.772,16
15060101,37.711,44
15061397,15.48,44
15061551,37.819,44
15061539,15.755,44
15062115,16.329,16
15061361,33.621,44
15061669,40.431,44
15062359,43.991,44
15061690,17.647,6
15061308,17.617,6
15062372,30.146,44
15061342,33.769,44
15061281,43.682,44
15061932,45.264,44
15061370,43.056,44
15061630,22.702,16
15061789,37.815,44
15061666,15.298,16
15062143,27.155,16
15061297,41.064,44
15061907,40.263,48
15061538,15.382,16
15062371,37.621,44
15061685,27.258,21
15062081,33.179,6
15061969,40.934,44
15061498,16.724,6
15061271,35.381,44
15062344,22.394,44
15061279,29.608,44
15062144,15.385,16
15061722,30.351,44
15061768,37.697,44
15061557,41.13,44
15061434,27.029,16
15060072,42.489,44
15061405,39.926,44
15062052,43.087,44
15062098,42.808,44
15061916,33.51,44
15061377,41.145,44
15061633,39.955,16
15061702,20.877,6
15061614,40.214,44
15061368,42.535,44
15061520,19.135,44
15060082,22.202,44
15061656,40.651,38
15061331,40.814,44
15061327,40.816,44
15062074,42.433,44
15061300,16.517,44
15061776,37.937,44
15061462,40.133,44
15061302,40.57,44
15061957,39.151,44
15061514,41.069,44
15060909,45.544,44
15062063,33.569,44
15060090,37.509,44
15061301,36.884,44
15061423,45.308,44
15061453,16.521,16
15060215,39.77,44
15062119,29.31,16
15061537,38.105,44
15061667,27.336,16
15062123,44.488,44
15061710,22.907,16
15061258,16.247,16
15061443,38.02,44
15060050,37.933,44
15060110,14.973,16
15062053,47.358,44
15061764,38.262,44
15061799,27.146,16
