Samples,SecTuber.H
15060021,17
15060027,83
15060039,96
15060042,96
15060050,8
15060056,350
15060063,83
15060070,96
15060072,83
15060082,344
15060085,70
15060097,80
15060101,96
15060102,8
15060110,85
15060112,83
15060114,83
15060120,6
15060121,96
15060122,83
15060138,83
15060160,84
15060187,93
15060188,328
15060190,53
15060191,12
15060215,86
15060313,10
15060345,17
15060383,17
15060420,83
15060543,96
15060570,14
15060797,86
15060846,84
15060907,86
15060909,18
15060910,96
15061007,83
15061011,10
15061122,83
15061204,83
15061213,83
15061215,96
15061216,84
15061225,85
15061226,333
15061237,84
15061256,83
15061257,83
15061258,86
15061259,86
15061261,17
15061262,69
15061263,86
15061264,10
15061265,96
15061270,86
15061271,96
15061273,14
15061274,12
15061277,17
15061279,84
15061281,96
15061283,96
15061286,83
15061288,93
15061289,83
15061290,10
15061291,96
15061293,318
15061295,318
15061296,83
15061297,85
15061298,96
15061300,328
15061301,96
15061302,96
15061303,10
15061305,346
15061307,93
15061312,83
15061313,17
15061314,85
15061317,83
15061320,16
15061323,346
15061324,85
15061327,96
15061329,96
15061330,96
15061331,21
15061335,346
15061336,96
15061340,83
15061342,96
15061344,85
15061345,83
15061346,84
15061347,96
15061349,328
15061352,346
15061353,21
15061355,86
15061360,83
15061364,86
15061365,83
15061367,83
15061368,359
15061369,41
15061370,86
15061377,18
15061378,342
15061380,85
15061382,86
15061383,96
15061384,86
15061385,86
15061386,83
15061388,80
15061389,85
15061390,86
15061392,346
15061394,86
15061396,86
15061404,93
15061406,84
15061410,84
15061411,93
15061414,5
15061415,86
15061417,85
15061418,3
15061419,96
15061420,3
15061421,83
15061422,86
15061423,86
15061424,96
15061425,96
15061430,85
15061434,85
15061435,0
15061436,83
15061437,342
15061438,84
15061439,359
15061441,313
15061442,93
15061443,17
15061444,41
15061445,0
15061447,96
15061453,96
15061458,85
15061459,96
15061461,14
15061462,344
15061463,96
15061469,83
15061470,70
15061471,84
15061475,96
15061477,85
15061478,96
15061479,96
15061480,96
15061481,28
15061482,17
15061484,328
15061485,17
15061487,96
15061488,83
15061489,83
15061490,96
15061492,86
15061493,86
15061495,86
15061498,86
15061500,17
15061501,25
15061503,93
15061504,93
15061505,28
15061507,96
15061508,17
15061509,93
15061511,86
15061514,86
15061516,86
15061517,96
15061518,86
15061520,86
15061521,86
15061523,96
15061524,3
15061525,96
15061526,83
15061528,3
15061530,74
15061533,86
15061534,96
15061535,86
15061536,86
15061537,83
15061538,85
15061539,344
15061542,86
15061543,86
15061546,86
15061549,84
15061550,96
15061551,17
15061553,17
15061555,93
15061556,15
15061557,96
15061561,346
15061564,96
15061565,80
15061566,96
15061567,28
15061571,67
15061575,71
15061576,346
15061577,85
15061580,96
15061585,85
15061586,17
15061588,83
15061601,355
15061602,83
15061604,96
15061608,0
15061609,96
15061610,96
15061614,83
15061621,86
15061622,359
15061626,96
15061627,345
15061628,328
15061629,22
15061630,74
15061632,17
15061633,83
15061638,10
15061639,90
15061640,84
15061641,93
15061642,346
15061645,86
15061646,80
15061649,83
15061650,17
15061651,83
15061653,17
15061654,67
15061658,84
15061659,86
15061665,17
15061666,318
15061667,84
15061668,14
15061669,18
15061670,85
15061671,83
15061673,74
15061677,83
15061678,83
15061679,83
15061680,94
15061682,12
15061683,96
15061684,41
15061686,83
15061687,17
15061688,83
15061690,83
15061702,83
15061706,96
15061707,84
15061709,18
15061712,96
15061714,86
15061717,40
15061719,67
15061720,17
15061722,84
15061723,83
15061724,342
15061725,86
15061726,85
15061729,83
15061733,5
15061734,96
15061735,12
15061736,5
15061737,5
15061738,83
15061740,22
15061744,16
15061747,80
15061751,74
15061752,83
15061753,84
15061754,10
15061755,83
15061756,96
15061757,313
15061758,41
15061760,67
15061761,35
15061762,83
15061764,3
15061766,16
15061769,86
15061771,83
15061772,83
15061773,93
15061776,17
15061777,83
15061784,83
15061785,17
15061788,345
15061789,41
15061790,17
15061795,96
15061797,3
15061798,22
15061799,313
15061800,344
15061811,84
15061813,17
15061814,96
15061815,80
15061826,85
15061905,96
15061906,96
15061907,344
15061908,318
15061909,85
15061910,355
15061911,93
15061915,17
15061917,96
15061918,83
15061926,86
15061927,96
15061929,346
15061930,83
15061933,83
15061934,359
15061937,96
15061939,84
15061941,10
15061944,17
15061945,25
15061948,83
15061949,85
15061951,86
15061952,86
15061953,86
15061954,86
15061957,83
15061958,17
15061960,83
15061961,86
15061964,86
15061965,41
15061966,86
15061967,86
15061968,86
15061969,17
15062036,96
15062038,86
15062039,342
15062050,21
15062051,86
15062052,86
15062053,86
15062063,313
15062067,18
15062069,5
15062071,342
15062080,346
15062081,93
15062092,318
15062094,86
15062097,86
15062100,21
15062101,346
15062102,41
15062103,344
15062105,96
15062106,86
15062107,83
15062108,86
15062109,85
15062112,86
15062115,313
15062117,85
15062118,83
15062119,83
15062122,83
15062124,84
15062126,83
15062133,17
15062136,6
15062139,85
15062143,53
15062144,96
15062145,83
15062146,25
15062147,84
15062149,83
15062150,96
15062151,85
15062152,18
15062153,83
15062332,67
15062333,313
15062334,12
15062335,96
15062337,96
15062338,85
15062339,18
15062344,96
15062346,10
15062347,74
15062349,85
15062350,83
15062351,83
15062353,22
15062354,22
15062356,15
15062357,86
15062358,85
15062359,33
15062360,27
15062361,17
15062363,86
15062366,83
15062367,313
15062368,85
15062369,85
15062371,10
