Samples,SecTuber.C
15060021,42
15060027,35
15060039,42
15060042,42
15060050,34
15060056,29
15060063,35
15060070,42
15060072,35
15060082,22
15060085,41
15060097,28
15060101,42
15060102,36
15060110,47
15060112,35
15060114,35
15060120,38
15060121,42
15060122,36
15060138,36
15060160,32
15060187,35
15060188,11
15060190,31
15060191,37
15060215,41
15060313,33
15060345,39
15060383,29
15060420,35
15060543,47
15060570,32
15060797,41
15060846,32
15060907,41
15060909,37
15060910,42
15061007,35
15061011,33
15061122,35
15061204,47
15061213,35
15061215,42
15061216,32
15061225,24
15061226,23
15061237,32
15061256,35
15061257,28
15061258,41
15061259,41
15061261,29
15061262,40
15061263,39
15061264,33
15061265,42
15061270,41
15061271,42
15061273,32
15061274,41
15061277,29
15061279,42
15061281,42
15061283,42
15061286,35
15061288,35
15061289,35
15061290,33
15061291,42
15061293,11
15061295,11
15061296,35
15061297,47
15061298,42
15061300,11
15061301,42
15061302,42
15061303,33
15061305,36
15061307,35
15061312,35
15061313,39
15061314,32
15061317,35
15061320,35
15061323,36
15061324,47
15061327,42
15061329,42
15061330,35
15061331,39
15061335,36
15061336,42
15061340,35
15061342,42
15061344,35
15061345,35
15061346,32
15061347,42
15061349,32
15061352,36
15061353,41
15061355,41
15061360,41
15061364,41
15061365,35
15061367,35
15061368,16
15061369,32
15061370,41
15061377,37
15061378,26
15061380,47
15061382,47
15061383,35
15061384,41
15061385,41
15061386,30
15061388,26
15061389,47
15061390,41
15061392,36
15061394,37
15061396,41
15061404,35
15061406,32
15061410,32
15061411,35
15061414,19
15061415,42
15061417,47
15061418,16
15061419,42
15061420,16
15061421,35
15061422,41
15061423,41
15061424,42
15061425,42
15061430,47
15061434,47
15061435,42
15061436,37
15061437,26
15061438,32
15061439,16
15061441,8
15061442,35
15061443,39
15061444,47
15061445,42
15061447,42
15061453,42
15061458,47
15061459,42
15061461,32
15061462,22
15061463,42
15061469,26
15061470,22
15061471,32
15061475,42
15061477,24
15061478,42
15061479,42
15061480,42
15061481,25
15061482,29
15061484,39
15061485,37
15061487,42
15061488,35
15061489,35
15061490,42
15061492,41
15061493,41
15061495,41
15061498,41
15061500,39
15061501,32
15061503,35
15061504,35
15061505,29
15061507,42
15061508,29
15061509,32
15061511,39
15061514,41
15061516,37
15061517,42
15061518,41
15061520,41
15061521,41
15061523,42
15061524,42
15061525,42
15061526,35
15061528,16
15061530,37
15061533,41
15061534,41
15061535,41
15061536,41
15061537,30
15061538,47
15061539,22
15061542,41
15061543,41
15061546,41
15061549,32
15061550,42
15061551,29
15061553,42
15061555,35
15061556,28
15061557,42
15061561,36
15061564,42
15061565,26
15061566,42
15061567,25
15061571,28
15061575,32
15061576,36
15061577,47
15061580,42
15061585,24
15061586,37
15061588,36
15061601,43
15061602,35
15061604,42
15061608,42
15061609,42
15061610,42
15061614,30
15061621,42
15061622,16
15061626,42
15061627,28
15061628,30
15061629,28
15061630,33
15061632,36
15061633,36
15061638,33
15061639,18
15061640,32
15061641,35
15061642,36
15061645,41
15061646,26
15061649,35
15061650,36
15061651,35
15061653,39
15061654,28
15061658,32
15061659,41
15061665,39
15061666,11
15061667,41
15061668,32
15061669,37
15061670,32
15061671,30
15061673,24
15061677,36
15061678,35
15061679,42
15061680,26
15061682,37
15061683,29
15061684,32
15061686,35
15061687,29
15061688,35
15061690,36
15061702,36
15061706,31
15061707,28
15061709,37
15061712,42
15061714,42
15061717,24
15061719,28
15061720,42
15061722,32
15061723,36
15061724,26
15061725,42
15061726,47
15061729,36
15061733,19
15061734,42
15061735,37
15061736,19
15061737,19
15061738,35
15061740,35
15061744,35
15061747,26
15061751,37
15061752,28
15061753,32
15061754,32
15061755,42
15061756,39
15061757,8
15061758,41
15061760,28
15061761,20
15061762,36
15061764,16
15061766,35
15061769,47
15061771,36
15061772,35
15061773,32
15061776,29
15061777,36
15061784,36
15061785,29
15061788,28
15061789,32
15061790,29
15061795,36
15061797,16
15061798,36
15061799,8
15061800,22
15061811,32
15061813,39
15061814,42
15061815,26
15061826,47
15061905,42
15061906,32
15061907,8
15061908,11
15061909,41
15061910,33
15061911,35
15061915,29
15061917,42
15061918,30
15061926,41
15061927,42
15061929,36
15061930,36
15061933,35
15061934,16
15061937,42
15061939,35
15061941,33
15061944,39
15061945,32
15061948,35
15061949,47
15061951,41
15061952,41
15061953,41
15061954,41
15061957,35
15061958,39
15061960,32
15061961,41
15061964,41
15061965,32
15061966,41
15061967,41
15061968,41
15061969,29
15062036,42
15062038,41
15062039,26
15062050,39
15062051,41
15062052,41
15062053,41
15062063,8
15062067,37
15062069,19
15062071,26
15062080,36
15062081,37
15062092,11
15062094,41
15062097,41
15062100,39
15062101,29
15062102,32
15062103,22
15062105,42
15062106,41
15062107,36
15062108,41
15062109,47
15062112,41
15062115,8
15062117,24
15062118,35
15062119,35
15062122,41
15062124,33
15062126,36
15062133,35
15062136,35
15062139,47
15062143,32
15062144,42
15062145,35
15062146,35
15062147,24
15062149,16
15062150,42
15062151,47
15062152,47
15062153,36
15062332,28
15062333,8
15062334,37
15062335,41
15062337,42
15062338,47
15062339,37
15062344,42
15062346,37
15062347,37
15062349,47
15062350,35
15062351,35
15062353,28
15062354,28
15062356,37
15062357,41
15062358,47
15062359,36
15062360,28
15062361,35
15062363,41
15062366,35
15062367,8
15062368,47
15062369,35
15062371,33
