Samples,Pulpa.H
15061942,90
15061763,94
15061801,71
15061494,71
15061613,41
15062137,71
15061319,71
15062142,71
15060320,90
15061768,71
15061522,71
15060081,52
15061656,71
15061759,94
15061928,71
15061454,90
15061605,95
15060087,41
15061619,90
15060090,52
15061731,90
15061655,90
15061661,32
15061499,90
15061647,71
15061612,71
15061742,71
15061710,96
15062372,94
15061583,71
15061767,94
15062130,71
15061637,90
15061337,90
15062104,90
15061579,71
15061932,71
15061603,32
15060025,52
15061704,71
15061334,94
15061631,71
15060964,84
15061778,96
15061718,71
15061486,88
15060214,71
15061333,90
15061962,71
15061624,71
15061282,71
15061529,90
15061935,71
15061568,90
15061491,90
15061318,71
15061361,90
15061515,90
15062123,71
15061358,90
15061428,90
15061496,71
15061648,90
15061808,96
15061600,90
15061730,90
15061623,71
15061405,71
15061299,71
15061578,71
15061476,71
15061765,90
15062111,94
15061397,94
15061713,85
15061584,71
15061912,94
15061260,71
15062099,94
15061350,93
15060933,52
15061548,94
15061348,90
15061560,90
15061544,32
15061449,90
15062348,94
15061916,90
15062138,32
15061946,71
15061676,90
15060536,90
15061391,90
15061662,32
15061228,90
15061356,88
15061963,71
15061338,71
15062331,71
15062098,90
15062114,90
15062046,94
15062370,94
15061685,94
15061540,90
15061721,90
15062074,32
15062362,90
15061689,90
15061357,90
15061376,94
15061308,93
