Samples,PriFlor.H
15060021,331
15060027,321
15060039,329
15060042,327
15060050,320
15060056,95
15060063,329
15060070,329
15060072,317
15060082,321
15060085,312
15060097,310
15060101,95
15060102,95
15060110,329
15060112,318
15060114,314
15060120,323
15060121,305
15060122,324
15060138,321
15060160,321
15060187,339
15060188,327
15060190,321
15060191,329
15060215,327
15060313,329
15060345,320
15060383,319
15060420,323
15060543,323
15060570,319
15060797,321
15060846,332
15060907,322
15060909,319
15060910,329
15061007,322
15061011,312
15061122,332
15061204,320
15061213,329
15061215,322
15061216,95
15061225,329
15061226,316
15061237,313
15061256,329
15061257,316
15061258,320
15061259,314
15061261,305
15061262,96
15061263,71
15061264,71
15061265,305
15061270,320
15061271,312
15061273,318
15061274,312
15061277,320
15061279,320
15061281,332
15061283,324
15061286,321
15061288,314
15061289,327
15061290,320
15061291,317
15061293,320
15061295,320
15061296,320
15061297,312
15061298,319
15061300,322
15061301,322
15061302,324
15061303,323
15061305,319
15061307,319
15061312,319
15061313,322
15061314,323
15061317,71
15061320,322
15061323,322
15061324,305
15061327,326
15061329,321
15061330,322
15061331,320
15061335,321
15061336,322
15061340,320
15061342,319
15061344,320
15061345,329
15061346,319
15061347,319
15061349,319
15061352,329
15061353,329
15061355,329
15061360,329
15061364,322
15061365,319
15061367,320
15061368,305
15061369,305
15061370,329
15061377,305
15061378,317
15061380,322
15061382,312
15061383,317
15061384,322
15061385,320
15061386,309
15061388,319
15061389,327
15061390,327
15061392,305
15061394,71
15061396,312
15061404,329
15061406,322
15061410,329
15061411,319
15061414,319
15061415,318
15061417,323
15061418,323
15061419,318
15061420,321
15061421,303
15061422,328
15061423,320
15061424,323
15061425,320
15061430,332
15061434,320
15061435,322
15061436,323
15061437,321
15061438,323
15061439,321
15061441,319
15061442,324
15061443,320
15061444,329
15061445,319
15061447,323
15061453,322
15061458,314
15061459,317
15061461,310
15061462,309
15061463,319
15061469,317
15061470,319
15061471,315
15061475,304
15061477,312
15061478,319
15061479,322
15061480,328
15061481,322
15061482,332
15061484,319
15061485,308
15061487,319
15061488,322
15061489,329
15061490,322
15061492,319
15061493,312
15061495,309
15061498,316
15061500,329
15061501,322
15061503,310
15061504,320
15061505,329
15061507,329
15061508,329
15061509,71
15061511,71
15061514,309
15061516,332
15061517,322
15061518,322
15061520,322
15061521,319
15061523,322
15061524,319
15061525,324
15061526,312
15061528,322
15061530,321
15061533,310
15061534,320
15061535,317
15061536,329
15061537,71
15061538,319
15061539,322
15061542,323
15061543,327
15061546,327
15061549,329
15061550,314
15061551,327
15061553,302
15061555,303
15061556,322
15061557,315
15061561,322
15061564,319
15061565,320
15061566,317
15061567,326
15061571,319
15061575,316
15061576,314
15061577,322
15061580,305
15061585,324
15061586,319
15061588,319
15061601,316
15061602,309
15061604,312
15061608,332
15061609,322
15061610,321
15061614,320
15061621,339
15061622,305
15061626,321
15061627,309
15061628,71
15061629,319
15061630,318
15061632,322
15061633,317
15061638,308
15061639,319
15061640,308
15061641,320
15061642,320
15061645,320
15061646,71
15061649,308
15061650,305
15061651,322
15061653,328
15061654,322
15061658,315
15061659,322
15061665,322
15061666,329
15061667,310
15061668,317
15061669,328
15061670,329
15061671,328
15061673,320
15061677,328
15061678,329
15061679,329
15061680,329
15061682,305
15061683,322
15061684,314
15061686,329
15061687,322
15061688,322
15061690,329
15061702,316
15061706,71
15061707,308
15061709,329
15061712,322
15061714,316
15061717,305
15061719,71
15061720,316
15061722,314
15061723,322
15061724,322
15061725,322
15061726,322
15061729,305
15061733,323
15061734,329
15061735,320
15061736,323
15061737,322
15061738,322
15061740,308
15061744,309
15061747,71
15061751,310
15061752,327
15061753,320
15061754,310
15061755,315
15061756,310
15061757,317
15061758,316
15061760,319
15061761,71
15061762,310
15061764,324
15061766,312
15061769,326
15061771,322
15061772,305
15061773,314
15061776,305
15061777,322
15061784,329
15061785,309
15061788,309
15061789,326
15061790,323
15061795,322
15061797,320
15061798,305
15061799,327
15061800,312
15061811,312
15061813,322
15061814,322
15061815,310
15061826,319
15061905,316
15061906,305
15061907,95
15061908,341
15061909,329
15061910,321
15061911,320
15061915,320
15061917,322
15061918,327
15061926,329
15061927,315
15061929,319
15061930,327
15061933,312
15061934,322
15061937,321
15061939,322
15061941,320
15061944,317
15061945,322
15061948,319
15061949,316
15061951,319
15061952,321
15061953,322
15061954,320
15061957,314
15061958,319
15061960,305
15061961,319
15061964,71
15061965,71
15061966,312
15061967,320
15061968,314
15061969,304
15062036,328
15062038,322
15062039,331
15062050,328
15062051,329
15062052,329
15062053,327
15062063,321
15062067,327
15062069,324
15062071,96
15062080,322
15062081,308
15062092,314
15062094,318
15062097,322
15062100,315
15062101,309
15062102,71
15062103,329
15062105,319
15062106,329
15062107,319
15062108,320
15062109,322
15062112,322
15062115,320
15062117,322
15062118,315
15062119,312
15062122,324
15062124,71
15062126,314
15062133,322
15062136,329
15062139,319
15062143,312
15062144,320
15062145,322
15062146,309
15062147,316
15062149,322
15062150,312
15062151,312
15062152,329
15062153,322
15062332,341
15062333,329
15062334,322
15062335,339
15062337,329
15062338,329
15062339,329
15062344,329
15062346,316
15062347,305
15062349,319
15062350,320
15062351,316
15062353,327
15062354,320
15062356,315
15062357,322
15062358,322
15062359,309
15062360,303
15062361,322
15062363,329
15062366,320
15062367,318
15062368,317
15062369,312
15062371,322
